"regulatoryGene","targetGene","weight"
"CD8A","S1PR5",0.0161682075983489
"EEF1B2","CD4",0.0161596283674423
"PRF1","CD5",0.0161573386186555
"RSL1D1","ARHGAP25",0.0161469320357371
"CD3G","ITGAM",0.0161454624807627
"CD28","RACK1",0.0161281001423256
"TIGIT","FCGR3B",0.0161252454102367
"CD5","PRF1",0.0161235652639386
"PTPRC","CTLA4",0.0161184492354733
"GNLY","ARHGAP25",0.016097601920569
"TBX21","GZMH",0.0160967687485877
"RPS5","TBX21",0.0160959837539909
"RPS5","EMP3",0.0160915203563606
"IL17RA","NOP53",0.0160891974898765
"GZMK","EEF1B2",0.0160797195015095
"KLRB1","FGFBP2",0.0160701712803521
"ITGB2","CD3E",0.0160695677909694
"CD2","MYO1G",0.01606720287242
"FGR","RSL1D1",0.0160638815321382
"PLEK","GIMAP5",0.01605736315499
"ITGB2","RACK1",0.0160267276097779
"CCR7","SAMD3",0.0160250786940753
"FGFBP2","GIMAP5",0.0160161099744411
"GZMH","IL2RA",0.0160157932370461
"CD8A","IL17RA",0.0160025654177876
"CD8A","FGR",0.0160017851961391
"ARHGAP25","FLNA",0.016000307963423
"CD3G","CD52",0.0159946167289135
"EEF2","TBX21",0.0159909063967187
"SAMD3","RPS5",0.0159898020892425
"CD5","GNLY",0.0159831282927134
"CCR7","RPS8",0.0159736708971287
"CD28","EMP3",0.0159615337967815
"IL2RB","NKG7",0.0159608155637059
"FGR","NPM1",0.0159602370275583
"ITGB2","PRF1",0.0159557975476394
"CD3G","CD2",0.0159541674634159
"EEF1B2","RPS5",0.015953781999342
"MYO1F","CD8A",0.0159524668321599
"CD52","SAMD3",0.0159492086679652
"PTPRC","APEX1",0.0159462584314824
"EMP3","CD28",0.0159439224674298
"CD2","CD5",0.0159409959195289
"CD27","CD5",0.0159331966240814
"VCL","CD3D",0.0159325665331253
"CD2","PRF1",0.0159319267122839
"AIF1","CD300A",0.0159311122568439
"PRF1","EEF2",0.0159226169245485
"CCR7","ZNF683",0.0159173988402072
"S1PR5","MYO1F",0.0159129359979836
"NKG7","CD27",0.0159106959282676
"CD2","NPM1",0.0159029832898163
"CD2","RACK1",0.0158994585497677
"CD3E","FGFBP2",0.0158984342290968
"BTLA","CD8A",0.0158852448744395
"CD3G","BTLA",0.0158819809436648
"RSL1D1","NKG7",0.0158736498177892
"CD14","EMP3",0.0158541708307594
"ITGB2","BTLA",0.0158476872652873
"CD3E","CD3D",0.0158467706800428
"IFNG","GZMH",0.0158455062963684
"GIMAP5","SELL",0.0158353610393579
"RPS5","IL7R",0.015825679349799
"PRF1","ITGAM",0.0158233729047971
"CD52","PRF1",0.0158229937183062
"CD8B","CD5",0.0158190679667929
"EIF3L","CD5",0.0158091387326038
"FLNA","ACTN1",0.0158078610922237
"ARHGAP25","CD2",0.0158046526219419
"CD27","MYO1G",0.0157913483501297
"CD6","FGR",0.0157888392009703
"RPS8","BTLA",0.0157875845904955
"CD19","CD28",0.0157857782842748
"MYO1F","PLEK",0.0157720074806268
"APEX1","CD14",0.0157676270089018
"RACK1","CD3D",0.0157662698915654
"SELPLG","CD6",0.0157593398159651
"BTLA","PRF1",0.0157558702739617
"CCR7","SELPLG",0.0157556499952413
"ARHGAP25","PLEK",0.0157495924143528
"PTPRC","BTLA",0.0157398957493217
"CD8B","NOP53",0.0157397758258926
"ITGB2","GZMH",0.0157380948450429
"GZMK","CD28",0.0157374654924375
"S1PR5","CD3G",0.0157353840109613
"KLRB1","PRF1",0.0157319410847956
"TOMM7","IL2RA",0.0157301787904877
"ARHGAP25","RPS8",0.0157295913982274
"PLEK","FCRL3",0.0157271270436741
"IL2RA","GZMH",0.0157189171385777
"EEF1B2","CD2",0.015717094543524
"CD2","CD3G",0.0157168319845189
"KLRB1","EIF3L",0.0157142396939772
"CD8B","GPR183",0.0157113681040799
"VCL","BIN2",0.0157111315165463
"CCR7","CTLA4",0.0157001862335745
"GNLY","VCL",0.0156969882423087
"RSL1D1","CD5",0.0156815571430392
"EIF3L","CD3E",0.0156804137644317
"LTB","IL17RA",0.0156764035741998
"GNLY","AIF1",0.0156706942181977
"ITGB2","GNLY",0.0156697245756328
"CD14","TBX21",0.015668513846972
"GZMB","SAMD3",0.0156558848455106
"KLRB1","CD52",0.0156554427508106
"CD19","ACTN1",0.0156544546764518
"CD5","FGR",0.0156460988378763
"IFNG","BIN2",0.0156437814081777
"EEF1B2","LTB",0.0156371280364586
"PLEK","CD3G",0.015632120106185
"GPR183","IL17RA",0.0156310157948236
"RSL1D1","IFNG",0.015629199870904
"CD8B","GZMH",0.0156277921172666
"RACK1","GIMAP5",0.0156228221420041
"KLRB1","GZMB",0.0156203017002481
"RPS5","CD69",0.0156180150196262
"PRF1","IL17RA",0.0156166713719507
"PLEK","MYO1F",0.015615506276342
"GZMH","RPS8",0.0156140436293329
"EIF3L","LTB",0.0156135086760938
"NPM1","CD2",0.0156088619844554
"GZMB","GIMAP5",0.0156081321203009
"CD5","CCR7",0.0156068027221867
"TBX21","CD3D",0.0156056248163268
"PLEK","RSL1D1",0.0156047858266729
"RPS5","NKG7",0.0156044608107669
"AIF1","GZMH",0.0155992550660354
"CD8A","MYO1F",0.0155958534947465
"CD6","SELL",0.0155933347638745
"TBX21","TOMM7",0.0155885491377865
"CD3E","EIF3L",0.0155801945465004
"CD8A","CD3G",0.0155793999135106
"IL7R","FCRL3",0.0155721292469738
"FCGR3B","PRF1",0.0155681573896467
"RPS5","FCMR",0.0155677968678958
"CD52","RSL1D1",0.0155672787306553
"FGFBP2","TOMM7",0.0155669319789383
"FCMR","LTB",0.0155648267971493
"IL2RB","FGR",0.0155621387493089
"FGR","CD52",0.015560204968601
"CD52","FCMR",0.0155584842884265
"CD2","CTLA4",0.0155573096627749
"CD3D","PTPRC",0.0155552212673577
"CD28","CD14",0.015548942238649
"GZMB","PLEK",0.0155475884259818
"PTPRC","GZMB",0.0155470600951347
"CD2","GNLY",0.015545906695463
"NKG7","CD3E",0.0155446530734661
"FGFBP2","FLNA",0.0155399849777229
"RACK1","IL2RB",0.0155397612972051
"RPS5","ZNF683",0.0155383021814829
"EEF1B2","CTLA4",0.0155377913590263
"CD3D","RACK1",0.015537741561541
"EEF2","CD2",0.0155370222380877
"CD3G","PLEK",0.0155337937878035
"CD4","SAMD3",0.0155327329264126
"FCMR","CD27",0.0155237468405178
"CD8A","GZMH",0.0155216646021748
"CD4","FCGR3B",0.0155210593965786
"PLEK","CD27",0.0155151626246465
"FGR","PRF1",0.015513872265932
"GZMH","CD8A",0.0155058418963808
"CD3D","KLRB1",0.0155047496507321
"BTLA","FGFBP2",0.0155041722882595
"EEF2","FCGR3B",0.015500174909119
"IFNG","RACK1",0.0154950944504934
"CD8B","CD69",0.0154850459650171
"GZMB","IL17RA",0.0154785589780734
"AIF1","CD3G",0.0154759613959751
"CCR7","IL17RA",0.0154709276553831
"PLEK","CD8A",0.015470487707359
"AIF1","MYO1F",0.0154702769125467
"EEF2","SELPLG",0.0154698424202481
"CD27","CD8A",0.0154685694892551
"SELL","GIMAP5",0.0154647997637363
"TBX21","EEF1B2",0.0154633281057997
"FGR","CD3E",0.0154623353374134
"NPM1","KLRB1",0.0154586031328942
"FGFBP2","EIF3L",0.015457863132881
"GPR183","GZMB",0.0154569629453833
"NOP53","FLNA",0.0154556603979664
"PLEK","CD3D",0.01545290146194
"TOMM7","EEF2",0.0154524744826376
"GZMH","BIN2",0.0154520599549379
"GZMB","PTPRC",0.0154465521024905
"ITGB2","EEF2",0.0154448024534823
"CD28","LTB",0.0154436228674797
"ITGAM","EEF2",0.015441607189844
"NOP53","IL2RB",0.0154386744312737
"ARHGAP25","CD8B",0.0154352749591948
"KLRB1","ARHGAP25",0.0154301072425976
"RACK1","CD5",0.0154277172958231
"RPS8","ARHGAP25",0.0154274795535416
"CD3G","CD3E",0.0154273399069409
"PLEK","CD6",0.0154226488297852
"SELL","EIF3L",0.0154190607367952
"CD52","CD4",0.0154130910497362
"CD28","CD69",0.0154074112032145
"CCR7","CD2",0.0154047260747487
"KLRB1","CD2",0.0154045301954027
"CD3E","RACK1",0.0154032321664107
"EEF1B2","CD3D",0.0154003700794546
"GZMK","S1PR5",0.0153998564851797
"NOP53","SELL",0.015393049893166
"GNLY","KLRB1",0.0153903064912617
"CCR7","FGFBP2",0.0153901647430984
"NPM1","IL2RA",0.0153835513928586
"CD6","MYO1F",0.0153792430349551
"AIF1","ARHGAP25",0.0153728027664806
"CD27","CD3E",0.0153707136076292
"PRF1","CD8B",0.0153670681318549
"CD8A","GZMB",0.0153650661993658
"GZMB","CD3G",0.0153625041120983
"MYO1F","CTLA4",0.0153611723959535
"KLRB1","FCGR3B",0.0153583525053184
"GZMB","CD8B",0.0153569310511676
"NKG7","ZNF683",0.0153552655754983
"PRF1","CD14",0.0153532307566228
"ITGB2","RPS5",0.0153529760689897
"AIF1","GIMAP5",0.015352367837797
"CD6","CD3D",0.0153489711957551
"FGFBP2","RPS8",0.0153448430166266
"TBX21","NPM1",0.015344203350278
"CD6","GNLY",0.0153381898567594
"GNLY","ITGB2",0.0153372635810829
"CD300A","RACK1",0.0153371815552156
"GZMK","SELL",0.0153322473690971
"TIGIT","FGR",0.0153292476893199
"GNLY","FCMR",0.0153260578642223
"GZMK","IFNG",0.015322961324652
"NOP53","CD14",0.0153203484906128
"FGR","IFNG",0.0153200682170521
"CD5","FLNA",0.0153110528936035
"FGR","KLRB1",0.0153099452603966
"GIMAP5","BIN2",0.015309919811201
"ARHGAP25","FCGR3B",0.0153080228143624
"GZMK","GZMB",0.0153049938061286
"RPS5","TOMM7",0.0153028327833504
"GNLY","PLEK",0.0152996006483798
"CD6","RSL1D1",0.0152959674892302
"CD3D","SAMD3",0.0152922403711909
"IL2RB","CD5",0.0152912658321689
"PRF1","TOMM7",0.0152893583042172
"PLEK","FGR",0.0152886336846144
"GZMH","IL17RA",0.0152886202839239
"NOP53","CD8A",0.0152804271713187
"CTLA4","RACK1",0.0152780122611424
"SELPLG","RSL1D1",0.0152760215033607
"APEX1","RACK1",0.0152732606737718
"FGFBP2","KLRB1",0.0152731923962408
"CD52","TOMM7",0.0152683864287821
"GNLY","MYO1F",0.0152654936467737
"RPS5","CTLA4",0.0152645670737561
"CD14","RSL1D1",0.0152637826320812
"AIF1","S1PR5",0.0152597217592008
"EEF1B2","TBX21",0.0152585080689142
"GZMB","CD52",0.0152575779322724
"EEF1B2","FLNA",0.0152572075722595
"SAMD3","SELPLG",0.0152567675666772
"GZMH","FGFBP2",0.0152523851236906
"IL7R","MYO1G",0.0152519406480063
"S1PR5","IL7R",0.0152498640522985
"PTPRC","CD8B",0.0152385591942092
"CD19","SAMD3",0.0152373789514371
"RPS8","BIN2",0.0152367835533345
"RPS8","GZMH",0.0152323181902625
"CD3E","BTLA",0.0152252965787805
"CD8B","MYO1G",0.0152252938327605
"CD3G","TOMM7",0.0152245131441824
"GZMB","KLRB1",0.0152222391314501
"CD52","EIF3L",0.0152191641728448
"GIMAP5","CD8B",0.0152190501329105
"CD300A","GZMH",0.01520759451936
"CD8A","GIMAP5",0.0152072879820524
"CD14","CD4",0.0152068249723945
"RPS5","CD3D",0.0152028603922569
"RPS8","FGFBP2",0.0152021866244766
"SAMD3","IL7R",0.0152021033560118
"CD8A","CD2",0.0151989927831953
"CD2","KLRB1",0.0151971240906022
"S1PR5","KLRB1",0.0151935551094962
"IFNG","CD300A",0.0151927182856226
"FCGR3B","IL17RA",0.0151913897767387
"GZMB","CTLA4",0.0151896131452052
"CD3E","IL17RA",0.0151884405470874
"IFNG","MYO1F",0.0151880332798748
"GZMK","NKG7",0.0151867338208342
"RSL1D1","GZMH",0.0151855790648874
"FGR","CD6",0.0151839820700127
"KLRB1","GZMK",0.0151835199451802
"IL2RA","FCMR",0.0151833978491065
"CD3E","CD2",0.015176556419978
"EIF3L","FGFBP2",0.0151740253847502
"CD3G","FLNA",0.0151687343771936
"ACTN1","CD6",0.0151654968676172
"FGR","CD3G",0.0151644458973662
"RACK1","CD27",0.0151639184255427
"GZMB","CD300A",0.0151634347791895
"NOP53","VCL",0.0151624591551649
"CD19","SELPLG",0.0151584046946403
"CD19","IL7R",0.0151576645188194
"CD5","LTB",0.015154716485544
"S1PR5","IL2RA",0.0151508059025766
"PRF1","NKG7",0.0151505095953908
"CD5","AIF1",0.0151455204492617
"CD5","RPS8",0.0151429386095394
"NOP53","BTLA",0.0151412370843449
"GZMB","CD3D",0.0151403171139463
"SAMD3","EEF2",0.0151402084225978
"S1PR5","GNLY",0.0151354840790421
"MYO1F","CD6",0.0151353885357284
"RACK1","IL2RA",0.0151332755216431
"RPS8","FGR",0.0151279623632561
"FCMR","TBX21",0.0151277180572947
"LTB","FGFBP2",0.0151270092585305
"CD6","CD4",0.0151268924680831
"CCR7","VCL",0.0151231249156157
"NPM1","IL2RB",0.0151219948060357
"IFNG","FGR",0.0151209723560256
"LTB","FCRL3",0.0151130754238406
"CD27","IFNG",0.0151115065836117
"ACTN1","ZNF683",0.0151109624581987
"CD2","ARHGAP25",0.0151109144496769
"CD3D","S1PR5",0.015108766321591
"CD3D","ITGB2",0.0151073334244675
"CD52","RPS5",0.0151025930722888
"CD3D","TOMM7",0.0150985198845871
"CD3G","CD300A",0.0150949065062214
"RACK1","GZMK",0.0150910752234579
"CD14","IL2RB",0.0150865451608274
"IL7R","GZMK",0.0150864610516213
"RACK1","FGR",0.0150825703538813
"ITGB2","TOMM7",0.0150788916572838
"GZMB","GZMK",0.0150783236485653
"GNLY","IL17RA",0.0150768940054922
"CD52","KLRB1",0.0150765126072384
"RPS5","LTB",0.0150755519352264
"FGR","TIGIT",0.0150737060013836
"CD8B","CD27",0.0150732493156405
"EEF2","CD52",0.0150724547295002
"SAMD3","EIF3L",0.0150721267675776
"CD6","CD300A",0.0150679844257323
"TBX21","MYO1G",0.0150653046001907
"EEF2","IL17RA",0.0150627034229831
"GZMH","ITGB2",0.0150599400142286
"S1PR5","CD4",0.0150589962775683
"GPR183","CD3E",0.0150586415175858
"MYO1F","PTPRC",0.0150575097033509
"MYO1G","IL2RB",0.0150558078116894
"CD8B","IL2RA",0.0150552396320522
"KLRB1","CD28",0.0150537276094809
"FCRL3","ACTN1",0.0150509935843878
"PLEK","IL7R",0.015045583551128
"CD3D","IL7R",0.0150432083987129
"KLRB1","CD4",0.015040243638584
"KLRB1","IL7R",0.0150385562992549
"CD27","RPS5",0.0150377788835076
"CD8B","PRF1",0.0150374652693036
"RPS8","CD27",0.0150345174748996
"TBX21","AIF1",0.0150333884244676
"VCL","CTLA4",0.0150306996937111
"CD27","PRF1",0.0150306066929125
"TBX21","IL2RA",0.015029430701707
"EIF3L","KLRB1",0.0150260228440805
"CD3D","CD3E",0.0150258894792409
"FGFBP2","ITGAM",0.0150248761518849
"GZMH","CD3D",0.0150241280620074
"RPS8","MYO1G",0.0150227486340976
"CD8A","CD4",0.0150197099594622
"ARHGAP25","GNLY",0.0150163853221163
"CD3E","IL7R",0.0150156996515677
"CD27","TOMM7",0.0150148317452182
"CD3D","EEF1B2",0.0150146962710364
"LGALS1","GZMB",0.0150100557634045
"EIF3L","ARHGAP25",0.0150037912455306
"PLEK","MYO1G",0.0150024405326403
"EIF3L","S1PR5",0.0149947843481298
"GZMK","CD8B",0.0149919169422852
"CD3D","CD3G",0.014990892473055
"CD2","RPS8",0.0149907062740708
"CD3G","ARHGAP25",0.0149855554404818
"CD14","TOMM7",0.0149810577974836
"CD69","RSL1D1",0.0149791947411836
"NPM1","FCGR3B",0.0149775644736047
"CD300A","IFNG",0.0149775203849248
"RPS5","CD4",0.0149769899228345
"CD8A","RPS8",0.0149751961023724
"CD28","CD19",0.0149741037523498
"CD27","GZMB",0.0149730454280654
"CD2","SELL",0.0149728539851319
"FCMR","TOMM7",0.0149723945494923
"CD8A","NPM1",0.0149714784027369
"IL2RA","PTPRC",0.0149705902627665
"RPS5","IL17RA",0.0149657048131068
"GZMB","ZNF683",0.0149634982265866
"S1PR5","EIF3L",0.0149626914964617
"FGFBP2","SAMD3",0.0149624840446173
"ITGB2","CD8A",0.0149619679234799
"CD69","AIF1",0.0149609264358629
"PRF1","CD6",0.0149580933422691
"RACK1","CD69",0.0149569287235097
"CD3G","CD8A",0.0149568060469539
"APEX1","CD3D",0.0149555830785757
"CD4","S1PR5",0.0149551225768336
"TBX21","CD69",0.0149543578250438
"GNLY","ITGAM",0.0149532704960776
"CD3G","CD6",0.0149518966788538
"CD3E","CD19",0.0149506135635289
"CD6","FCMR",0.0149504392666153
"ITGB2","CTLA4",0.0149499609582229
"RPS8","LGALS1",0.0149488795461276
"RPS8","SAMD3",0.0149486611200824
"FGFBP2","IL2RB",0.014948656506943
"GNLY","EIF3L",0.0149459235812513
"PTPRC","GZMH",0.0149445698052956
"FCMR","FCRL3",0.014941214207947
"RACK1","CD14",0.0149346001169936
"TOMM7","FCMR",0.0149342617379504
"RPS5","CD8B",0.0149330693926786
"RSL1D1","EEF2",0.0149328959577772
"EEF1B2","CD6",0.0149326809014144
"LTB","CD3G",0.0149319637769753
"CD6","IL17RA",0.0149302371189819
"CD300A","AIF1",0.0149291034907132
"CD3G","MYO1F",0.0149272336160423
"TBX21","GNLY",0.0149265217605195
"PRF1","CD4",0.0149252928023992
"CD3G","PRF1",0.0149246421029282
"EIF3L","GZMK",0.0149240882751492
"EEF2","PRF1",0.0149168727043918
"CD3D","IFNG",0.0149039223266661
"CD14","CD6",0.0149031308268971
"NKG7","CD300A",0.0148995195771619
"S1PR5","AIF1",0.0148980427567252
"TBX21","CD14",0.0148967618031055
"LTB","CD27",0.0148920792344642
"S1PR5","CD8B",0.0148892898698554
"CD2","ITGAM",0.0148878972867497
"TBX21","S1PR5",0.014887400842829
"PTPRC","MYO1F",0.0148866360399855
"MYO1F","IFNG",0.0148863793747496
"GPR183","BTLA",0.0148808181541496
"ACTN1","LTB",0.0148764849369303
"CD52","CD14",0.0148741917447973
"GZMB","CD4",0.0148721630883907
"GZMB","BIN2",0.0148691349572767
"RPS8","IL17RA",0.0148667743973044
"FGR","LTB",0.0148627214761732
"GZMB","TOMM7",0.014859788417307
"TIGIT","S1PR5",0.0148577985681524
"MYO1F","FCGR3B",0.0148553904018926
"CD14","PRF1",0.0148512466064439
"BTLA","CD52",0.0148485449044265
"CD2","FCGR3B",0.0148467238416109
"CD3E","SELL",0.0148430357561613
"FGR","CCR7",0.0148393006548262
"GZMB","S1PR5",0.0148376751610005
"IL2RB","IL2RA",0.0148374178396862
"ZNF683","CD2",0.014836900964416
"EIF3L","EEF1B2",0.0148325009449526
"CD3D","NOP53",0.0148281314657838
"CD52","CD5",0.0148248848551968
"CD3E","MYO1G",0.0148223739140215
"FGR","CD4",0.0148221483577382
"ITGB2","CD69",0.0148210662318877
"CD300A","MYO1F",0.0148165049524193
"CD27","CD52",0.0148159914781104
"GNLY","CD300A",0.0148157728500168
"CD52","GZMB",0.0148053462594874
"CD2","IL2RB",0.0148033889559702
"CD3D","CD300A",0.0148029274401871
"PRF1","PLEK",0.0148023611304467
"GZMK","RSL1D1",0.0147952425411699
"IL7R","SELL",0.014794857354253
"CD8B","CD52",0.0147943906763045
"RPS8","IL7R",0.0147943065594765
"EEF2","S1PR5",0.0147927686993307
"RPS5","CD52",0.01479173703149
"LTB","APEX1",0.0147915176329998
"CD3E","LGALS1",0.0147908839515059
"CD300A","KLRB1",0.0147906328996399
"RSL1D1","BTLA",0.0147894926539707
"FLNA","SAMD3",0.0147851747756021
"IL2RB","NPM1",0.0147837287466099
"CD8A","TOMM7",0.0147785230520339
"CD27","NOP53",0.0147770319586086
"NKG7","IL7R",0.0147747436256117
"CD14","GZMH",0.0147717630467014
"TIGIT","CCR7",0.0147712860652394
"IL7R","CD5",0.0147666475279114
"TIGIT","CD3G",0.0147656797155811
"RPS8","SELL",0.0147645770314481
"RACK1","SELPLG",0.0147609339753206
"CD52","ZNF683",0.0147598613542141
"CD3D","VCL",0.0147579932666029
"PLEK","ZNF683",0.0147559794970657
"RACK1","CD300A",0.0147543601638657
"CD69","IL2RA",0.0147486960401258
"CD52","ARHGAP25",0.0147460338366215
"FGR","RPS8",0.0147456582546759
"CD52","CD27",0.0147454065149077
"CD8B","CD6",0.0147429311746955
"IL2RA","CD8A",0.014740360326348
"GNLY","FCGR3B",0.0147392836880706
"S1PR5","CTLA4",0.0147376492785694
"FGR","CD8A",0.0147363239506491
"ACTN1","CTLA4",0.014736105542331
"IL7R","NOP53",0.0147342556891896
"NKG7","NOP53",0.0147310762818243
"CCR7","ITGB2",0.0147294659380795
"NOP53","CD4",0.0147273631106946
"GZMH","FCGR3B",0.0147267038982079
"KLRB1","CD300A",0.0147245617052198
"GZMK","APEX1",0.0147236126519927
"NOP53","S1PR5",0.0147170378264595
"EEF2","ITGB2",0.0147164180161761
"CD52","TBX21",0.0147158161692846
"NPM1","IFNG",0.0147147990924009
"AIF1","IFNG",0.0147123561210549
"CD28","CCR7",0.0147118444770249
"CD6","SAMD3",0.0147096142515036
"SAMD3","MYO1F",0.0147085905224381
"PRF1","CD3G",0.0147077967475599
"EEF2","GZMK",0.014707604330618
"CD8A","CD27",0.01470735630838
"RPS5","RSL1D1",0.014702120011742
"RACK1","IFNG",0.0147021007094443
"NOP53","GNLY",0.0147016825300553
"GZMK","SELPLG",0.0147006507879355
"EEF1B2","FCGR3B",0.0147003234106041
"CD3E","FCGR3B",0.0146988534474675
"ACTN1","CD19",0.014696962585128
"IL2RB","CD2",0.0146944971480676
"NOP53","ITGAM",0.0146921389838352
"TIGIT","CTLA4",0.0146909895960324
"CD3D","CD6",0.0146889086270333
"KLRB1","GNLY",0.0146870937763828
"EIF3L","IL17RA",0.0146859750916074
"CD5","GZMH",0.0146853700473333
"FGFBP2","BTLA",0.0146849014239984
"IFNG","CD4",0.0146847656327131
"CD3G","CD3D",0.014684081174738
"GZMB","FGR",0.0146839828806941
"CD19","RPS8",0.0146834142916274
"CD27","FCMR",0.0146798393425136
"ITGAM","CD3G",0.0146796357302153
"RPS8","CD3E",0.0146762966202974
"CD52","S1PR5",0.0146747274720575
"ACTN1","CCR7",0.0146700857961266
"PLEK","TIGIT",0.0146698178391373
"IL2RA","S1PR5",0.01466778544347
"NOP53","GZMH",0.0146672336328191
"CD69","RPS5",0.0146635434764317
"FGR","SAMD3",0.0146626425613601
"FGR","MYO1G",0.0146584180340824
"GZMH","CD4",0.0146582825551691
"GNLY","CD5",0.0146580975343102
"TBX21","RPS5",0.0146573144376867
"NKG7","LTB",0.0146556691520144
"CCR7","CD69",0.0146541837351748
"S1PR5","NOP53",0.0146530477474611
"ACTN1","FCRL3",0.0146500584076754
"IL2RB","CD3G",0.0146483082012856
"CD69","CD2",0.0146475613537387
"ITGB2","FCGR3B",0.0146461886005342
"CD5","FCRL3",0.0146457233298776
"CD3E","NKG7",0.0146456040007051
"CD5","EIF3L",0.0146434757940038
"CD3D","LTB",0.014636161334455
"CD300A","GZMK",0.0146334063173372
"FLNA","TBX21",0.0146313236594013
"PRF1","RPS8",0.0146295213696631
"ITGB2","APEX1",0.0146292880506724
"ZNF683","IL2RB",0.0146291846830379
"CD5","GIMAP5",0.0146227923089193
"NOP53","CD3D",0.0146221296198404
"SAMD3","LTB",0.0146206826838229
"GZMH","FLNA",0.0146153115480922
"TBX21","CD27",0.0146147453729101
"IL7R","GZMH",0.0146142105328536
"RACK1","LTB",0.0146100541621029
"CD27","BIN2",0.0146088448712941
"ITGB2","IL2RA",0.0146079902740921
"EEF2","FGFBP2",0.0146074435822937
"RPS5","FGFBP2",0.0146068741344414
"GZMK","IL2RA",0.0146051563395767
"S1PR5","GPR183",0.0145979320871975
"KLRB1","CCR7",0.0145929741608572
"CD3D","ACTN1",0.0145906214426384
"CCR7","ARHGAP25",0.014588278811794
"NKG7","CD6",0.0145880348762806
"ARHGAP25","MYO1F",0.0145875817307992
"KLRB1","IL2RB",0.0145875250913529
"GPR183","TOMM7",0.0145861450845502
"EEF1B2","CD3E",0.0145848405193256
"BIN2","CTLA4",0.0145846579024447
"CD300A","FCMR",0.0145836240137995
"EEF1B2","GZMH",0.0145789511878922
"FCGR3B","GIMAP5",0.01457711718566
"CD3E","NPM1",0.0145768227358676
"EIF3L","GNLY",0.014574630032572
"IL17RA","GPR183",0.014574529986269
"CD3D","CD8B",0.014573961995462
"FGR","GNLY",0.0145716256254293
"NOP53","MYO1G",0.01457158540917
"NKG7","RPS8",0.014571221039146
"CD14","MYO1G",0.0145708399975968
"CD8A","SELPLG",0.0145681657554812
"NKG7","FCRL3",0.0145654231938151
"CD52","SELPLG",0.014563909895432
"IFNG","FCMR",0.0145634051816381
"CD19","KLRB1",0.0145631740838622
"NPM1","CD3E",0.0145630958684073
"FCRL3","BIN2",0.0145571742004904
"SAMD3","CD52",0.0145554145273887
"RPS8","CD69",0.0145549041979343
"MYO1F","GNLY",0.0145544767636188
"CD19","CD4",0.0145528249640273
"RPS5","CD2",0.0145523190441732
"CD300A","GNLY",0.0145520307568234
"CD19","IL2RB",0.0145514804476639
"CD8A","CD28",0.0145492010890138
"NPM1","PTPRC",0.0145473610718943
"GZMK","ARHGAP25",0.0145463550487126
"EIF3L","TBX21",0.0145458832342165
"CD19","CD6",0.0145397995825787
"IFNG","FCGR3B",0.0145339057990483
"ACTN1","ITGB2",0.0145334187259506
"TBX21","BIN2",0.0145324429408682
"CD5","TOMM7",0.0145303626979171
"IL7R","IFNG",0.014529641484714
"LTB","SELL",0.0145287342679283
"CTLA4","CD2",0.0145265637135396
"GIMAP5","FLNA",0.014526291876552
"CD69","GNLY",0.0145260115378553
"PLEK","KLRB1",0.0145243753866109
"GZMK","EEF2",0.0145226404439892
"EEF1B2","CD300A",0.0145222142312351
"ACTN1","GNLY",0.0145202453136533
"GZMB","ARHGAP25",0.0145174429702967
"VCL","ITGAM",0.0145170509428519
"GZMH","CD2",0.0145168648751963
"CD3E","PRF1",0.0145130680704806
"IL17RA","CD69",0.0145120671120498
"ITGB2","CD52",0.0145111117101032
"EEF2","CD27",0.0145106615887368
"SELL","ZNF683",0.0145105883901504
"CD8B","NPM1",0.0145085142365746
"FCGR3B","GZMK",0.0145063078526932
"S1PR5","GZMK",0.014505716470812
"PTPRC","RPS8",0.0145025878846236
"APEX1","LTB",0.0145025172347785
"CD27","FGFBP2",0.0145024759306152
"EIF3L","CD8A",0.0145018266335677
"CD3D","PLEK",0.0145011304967852
"RACK1","RSL1D1",0.0144969630928982
"FGR","FGFBP2",0.0144964437210008
"CD69","CD3G",0.0144957326029513
"CD69","SELL",0.0144952542530015
"ITGAM","NOP53",0.0144919272217113
"CD19","GNLY",0.0144917640054744
"FGFBP2","RACK1",0.0144905905101475
"CCR7","APEX1",0.0144905469594831
"ZNF683","CD52",0.0144895982497722
"VCL","FGFBP2",0.0144881587030338
"IL2RB","MYO1F",0.0144881450975357
"MYO1G","EIF3L",0.0144880372761473
"IL2RA","BIN2",0.0144829525880236
"EEF2","CD300A",0.014482829646138
"CD27","NKG7",0.0144816351326218
"ITGAM","ARHGAP25",0.0144783953248694
"KLRB1","TBX21",0.0144767722714622
"CD8B","RPS5",0.0144763785444941
"CD28","ARHGAP25",0.0144752398798862
"ITGAM","CD52",0.014474847961325
"GZMH","ARHGAP25",0.0144721552908478
"LTB","IFNG",0.0144704013026403
"EMP3","SAMD3",0.0144703181775428
"CD14","BIN2",0.0144701734057531
"PLEK","BTLA",0.0144692246784426
"GZMH","EIF3L",0.0144683429330368
"NKG7","LGALS1",0.014467485955334
"CD19","ARHGAP25",0.0144666451826639
"CD2","TBX21",0.0144658631298619
"KLRB1","IFNG",0.0144650386901831
"RACK1","CD4",0.0144644330345307
"SAMD3","RPS8",0.0144634035718559
"RPS5","CCR7",0.0144632990377476
