"regulatoryGene","targetGene","weight"
"LGALS1","EMP3",0.210987160674601
"EMP3","LGALS1",0.193487686239732
"IL17RA","STK10",0.181784580699486
"STK10","IL17RA",0.180623174780766
"GIMAP5","GIMAP8",0.15260404645919
"VCL","FLNA",0.149406124312419
"GIMAP8","GIMAP5",0.147720561656058
"FCGR3A","FCGR3B",0.146085051271548
"FCGR3B","FCGR3A",0.143885609973475
"FLNA","VCL",0.138774107808575
"VCL","ACTN1",0.129115116703594
"CD19","BTLA",0.12523527971614
"ACTN1","VCL",0.113261096868763
"BTLA","CD19",0.107007758207198
"TIGIT","FCRL3",0.105499280393187
"FCRL3","TIGIT",0.0966507273228229
"CD19","FCMR",0.0929556233404965
"GPR183","CD69",0.0917693378234151
"CD69","GPR183",0.0904419386648961
"FCMR","CD19",0.0852163542056924
"CD3E","CD4",0.0742915935878829
"WDR43","RSL1D1",0.0714777244814909
"RSL1D1","WDR43",0.0692455043059741
"WDR43","NOP53",0.0621133659452177
"CD4","CD3E",0.0612599206342802
"NOP53","WDR43",0.0588934675058582
"PTPRC","MYO1G",0.0583611275712346
"IL2RA","CCR7",0.0579347863581613
"RPS5","APEX1",0.0574169209029752
"TOMM7","EEF1B2",0.0558173161281127
"MYO1F","ITGAM",0.0557323917018319
"ITGAM","MYO1F",0.055298333799159
"CCR7","IL2RA",0.0551312613463443
"CD2","CTLA4",0.0540222005806239
"APEX1","RPS5",0.048814112818244
"NPM1","RSL1D1",0.0486260688252538
"FCGR3A","CD14",0.0481875967393192
"EEF1B2","TOMM7",0.048106858849741
"PTPRC","SELL",0.0476533920913914
"RSL1D1","NPM1",0.0470718431229015
"CD14","FCGR3A",0.0470712783169116
"CTLA4","CD2",0.044899869426353
"GPR183","PLEK",0.0438473896408775
"SELL","PTPRC",0.0428661932377646
"PLEK","GPR183",0.0422873031801306
"CD8A","ZNF683",0.0416331359312096
"MYO1G","PTPRC",0.039637139375996
"AIF1","CD52",0.038968959812433
"PLEK","ARHGAP25",0.0389130010382434
"EEF2","RACK1",0.0385966306958856
"ARHGAP25","PLEK",0.0378219426454137
"MYO1F","CD14",0.0372408348908206
"RACK1","EEF2",0.0369582733255971
"EEF2","EIF3E",0.0362503121741438
"PLEK","BIN2",0.0361622980259753
"PTPRC","BIN2",0.0358410674303417
"CD14","MYO1F",0.0352557506162655
"FGR","CD300A",0.0347301030269386
"CD52","AIF1",0.0335029082318102
"EEF1B2","NPM1",0.0333471077523378
"TBX21","IFNG",0.0332302438952058
"BIN2","PTPRC",0.032838174159899
"AIF1","CD14",0.0325747107106645
"PRF1","S1PR5",0.0322179590824591
"S1PR5","PRF1",0.0320793675881354
"CD3D","CD28",0.0317226998017417
"IL2RB","TIGIT",0.0316455082624684
"ITGB2","AIF1",0.0314268656097982
"IFNG","TBX21",0.0314129824163668
"GZMH","IFNG",0.0313832672712613
"CD300A","FGR",0.0310850282921993
"EIF3E","EEF2",0.0309851282213058
"CD5","CD28",0.0309442186380075
"ITGB2","PLEK",0.0307622304796898
"S1PR5","GZMH",0.0307049466367017
"ZNF683","CD8A",0.0306916958418061
"GZMH","S1PR5",0.0305297847007009
"PLEK","ITGB2",0.0291997432356498
"CD3E","CD3D",0.0290711813068561
"NOP53","RPS5",0.0290178465865049
"NPM1","EEF1B2",0.0289896194902162
"CD28","CD3D",0.0289753676416996
"EIF3L","EIF3E",0.0286132789267125
"RPS5","NOP53",0.028405538043483
"KLRD1","S1PR5",0.0282445570672921
"CD3E","CD52",0.0281968959698712
"PLEK","CD300A",0.0281788855287375
"EIF3E","EIF3L",0.0280624296023926
"CD52","CD3E",0.0280108743100806
"S1PR5","FGFBP2",0.0277845936887857
"CD3D","IL7R",0.0277015067363401
"FGR","ARHGAP25",0.0273099079804432
"S1PR5","KLRD1",0.0273050919201098
"EEF1B2","EEF2",0.0271462135386049
"ITGAM","FGR",0.0270419371983502
"RACK1","RPS8",0.0269570955564295
"RSL1D1","NOP53",0.0268899243480135
"EEF2","EEF1B2",0.0268443307765261
"TIGIT","IL2RB",0.026741197907764
"EEF1B2","RPS8",0.0266543841437023
"EIF3L","RPS8",0.026542959340763
"ITGB2","ITGAM",0.0264553337594863
"RPS5","EIF3L",0.0264443564521522
"ARHGAP25","FGR",0.026397692429146
"FGR","ITGAM",0.0263677020837602
"CD300A","ITGAM",0.0263190645939326
"ITGB2","CD300A",0.0262614801757979
"CD3D","CD3E",0.0262318610714792
"CD6","CD27",0.0259515744840729
"CD28","CD5",0.0256214942046467
"AIF1","ITGB2",0.0254892000044944
"IL10RA","ARHGAP25",0.0254504933757255
"CD14","AIF1",0.0253402102777715
"NOP53","EEF2",0.0252017216927285
"NOP53","RSL1D1",0.0250839074491702
"KLRD1","KLRF1",0.0250732602484308
"IL7R","CD3D",0.0250659855590278
"ITGAM","ITGB2",0.0248373342308277
"PTPRC","MYO1F",0.0248208589703009
"LTB","CD6",0.0246618847013188
"EEF2","RPS5",0.0245956848676179
"KLRB1","ZNF683",0.0245536921998312
"PTPRC","IL10RA",0.0242556477276304
"FGFBP2","S1PR5",0.0242223577962492
"ITGB2","FGR",0.0242010489516723
"CD300A","PLEK",0.0237149325308466
"GNLY","KLRB1",0.0236379921553805
"CD6","LTB",0.0235016216680981
"KLRF1","GNLY",0.0234888204840884
"KLRB1","SELL",0.023343247350313
"IL10RA","STK10",0.0233060221818917
"IL10RA","SELPLG",0.0232535083501896
"FGR","CD3G",0.0232318137954614
"CD8A","GZMK",0.0231612227208327
"EEF2","NOP53",0.0231231903897312
"RPS8","RACK1",0.022996806495474
"CD3G","CD28",0.0229396278019717
"RACK1","EIF3E",0.0228984171821436
"NPM1","LTB",0.0228649286495004
"CD19","CCR7",0.0227399048917927
"CD2","LTB",0.0226214994333053
"CD3E","GIMAP8",0.0225169742152771
"GNLY","KLRF1",0.0224133276297635
"NKG7","FGFBP2",0.022395449328697
"GZMH","GZMB",0.022363770877404
"RPS8","EEF1B2",0.0223132547524377
"WDR43","ACTN1",0.0222951277352737
"EIF3L","RPS5",0.0222821990342241
"ARHGAP25","IL10RA",0.0222527438019375
"ITGB2","BIN2",0.0221415312350884
"RPS8","EIF3L",0.0220758289124442
