"regulatoryGene","targetGene","weight"
"LGALS1","EMP3",0.246591834618538
"EMP3","LGALS1",0.236254956927895
"STK10","IL17RA",0.20898368076521
"IL17RA","STK10",0.207952201256128
"VCL","ACTN1",0.15715955302237
"ACTN1","VCL",0.1425658633894
"GIMAP5","GIMAP8",0.138144898712285
"CD19","BTLA",0.130965921390507
"BTLA","CD19",0.1308242826885
"GIMAP8","GIMAP5",0.129155617978006
"VCL","FLNA",0.114353223034112
"FLNA","VCL",0.113972473101166
"FCGR3A","FCGR3B",0.0981604879962283
"GPR183","CD69",0.0965730679884012
"RSL1D1","NPM1",0.0932320699841266
"FCRL3","TIGIT",0.0926127163941682
"TIGIT","FCRL3",0.0921051049426695
"NPM1","RSL1D1",0.0907443443389789
"CD69","GPR183",0.0896078912785352
"FCGR3B","FCGR3A",0.0867261190818467
"CD19","FCMR",0.0770905816004307
"EEF1B2","TOMM7",0.0749514705856465
"RSL1D1","WDR43",0.0703971320301403
"FCMR","CD19",0.0669654428108922
"NOP53","WDR43",0.0623985396971247
"GPR183","PLEK",0.0600842831093285
"WDR43","RSL1D1",0.0571789936772777
"PLEK","GPR183",0.0570139219749361
"WDR43","NOP53",0.0565849755663216
"TOMM7","EEF1B2",0.0538520468091271
"CCR7","IL2RA",0.0538089143694316
"CD3E","CD4",0.0501441187892899
"PTPRC","MYO1G",0.0480426588105443
"IL2RA","CCR7",0.0466967821465866
"ITGB2","SELPLG",0.0462091544732291
"CCR7","FCMR",0.0453732360485233
"CD14","AIF1",0.04441031411259
"CD14","FCGR3A",0.0444064243039604
"RPS5","APEX1",0.0428120924488376
"PTPRC","BIN2",0.0414623184800566
"CD300A","ITGAM",0.0402094009753866
"AIF1","CD14",0.0399403036748191
"CD2","CTLA4",0.0398968992124092
"APEX1","RPS5",0.0394139061816535
"CD8A","ZNF683",0.0391353050789117
"FGR","CD300A",0.0390140636509419
"FGFBP2","S1PR5",0.0386487780269722
"PTPRC","SELL",0.038485743190837
"MYO1G","PTPRC",0.0381716764876548
"RACK1","EIF3E",0.0376671771667757
"CTLA4","CD2",0.0370792835238118
"FCMR","CCR7",0.0368846860848525
"ITGAM","CD300A",0.0368194190131736
"EIF3L","RPS8",0.0360735641598283
"RPS8","EIF3L",0.0355929048756396
"PLEK","CD300A",0.0355871667721988
"PLEK","ARHGAP25",0.0348327651586248
"CD300A","PLEK",0.0342592675656489
"MYO1F","CD14",0.0338053430033765
"CD14","MYO1F",0.0335710026744704
"EIF3E","RACK1",0.0335402730566645
"ITGB2","IL10RA",0.0333366929496122
"CD6","LTB",0.0329734314401136
"GZMH","KLRB1",0.0324768413231606
"ARHGAP25","PLEK",0.0322900395546918
"ZNF683","CD8A",0.0322571658248297
"SELPLG","ITGB2",0.0319030569731496
"FCGR3A","CD14",0.0318754725654918
"EEF2","RPS8",0.0317310994595968
"CD4","CD3E",0.0316733005614836
"LTB","CD6",0.0314038311857216
"ITGB2","MYO1F",0.0313158176003064
"KLRD1","FGFBP2",0.0311365420708657
"EEF2","RACK1",0.0310458632910136
"BIN2","PTPRC",0.0310421152164869
"EIF3E","EEF1B2",0.0309318078359244
"CD300A","FGR",0.0305769070382322
"KLRB1","GZMH",0.0305163256834994
"RACK1","EEF2",0.0303911022405707
"CD3E","CD3G",0.0303393205700533
"SELL","PTPRC",0.030336108510496
"IL10RA","ITGB2",0.0301227678197476
"GNLY","KLRF1",0.0297139728876135
"KLRF1","GNLY",0.0294167282637921
"RACK1","NPM1",0.0290952952718735
"ITGB2","CD300A",0.0288912825461965
"CD6","CD28",0.0288836802214629
"NPM1","RACK1",0.0288379748333665
"EEF1B2","EIF3E",0.0285924109187303
"IL10RA","ARHGAP25",0.028577081351498
"CD300A","ITGB2",0.0285766954231976
"RSL1D1","NOP53",0.0284605475323999
"CD52","AIF1",0.0284005626454748
"PTPRC","AIF1",0.0282251358140064
"S1PR5","FGFBP2",0.0281139308916647
"MYO1F","ITGB2",0.0280852026532421
"GZMH","IFNG",0.0279582384780762
"CCR7","CD19",0.027909851600034
"AIF1","CD52",0.027632198128241
"CD28","CD6",0.0274643716732659
