"regulatoryGene","targetGene","weight"
"EMP3","LGALS1",0.169468394266051
"STK10","IL17RA",0.16353263610096
"LGALS1","EMP3",0.159624100127437
"IL17RA","STK10",0.154398010988903
"VCL","ACTN1",0.143676910718894
"VCL","FLNA",0.138450923282361
"GIMAP5","GIMAP8",0.138264627518344
"GIMAP8","GIMAP5",0.137428250567912
"ACTN1","VCL",0.136489752583017
"FLNA","VCL",0.125101642538254
"FCGR3B","FCGR3A",0.124955605503846
"FCGR3A","FCGR3B",0.1240014579206
"FCRL3","TIGIT",0.112287656007192
"CD19","BTLA",0.110319576658586
"TIGIT","FCRL3",0.110165254417577
"BTLA","CD19",0.0999366883006639
"CD69","GPR183",0.0883371943586558
"GPR183","CD69",0.0877327188744269
"RSL1D1","NPM1",0.0733775833045139
"NPM1","RSL1D1",0.0732087669199292
"CD19","FCMR",0.0696973565969985
"PTPRC","SELL",0.0674028742839023
"EEF1B2","TOMM7",0.0661529969358188
"FCMR","CD19",0.0644283009473265
"SELL","PTPRC",0.0563417249079621
"PTPRC","MYO1G",0.0561469678050549
"RSL1D1","WDR43",0.0535020104529508
"TOMM7","EEF1B2",0.0513351680344883
"CD3E","CD4",0.0497985348023424
"CD14","AIF1",0.0477398542575486
"AIF1","CD14",0.0473991894645179
"NOP53","WDR43",0.0471842507452032
"WDR43","RSL1D1",0.0469674498155549
"CD14","FCGR3A",0.0453688356873742
"RPS5","APEX1",0.0453085267688893
"PLEK","GPR183",0.0419168280097413
"MYO1G","PTPRC",0.0409947341823091
"TBX21","IFNG",0.0404064115282045
"WDR43","NOP53",0.0403146352850855
"ITGAM","MYO1F",0.0400369724356198
"MYO1F","ITGAM",0.0399929238642163
"APEX1","RPS5",0.0399725431120042
"GPR183","PLEK",0.0397340692878234
"FGR","CD300A",0.0381511662106573
"CCR7","IL2RA",0.0380139772184398
"CD4","CD3E",0.0378997570603411
"CD300A","FGR",0.037851653115142
"CD52","AIF1",0.0371594945731851
"AIF1","CD52",0.0365028680945261
"IFNG","TBX21",0.0360713201533241
"FCGR3A","CD14",0.0358449682497755
"ARHGAP25","PTPRC",0.0356186246148855
"GZMK","CD8B",0.0354905009240047
"PTPRC","ARHGAP25",0.0352733481550084
"CD14","FGR",0.0349041361959776
"RACK1","NPM1",0.0346482362010245
"ITGB2","AIF1",0.034126428733874
"EEF1B2","NPM1",0.0340413223624183
"FGR","CD14",0.0339974505844238
"ITGB2","SELPLG",0.033933321195222
"RPS8","EEF2",0.0339104628754532
"PLEK","BIN2",0.0338253894330269
"IL10RA","ARHGAP25",0.0331465096271555
"NKG7","IFNG",0.0330265578070348
"CD300A","ITGAM",0.0330142037886565
"NPM1","RACK1",0.0325479787035172
"FGFBP2","WDR43",0.032450423091977
"CD2","CTLA4",0.0324388739054153
"CCR7","LTB",0.0320579356473778
"PLEK","ARHGAP25",0.0316631067254183
"CD5","CD28",0.0312369167064308
"MYO1F","CD14",0.0312300419475057
"PTPRC","IL10RA",0.0310666204512785
"ITGAM","CD300A",0.0310641764484877
"NPM1","EEF1B2",0.030907587846147
"RACK1","NOP53",0.0308490875760808
"FGFBP2","KLRF1",0.0306895732134536
"AIF1","ITGB2",0.0306201369896744
"CD14","MYO1F",0.0305172366112405
"FGR","IL10RA",0.0301667641489875
"CD52","CD69",0.0299964874233067
"RPS8","RPS5",0.029887200437079
"CD8A","ZNF683",0.0298530745995984
"EEF2","RACK1",0.029841305634531
"EEF2","RPS8",0.0297684260242185
"IL2RA","CCR7",0.0296000059426436
"IL2RB","TIGIT",0.0293184784221088
"GZMH","ZNF683",0.0292803432739365
"RPS5","EEF2",0.0291347678877736
"IL7R","CCR7",0.0288701229019105
"RPS5","RPS8",0.0284943340358564
"CD28","CD5",0.0284819173398901
"IFNG","NKG7",0.0284379379828008
"EEF2","RPS5",0.0278328527094687
"CD52","KLRB1",0.0277988809625855
"CD8B","CD3G",0.0276662915126881
"RACK1","EIF3E",0.0273377780449538
"ARHGAP25","PLEK",0.0272544304332307
"EIF3L","EEF1B2",0.0272278583559382
"CD3D","IL7R",0.0271626450015061
"RACK1","EEF2",0.0270620891466352
"EEF1B2","EIF3L",0.02699551930188
"ARHGAP25","IL10RA",0.0269582952131693
"FGR","ARHGAP25",0.0268866744806106
"NOP53","RACK1",0.0267528712333475
"FGR","MYO1F",0.0266279226297881
"TIGIT","IL2RB",0.0264694070365445
"CD3G","CD8B",0.0263820706114935
"CD2","IL7R",0.0263576914082913
"TIGIT","GZMK",0.0259870672174722
"SELPLG","ITGB2",0.0255666526719191
"KLRF1","FGFBP2",0.0255568921048711
"NOP53","EIF3L",0.0255052917212732
"GZMK","TIGIT",0.0254178009610089
"CTLA4","CD2",0.025382248067618
"NKG7","GZMB",0.0253620398312081
"PTPRC","BIN2",0.0253280507997019
"CD69","CD52",0.025244513547466
"CCR7","IL7R",0.0251898410340721
"RACK1","RPS5",0.0251804950862342
"FCMR","CCR7",0.0251437817397785
"KLRD1","KLRF1",0.0250864589988945
"GZMH","S1PR5",0.025071233357914
"CD8B","GZMK",0.0249956037739599
"CD2","IL10RA",0.0249638818038504
"ARHGAP25","FGR",0.0249052083900127
"EIF3L","EEF2",0.0247355730646431
"BIN2","PLEK",0.0247284568793851
"CD8B","CD3E",0.0245981876059087
"IL10RA","FGR",0.0244694372416179
"CCR7","FCMR",0.0244274601433232
"RPS5","RACK1",0.0242335071809956
"GZMB","CD8A",0.0242306797895327
"MYO1F","FGR",0.0241183618831191
"IL2RB","GPR183",0.0239141349909573
"S1PR5","GZMH",0.0239111880050151
"IL7R","CD2",0.0238978245370184
"IL10RA","CD2",0.0237965593878368
"FGFBP2","S1PR5",0.023750839680679
"IL7R","CD3D",0.0234940301649012
"EIF3E","RACK1",0.0233241626946804
"GZMB","NKG7",0.0231816471218247
"CD300A","ITGB2",0.0231636175874979
"ZNF683","CD8A",0.0230058073092829
"EIF3L","MYO1G",0.0229985981364288
"WDR43","FGFBP2",0.022987777768425
"EIF3L","NOP53",0.0229075564632924
"PRF1","NKG7",0.0228527713171204
"LTB","CCR7",0.0226808482363996
"PTPRC","TIGIT",0.0225898583742512
"CD52","CD27",0.022585774592557
"KLRF1","KLRD1",0.0225313696240255
"IL10RA","EIF3L",0.0225148799949308
"KLRB1","CD52",0.0225085949243721
"S1PR5","FGFBP2",0.0223759410444881
"ITGB2","CD52",0.0223650826165145
"EEF2","EIF3E",0.0223486803232587
"CD2","APEX1",0.0223290133859855
"CD69","GZMH",0.022289263685713
"CD5","CD3G",0.0222585673683146
"CD3D","CD8B",0.0221309810716282
"RPS8","EIF3L",0.022065637106613
"GZMK","CD27",0.0220141283194878
"CD3G","CD5",0.0219492856768128
"RPS8","RACK1",0.0219349557959141
"EIF3L","RPS8",0.021882340055003
"IL10RA","GIMAP8",0.0217999065993693
"S1PR5","KLRD1",0.0217275939580021
"SAMD3","PRF1",0.0217155185703437
"CD52","ITGB2",0.0215936563144421
"ITGB2","CD300A",0.0215155667214171
"PLEK","CD300A",0.0215111516630602
"PRF1","GZMH",0.0214230158946946
"FGR","PLEK",0.0213904862509674
"PTPRC","MYO1F",0.0213264961139582
"PRF1","S1PR5",0.0212904701034056
"S1PR5","PRF1",0.0212366693166213
"KLRD1","S1PR5",0.0212290260097819
"CD8A","BTLA",0.0211566230500959
"FLNA","S1PR5",0.0211562086734996
"RACK1","RPS8",0.021108238052402
"IL10RA","PTPRC",0.0211013429133014
"CD8A","KLRD1",0.0210903158605269
"GZMH","PRF1",0.0210871620279921
"EEF1B2","EIF3E",0.0210854830818594
"CD6","CD3E",0.0210598148900664
"FGR","ITGAM",0.0210096384493025
"CD3G","KLRF1",0.0209718497465154
"RSL1D1","NOP53",0.0209313159502672
"NKG7","GNLY",0.0209186917148252
"GZMH","CD69",0.0208307371251205
"CD8A","GZMB",0.0206979007600004
"GPR183","IL2RB",0.0206329835252199
"PRF1","GNLY",0.0205634908453919
"NOP53","RSL1D1",0.0205520735611477
"CD6","CD28",0.0205393902085589
"PRF1","IL2RA",0.0205043666903135
"RACK1","FCRL3",0.0204897868428623
"EIF3E","RPS8",0.0204790518343859
"FGFBP2","GZMH",0.0204458998912386
"CD5","CD6",0.0203530198992793
"GZMH","SAMD3",0.0203259886204472
"CD14","ITGB2",0.0203026643498002
"CD3E","CD8B",0.0202655919285068
"IL2RB","CD6",0.0201783383868748
"CD2","FCGR3B",0.0201539091677819
"CD3E","CD5",0.0201435299572939
"CD52","PLEK",0.0201365017939947
"TBX21","RSL1D1",0.0200768967544295
"FCRL3","SELPLG",0.0200490850117071
"KLRF1","KLRB1",0.0200466000389817
"PRF1","SAMD3",0.0200069539694799
"CD52","BIN2",0.0199897479607866
"CD2","IL2RA",0.0199864998030715
"RPS5","EIF3E",0.0199835115192598
"GZMK","CD8A",0.019980261556655
"RACK1","EEF1B2",0.0199768231920772
"CD6","LTB",0.0199300699040223
"ITGAM","GZMK",0.0199195060708759
"ITGB2","CD14",0.0198885130955157
"EEF2","EIF3L",0.0198503271288277
"MYO1F","WDR43",0.0198367402486672
"FGFBP2","EIF3L",0.019788403586482
"TBX21","GZMB",0.0197729769323471
"IL10RA","BTLA",0.0197245763244252
"CCR7","CD3G",0.0197220728662045
"CD5","ZNF683",0.0196932497376305
"CD3G","CD6",0.0196727959695181
"ZNF683","GZMH",0.0196514189272222
"KLRD1","FGFBP2",0.0196376380727653
"IFNG","EMP3",0.0196106868455511
"FLNA","TBX21",0.0195898551304534
"CD8A","GZMK",0.0195896565554744
"CD8B","CD3D",0.0195895419696245
"CD3E","CD6",0.0195669906822772
"EEF1B2","LTB",0.019486968681307
"PLEK","CD52",0.0194756096359935
"RSL1D1","FCMR",0.0193278731665517
"CD3D","ACTN1",0.0192883869546144
"EEF2","CTLA4",0.0192050028118904
"ITGB2","PTPRC",0.0191996327519518
"GIMAP5","FLNA",0.0191698817120917
"EEF1B2","IL2RA",0.0191422418453259
"EIF3E","EEF2",0.0191409705941918
"RPS5","ZNF683",0.0191267221860907
"CD300A","PLEK",0.019050520097447
"GZMK","ZNF683",0.0190159670585884
"AIF1","CTLA4",0.019007647843153
"EEF1B2","RACK1",0.0189931354349694
"KLRD1","TBX21",0.018988229864523
"CD52","CD3E",0.018955178805775
"TOMM7","GPR183",0.0189470108172921
"GZMH","IFNG",0.0188902728343611
"KLRF1","BTLA",0.0188327391086504
"IL7R","EIF3E",0.0188326899917597
"CD3G","KLRD1",0.0188050860567211
"GZMK","CD3D",0.018789070551672
"CD2","GNLY",0.0187820466368772
"GPR183","SELPLG",0.0187797382122054
"PTPRC","ITGB2",0.0187627983643547
"KLRB1","CD27",0.0187423307714861
"CD2","KLRB1",0.0186894903007915
"CD3G","CD3E",0.0186788072912032
"RPS5","NOP53",0.0186088899050791
"KLRB1","CD2",0.0185976457850332
"GZMK","APEX1",0.0185715147704002
"ARHGAP25","PRF1",0.0185711468625935
"MYO1F","PTPRC",0.0185674347609475
"ARHGAP25","TOMM7",0.0185609268273612
"CD4","FLNA",0.0185437470021332
"KLRF1","PRF1",0.0185425323486472
"FGFBP2","MYO1G",0.0185365450738016
"NKG7","PRF1",0.0185272037851973
"TBX21","CD52",0.0184478949295199
"CD52","LGALS1",0.0184475569142241
"PRF1","KLRF1",0.0184266703409848
"ZNF683","CD5",0.0184224911458589
"IFNG","GZMH",0.018406139997106
"IL2RB","SAMD3",0.0183995410732282
"PLEK","FGR",0.0183769134435167
"RSL1D1","RPS5",0.0183575294411212
"CCR7","CD27",0.0183432791387605
"GNLY","PRF1",0.0183399980414685
"KLRF1","EIF3L",0.0183078051967082
"ITGB2","ITGAM",0.0182970033341919
"GZMB","KLRD1",0.0182907544077933
"CD5","WDR43",0.0182865062280889
"EIF3E","EEF1B2",0.018269679717043
"KLRB1","KLRF1",0.0182440676901995
"MYO1F","IL2RA",0.0182232973050347
"GZMK","EIF3L",0.0182188614171617
"FGFBP2","GNLY",0.0181917808414976
"CCR7","CD5",0.0181850783671498
"EIF3L","KLRF1",0.0181775448418203
"CD5","CD3E",0.0181711135326743
"GNLY","NKG7",0.0181624005304131
"FGFBP2","KLRD1",0.0181597086274694
"TBX21","FLNA",0.0181475092735064
"EEF2","PRF1",0.0181112963681288
"SAMD3","IL2RB",0.0181065160430203
"BIN2","PTPRC",0.0180568407140452
"ITGAM","FGR",0.0179966017500674
"ARHGAP25","SELPLG",0.0179949694013373
"CD3D","CD4",0.0179786593754257
"NKG7","TBX21",0.0179311648018018
"PLEK","TOMM7",0.0179194307179116
"EIF3E","EIF3L",0.0178515034931118
"SAMD3","GZMH",0.0178373273770577
"CD300A","CD27",0.0178343039537883
"PTPRC","CD52",0.0178142249491515
"CD3E","CD52",0.0178074822798106
"ARHGAP25","CTLA4",0.0177870636883762
"CD300A","IL10RA",0.0177838735261889
"NOP53","RPS5",0.0177788482463786
"FGR","ITGB2",0.0177467034360496
"CD28","CD6",0.0177426138733282
"CD6","CD3D",0.0177132957939003
"CD6","CD5",0.017709804885669
"RACK1","CD28",0.0176895525958218
"WDR43","CD5",0.0176769126537022
"CD2","NKG7",0.0176753270158469
"CD3G","CCR7",0.0176723904101863
"ITGB2","FCGR3A",0.0176538664964736
"CD8A","CD4",0.0176535067063361
"CD3D","EEF1B2",0.0176400328106236
"GZMB","TBX21",0.0176348765700639
"ITGAM","CTLA4",0.0176327841924131
"PRF1","KLRD1",0.0176325824386131
"RPS8","FCMR",0.0175943154523332
"CD2","GZMB",0.0175847181757823
"GZMH","FGFBP2",0.0175679667316809
"CD3E","CD14",0.0175651292710645
"ITGB2","CD27",0.0175520327877446
"RPS5","RSL1D1",0.0175470139100055
"CD6","CD3G",0.0175026733252719
"CD14","EIF3E",0.0175026196669658
"CD6","CD27",0.0174887240049775
"CD3E","SELPLG",0.0174651410817334
"CD2","IL2RB",0.017454173574331
"MYO1F","RPS8",0.0174538921357492
"IL10RA","NOP53",0.0174480950435609
"EIF3L","FGFBP2",0.0174370571988868
"CD6","IL2RB",0.0174284269213351
"TBX21","GZMK",0.017428321407853
"TBX21","GNLY",0.0174211689919387
"NKG7","KLRD1",0.0174208636038006
"PRF1","FGFBP2",0.0174173404808048
"PRF1","GZMB",0.0174032423049791
"FGFBP2","PRF1",0.0173843614185182
"S1PR5","FLNA",0.0173698135233228
"GZMB","CD2",0.0173651158927752
"NKG7","CD3D",0.017344652325618
"PRF1","SELPLG",0.0173388566506473
"IL10RA","FCGR3B",0.0173169010675413
"BTLA","CD28",0.0173029728361862
"EIF3E","CD5",0.0172890830387342
"CD3D","CD6",0.0172710575084977
"NOP53","GIMAP5",0.0172588250456402
"AIF1","FCMR",0.0172066880273739
"CD3G","CD28",0.0171451235607999
"LTB","CD6",0.0171448248726538
"EEF1B2","EEF2",0.0171434292835555
"IL2RB","CD2",0.0171188121608896
"ITGB2","MYO1F",0.0171118260466055
"FCGR3A","CD3D",0.0170945425626673
"NOP53","EEF2",0.01708805899826
"TOMM7","TBX21",0.0170381664052986
"GNLY","FGFBP2",0.017020680868793
"FLNA","BIN2",0.0170090457401184
"PLEK","GZMH",0.0170009240050574
"RPS8","EIF3E",0.0169763345825874
"GZMK","KLRB1",0.0169752478629578
"EEF1B2","GNLY",0.0169229074015246
"GZMH","ARHGAP25",0.0169026231691419
"CCR7","CD19",0.0168999595741551
"KLRB1","WDR43",0.0168997171750407
"PRF1","ARHGAP25",0.0168954623901272
"CD52","TBX21",0.0168864581014773
"FCMR","STK10",0.0168848098909889
"GZMB","CD5",0.0168702280525545
"GPR183","TOMM7",0.0168629474505988
"GZMH","PLEK",0.0168626507881169
"EIF3E","RPS5",0.0168623188774401
"CD5","CD3D",0.0168539011974273
"GZMB","SAMD3",0.0168524408827658
"CD3D","GZMK",0.016848056879107
"TBX21","CD3G",0.0168180828563722
"RSL1D1","TBX21",0.0167999528678722
"CD27","GZMK",0.0167903599751183
"CD2","IFNG",0.016789354979288
"TBX21","ITGAM",0.0167749561588886
"CD19","CTLA4",0.0167741206681938
"CD52","SAMD3",0.0167674058935825
"EIF3L","EIF3E",0.0167616033800801
"CD8A","TBX21",0.0167287685296875
"EIF3E","KLRD1",0.0167257260676328
"CD3G","APEX1",0.016724613919377
"MYO1G","IL17RA",0.0167201993132775
"GZMK","SELL",0.0167061276325456
"NOP53","LGALS1",0.0167047102522662
"FCMR","BTLA",0.0166963775571925
"SAMD3","CD52",0.0166871549395282
"ITGAM","ITGB2",0.0166853602290891
"IL10RA","GIMAP5",0.0166832447813944
"MYO1F","ITGB2",0.0166767967995648
"CD8A","EIF3E",0.016672575871359
"FGR","SELPLG",0.0166380118471202
"IL7R","EEF2",0.0166326350232021
"CD5","GZMB",0.0166191174063971
"CD52","MYO1G",0.016570413060591
"KLRD1","NKG7",0.0165577542657608
"KLRF1","IFNG",0.0165529394498357
"PTPRC","KLRF1",0.0165504943421861
"CD3D","IL2RA",0.0165470067507104
"GNLY","EEF1B2",0.0165329225849897
"CD3D","CD27",0.0165317131769172
"RPS5","IL17RA",0.0165055084101382
"GZMK","IL7R",0.0165051439804034
"GZMK","GZMB",0.0164961266976791
"PLEK","ITGAM",0.016495669210604
"CD8B","GPR183",0.0164892219234948
"IL10RA","KLRB1",0.016481856894575
"BIN2","IL17RA",0.0164704983221427
"CD5","CCR7",0.0164495238609443
"RPS8","ZNF683",0.0164271613309695
"CD3D","EIF3E",0.0164083063216259
"GZMB","IL2RB",0.0164032015815058
"SAMD3","CTLA4",0.0163913018483543
"KLRF1","CD4",0.0163838484408371
