Interactor_A	Interactor_B	Score	type
752	MKI67	HDAC2	403.2	physical
753	MKI67	STAU1	320.3	physical
754	MKI67	PAPD5	326.1	physical
755	MKI67	UTP20	340.3	physical
756	MKI67	FXR2	313.9	physical
757	MKI67	QSER1	361.3	physical
758	MKI67	CHD8	354.1	physical
759	MKI67	ACTN4	358.7	physical
760	MKI67	SERPINB4	536.4	physical
761	MKI67	SMARCA2	541.3	physical
762	MKI67	KRT15	548.8	physical
763	MKI67	CHD3	518	physical
764	MKI67	RBMXL1	400.4	physical
765	MKI67	TUBA8	304.1	physical
766	MKI67	DNM3	653.1	physical
767	MKI67	HBB	432.5	physical
768	MKI67	SHOC2	431.5	physical
769	MKI67	NR2C2	384.6	physical
770	MKI67	IGHG1	319.5	physical
771	MKI67	WDR18	356.1	physical
772	MKI67	DNTTIP2	311.8	physical
773	MKI67	TRRAP	1781.4	physical
774	MKI67	SNRNP200	1448.4	physical
775	MKI67	GTF3C1	1436.4	physical
776	MKI67	MAP1B	1463.9	physical
777	MKI67	DST	1392.7	physical
778	MKI67	PRPF8	1206	physical
779	MKI67	NOP58	1016.8	physical
780	MKI67	EP400	1133.4	physical
781	MKI67	RSL1D1	1079.1	physical
782	MKI67	DDX24	847.5	physical
783	MKI67	GNL3	701	physical
784	MKI67	CHD7	764.5	physical
785	MKI67	DOCK10	725.3	physical
786	MKI67	WDR3	738.7	physical
787	MKI67	DDX27	736.2	physical
788	MKI67	UTP6	431.9	physical
789	MKI67	GNL2	627.9	physical
790	MKI67	RACGAP1	579.9	physical
791	MKI67	RPL26L1	537.2	physical
792	MKI67	PNN	465	physical
793	MKI67	PDCD6IP	378.1	physical
794	MKI67	WDR36	540.8	physical
795	MKI67	XRN2	369	physical
796	MKI67	MRTO4	410.4	physical
797	MKI67	C14orf169	375.7	physical
798	MKI67	MAP7D1	394.2	physical
799	MKI67	TBL3	461	physical
800	MKI67	SNW1	439.9	physical
801	MKI67	PES1	441.4	physical
802	MKI67	MOV10	451.9	physical
803	MKI67	BEND3	319.7	physical
804	MKI67	DDX50	525.4	physical
805	MKI67	BRIX1	430.7	physical
806	MKI67	LYAR	404.6	physical
807	MKI67	KIF20B	317.3	physical
808	alg-1	lev-11	1450	physical
809	alg-1	pab-1	313.58	physical
810	alg-1	rla-2	667.52	physical
811	alg-1	rpl-1	610.59	physical
812	alg-1	rpl-15	389.33	physical
813	alg-1	rpl-32	334.61	physical
814	alg-1	rpl-38	423.92	physical
815	alg-1	rps-23	760.89	physical
816	alg-1	rps-24	427.88	physical
817	alg-1	unc-87	399	physical
818	alg-1	ain-1	493.2	physical
819	alg-1	Y37E3.8	754	physical
820	DNAJA1	ENDOG	490	physical
821	DNAJA1	HSPA2	375	physical
822	DNAJA1	DNAJA4	350	physical
823	DNAJA2	ENDOG	540	physical
824	DNAJA2	HSPA2	445	physical
825	DNAJA3	IARS2	625	physical
826	DNAJA3	TMEM231	395	physical
827	DNAJA3	GRPEL1	425	physical
828	DNAJA4	ENDOG	625	physical
829	DNAJB11	DNAJC3	460	physical
830	DNAJB11	SDF2	1285	physical
831	DNAJB11	SDF2L1	717.43	physical
832	DNAJB12	HSPA2	850	physical
833	DNAJB12	DNAJB1	420	physical
834	DNAJB12	BAG5	457.2	physical
835	DNAJB13	DBT	2960	physical
836	DNAJB13	BCKDHA	1565	physical
837	DNAJB14	HSPA2	935	physical
838	DNAJB14	DNAJB1	435	physical
839	DNAJB14	BAG5	426	physical
840	DNAJB1	HSPA2	305	physical
841	DNAJB2	HSPA2	360	physical
842	DNAJB4	HSPA2	630	physical
843	DNAJB4	DNAJB1	2575	physical
844	DNAJB4	TMEM231	330	physical
845	DNAJB4	DNAJB5	415	physical
846	DNAJB5	HSPA2	990	physical
847	DNAJB6	HSPA2	410	physical
848	DNAJB6	DNAJB1	490	physical
849	DNAJB8	HSPA2	700	physical
850	DNAJB8	DNAJB1	450	physical
851	DNAJB8	GRPEL1	325	physical
852	DNAJB8	TUBA1C	19085	physical
853	DNAJC11	FKBP8	520	physical
854	DNAJC11	ARMC1	510	physical
855	DNAJC12	TUBB4A	1785	physical
856	DNAJC12	HSPA2	380	physical
857	DNAJC15	YME1L1	875	physical
858	DNAJC15	NDUFA9	315	physical
859	DNAJC15	IARS2	375	physical
860	DNAJC15	RPL4	640	physical
861	DNAJC15	RPL6	670	physical
862	DNAJC15	RPL7A	430	physical
863	DNAJC16	HSPA2	720	physical
864	DNAJC16	DNAJB1	340	physical
865	DNAJC16	UBR5	390	physical
866	DNAJC16	RPL4	480	physical
867	DNAJC16	RPL6	525	physical
868	DNAJC16	RPL7A	350	physical
869	DNAJC16	VPRBP	705	physical
870	DNAJC17	ECD	495	physical
871	DNAJC17	AAR2	755	physical
872	DNAJC17	USP11	470	physical
873	DNAJC17	SNRNP40	395	physical
874	DNAJC18	HSPA2	335	physical
875	DNAJC19	PAM16	715	physical
876	DNAJC19	HADHA	1110	physical
877	DNAJC19	HADHB	505	physical
878	DNAJC19	IARS2	390	physical
879	DNAJC19	RPL4	500	physical
880	DNAJC19	RPL6	320	physical
881	DNAJC1	DRG2	325	physical
882	DNAJC1	HADHA	390	physical
883	DNAJC1	RPL4	715	physical
884	DNAJC1	RPL6	830	physical
885	DNAJC1	RPL7	485	physical
886	DNAJC1	RPL7A	530	physical
887	DNAJC1	MTDH	445	physical
888	DNAJC1	PJA2	480	physical
889	DNAJC25	SIRT1	475	physical
890	DNAJC25	HADHA	2740	physical
891	DNAJC25	HADHB	1180	physical
892	DNAJC25	NDUFA9	545	physical
893	DNAJC25	ESYT2	1665	physical
894	DNAJC25	RPL4	775	physical
895	DNAJC25	RPL6	765	physical
896	DNAJC25	RPL7	385	physical
897	DNAJC25	RPL7A	410	physical
898	DNAJC25	RPL18	370	physical
899	DNAJC25	RPLP0	324	physical
900	DNAJC25	MOGS	1390	physical
901	DNAJC27	FAM184A	2540	physical
902	DNAJC28	DCAF8	325	physical
903	DNAJC28	UBR5	350	physical
904	DNAJC2	MYBBP1A	360	physical
905	DNAJC2	DRG2	635	physical
906	DNAJC2	RPL13A	470	physical
907	DNAJC2	HSPA14	2845	physical
908	DNAJC2	ZC3H15	1685	physical
909	DNAJC2	RPL3	645	physical
910	DNAJC2	RPL4	935	physical
911	DNAJC2	RPL6	1225	physical
912	DNAJC2	RPL7	685	physical
913	DNAJC2	RPL7A	770	physical
914	DNAJC2	RPL8	330	physical
915	DNAJC2	RPL15	465	physical
916	DNAJC2	RPL18	440	physical
917	DNAJC2	RPL27	370	physical
918	DNAJC2	RPLP0	396	physical
919	DNAJC2	RPL14	335	physical
920	DNAJC30	UBR5	545	physical
921	DNAJC30	MOGS	315	physical
922	DNAJC30	GRPEL1	470	physical
923	DNAJC3	PON2	310	physical
924	DNAJC3	TMEM231	375	physical
925	DNAJC4	DLD	685	physical
926	DNAJC5B	HSPA2	915	physical
927	DNAJC5B	DNAJB1	395	physical
928	DNAJC5B	BAG5	440.4	physical
929	DNAJC5	HSPA2	520	physical
930	DNAJC7	HSPA2	1065	physical
931	DNAJC7	BAG5	530.4	physical
932	DNAJC9	RAD23A	500	physical
933	DRG1	HSPA14	400	physical
934	DRG1	ZC3H15	2660	physical
935	DRG2	RWDD1	340	physical
936	FAM184A	CEP131	1160	physical
937	FAM184A	PCM1	527.14	physical
938	HSCB	IARS2	410	physical
939	HSPA14	DNAJC2	1400	physical
940	HSPA1A	HSPA2	425	physical
941	HSPA1B	HSPA2	660	physical
942	HSPA6	BAG4	405	physical
943	HSPA6	BAG3	565	physical
944	PRKACA	CDK17	605	physical
945	PRKACA	CDK18	1105	physical
946	PRKACA	PRKAR1A	13185	physical
947	PRKACA	PRKAR1B	1705	physical
948	PRKACA	PRKAR2A	4015	physical
949	PRKACA	PRKAR2B	3230	physical
950	PRKACA	AKAP1	625	physical
951	PRKACA	AKAP11	755	physical
952	PRKACA	PALM2-AKAP2	1640	physical
953	PRKACA	AKAP5	385	physical
954	RWDD1	DRG2	2305	physical
955	RWDD1	DNAJC2	1100	physical
956	RWDD1	HSPA14	1650	physical
957	RWDD1	DNAJC1	665	physical
958	SEC63	VAPA	540	physical
959	SEC63	SEC61B	745	physical
960	SEC63	FKBP8	770	physical
961	SEC63	TBL2	355	physical
962	SEC63	SEC61A1	1620	physical
963	DNAJA1	STIP1	1530	physical
964	DNAJA1	DNAJA4	584.5	physical
965	DNAJA1	ST13	470	physical
966	DNAJA3	ABCB7	345	physical
967	DNAJA3	LETM1	850	physical
968	DNAJA3	NDUFA5	665	physical
969	DNAJA3	NDUFS1	392.88	physical
970	DNAJA3	NDUFS2	448	physical
971	DNAJA3	NDUFV1	755	physical
972	DNAJA3	NDUFS8	375	physical
973	DNAJA3	NDUFV2	430	physical
974	DNAJA3	OXA1L	560	physical
975	DNAJA3	SHMT2	465	physical
976	DNAJA3	DGCR2	370	physical
977	DNAJA3	SLC30A9	440	physical
978	DNAJA3	TIMM44	1840	physical
979	DNAJA3	AFG3L2	1085	physical
980	DNAJA3	ACAD9	305	physical
981	DNAJA3	NDUFAF4	515	physical
982	DNAJA3	PYCR2	305	physical
983	DNAJA3	PTCD3	610	physical
984	DNAJA3	IARS2	815	physical
985	DNAJA3	NDUFA12	610	physical
986	DNAJA3	NDUFAF2	740	physical
987	DNAJA3	PTPMT1	340	physical
988	DNAJA3	NDUFS7	410	physical
989	DNAJA3	NDUFV3	960	physical
990	DNAJA3	ACOT1	1040	physical
991	DNAJB11	BCAP31	410	physical
992	DNAJB11	HYOU1	2875	physical
993	DNAJB11	ERP29	535	physical
994	DNAJB11	IKBIP	385	physical
995	DNAJB11	TMTC3	380	physical
996	DNAJB11	DDOST	400	physical
997	DNAJB11	EMC1	430	physical
998	DNAJB11	GANAB	1375	physical
999	DNAJB11	NUP210	1885	physical
1000	DNAJB11	SDF2L1	630	physical
1001	DNAJB11	PDIA3	1568	physical
1002	DNAJB11	LMAN1	580	physical
1003	DNAJB11	NUCB2	690	physical
1004	DNAJB11	P4HB	1465	physical
1005	DNAJB11	PPIB	725	physical
1006	DNAJB11	UGGT2	525	physical
1007	DNAJB11	PRKCSH	510	physical
1008	DNAJB11	UGGT1	465	physical
1009	DNAJB11	GRAMD1A	325	physical
1010	DNAJB11	SDF2	350	physical
1011	DNAJB11	ERAP2	435	physical
1012	DNAJB11	COLGALT1	410	physical
1013	DNAJB11	CALR	510	physical
1014	DNAJB11	CALU	395	physical
1015	DNAJB11	PLOD3	320	physical
1016	DNAJB11	PDIA4	3090	physical
1017	DNAJB12	BCAP31	320	physical
1018	DNAJB12	HYOU1	1665	physical
1019	DNAJB12	GANAB	1020	physical
1020	DNAJB12	NUP210	445	physical
1021	DNAJB12	PDIA3	928.67	physical
1022	DNAJB12	LMAN1	405	physical
1023	DNAJB12	LRPAP1	320	physical
1024	DNAJB12	NUCB2	450	physical
1025	DNAJB12	P4HB	675	physical
1026	DNAJB12	PRKCSH	335	physical
1027	DNAJB12	GRAMD1A	1410	physical
1028	DNAJB12	PDIA4	1670	physical
1029	DNAJB14	PDIA3	354.67	physical
1030	DNAJB14	PDIA4	515	physical
1031	DNAJB14	DGCR2	790	physical
1032	DNAJB14	GRAMD1A	350	physical
1033	DNAJB1	TTLL12	1230	physical
1034	DNAJB4	TTLL12	1195	physical
1035	DNAJB4	SYNM	890	physical
1036	DNAJB6	GOPC	315	physical
1037	DNAJB9	HYOU1	1290	physical
1038	DNAJB9	IKBIP	435	physical
1039	DNAJB9	EMC1	305	physical
1040	DNAJB9	GANAB	570	physical
1041	DNAJB9	NUP210	650	physical
1042	DNAJB9	PDIA3	597.33	physical
1043	DNAJB9	LMAN1	305	physical
1044	DNAJB9	NUCB2	360	physical
1045	DNAJB9	P4HB	480	physical
1046	DNAJB9	PRKCSH	355	physical
1047	DNAJB9	UGGT1	1230	physical
1048	DNAJB9	PDIA4	1175	physical
1049	DNAJC10	HYOU1	1615	physical
1050	DNAJC10	ERP29	375	physical
1051	DNAJC10	IKBIP	620	physical
1052	DNAJC10	DDOST	305	physical
1053	DNAJC10	EMC1	505	physical
1054	DNAJC10	GANAB	1200	physical
1055	DNAJC10	NUP210	995	physical
1056	DNAJC10	PDIA3	774.67	physical
1057	DNAJC10	LMAN1	445	physical
1058	DNAJC10	NUCB2	810	physical
1059	DNAJC10	P4HB	835	physical
1060	DNAJC10	PPIB	425	physical
1061	DNAJC10	UGGT2	355	physical
1062	DNAJC10	PRKCSH	525	physical
1063	DNAJC10	UGGT1	1160	physical
1064	DNAJC10	RCN1	350	physical
1065	DNAJC10	COLGALT1	415	physical
1066	DNAJC10	CALU	430	physical
1067	DNAJC10	PDIA4	1780	physical
1068	DNAJC11	DGCR2	585	physical
1069	DNAJC14	VRK2	355	physical
1070	DNAJC15	PAM16	350	physical
1071	DNAJC15	LRPPRC	430	physical
1072	DNAJC15	SLC30A9	1900	physical
1073	DNAJC15	TIMM44	2710	physical
1074	DNAJC15	YME1L1	845	physical
1075	DNAJC15	AFG3L2	2280	physical
1076	DNAJC15	PTPMT1	350	physical
1077	DNAJC15	DLST	1045	physical
1078	DNAJC15	MRPS27	670	physical
1079	DNAJC15	NDUFAF3	745	physical
1080	DNAJC15	MRPS18B	640	physical
1081	DNAJC15	ACAD9	925	physical
1082	DNAJC15	NDUFAF4	1375	physical
1083	DNAJC15	PYCR2	740	physical
1084	DNAJC15	NDUFS7	830	physical
1085	DNAJC15	LETM1	2530	physical
1086	DNAJC15	LGALS3BP	305	physical
1087	DNAJC15	NDUFA2	425	physical
1088	DNAJC15	NDUFA5	1220	physical
1089	DNAJC15	NDUFS1	420.88	physical
1090	DNAJC15	NDUFS2	1362.2	physical
1091	DNAJC15	NDUFV1	615	physical
1092	DNAJC15	NDUFS6	335	physical
1093	DNAJC15	NDUFS8	765	physical
1094	DNAJC15	NDUFV2	560	physical
1095	DNAJC15	NDUFV3	1060	physical
1096	DNAJC15	OGDH	1345	physical
1097	DNAJC15	MRPS7	965	physical
1098	DNAJC15	NDUFAF1	345	physical
1099	DNAJC15	ECSIT	505	physical
1100	DNAJC15	MRPS23	555	physical
1101	DNAJC15	MRPL50	375	physical
1102	DNAJC15	PTCD3	1105	physical
1103	DNAJC15	IARS2	2195	physical
1104	DNAJC15	NDUFA12	545	physical
1105	DNAJC15	MRPS35	785	physical
1106	DNAJC15	BCS1L	390	physical
1107	DNAJC15	SHMT2	1545	physical
1108	DNAJC15	MRPS26	600	physical
1109	DNAJC15	MRPS9	515	physical
1110	DNAJC15	MRPS5	590	physical
1111	DNAJC15	MRPL44	310	physical
1112	DNAJC15	MRPS34	710	physical
1113	DNAJC15	DAP3	386.4	physical
1114	DNAJC15	NDUFAF2	1655	physical
1115	DNAJC16	HYOU1	330	physical
1116	DNAJC16	ADCY9	345	physical
1117	DNAJC16	FNDC3A	435	physical
1118	DNAJC16	EMC1	910	physical
1119	DNAJC16	CLCC1	535	physical
1120	DNAJC16	UBXN4	340	physical
1121	DNAJC16	GANAB	825	physical
1122	DNAJC16	TOR1AIP1	665	physical
1123	DNAJC16	CCDC47	665	physical
1124	DNAJC16	GRAMD1A	620	physical
1125	DNAJC16	SLC12A2	530	physical
1126	DNAJC16	DDRGK1	305	physical
1127	DNAJC16	SOAT1	440	physical
1128	DNAJC16	VRK2	495	physical
1129	DNAJC16	VAPB	301	physical
1130	DNAJC16	EIF2AK3	555	physical
1131	DNAJC16	PDIA4	320	physical
1132	DNAJC16	EMC2	375	physical
1133	DNAJC16	VPRBP	310	physical
1134	DNAJC18	HYOU1	525	physical
1135	DNAJC18	PDIA3	457.33	physical
1136	DNAJC18	GRAMD1A	655	physical
1137	DNAJC18	PDIA4	715	physical
1138	DNAJC19	DLST	1030	physical
1139	DNAJC19	LETM1	1415	physical
1140	DNAJC19	NDUFA5	670	physical
1141	DNAJC19	NDUFS2	443.8	physical
1142	DNAJC19	NDUFV1	415	physical
1143	DNAJC19	NDUFS8	385	physical
1144	DNAJC19	OGDH	405	physical
1145	DNAJC19	SHMT2	1050	physical
1146	DNAJC19	DGCR2	475	physical
1147	DNAJC19	TIMM44	2080	physical
1148	DNAJC19	AFG3L2	1975	physical
1149	DNAJC19	MRPS27	575	physical
1150	DNAJC19	MRPS28	525	physical
1151	DNAJC19	MRPS18B	430	physical
1152	DNAJC19	NDUFAF4	650	physical
1153	DNAJC19	PYCR2	325	physical
1154	DNAJC19	PAM16	390	physical
1155	DNAJC19	MRPS7	590	physical
1156	DNAJC19	MRPS23	360	physical
1157	DNAJC19	PTCD3	1095	physical
1158	DNAJC19	IARS2	1635	physical
1159	DNAJC19	NDUFA12	335	physical
1160	DNAJC19	MRPS35	545	physical
1161	DNAJC19	MRPS26	520	physical
1162	DNAJC19	MRPS9	475	physical
1163	DNAJC19	MRPS5	515	physical
1164	DNAJC19	MRPS34	575	physical
1165	DNAJC19	NDUFAF2	870	physical
1166	DNAJC19	NDUFS7	370	physical
1167	DNAJC19	NDUFV3	780	physical
1168	DNAJC19	ACOT1	1685	physical
1169	DNAJC1	TRIM13	545	physical
1170	DNAJC1	RTN3	655	physical
1171	DNAJC1	SEC63	425	physical
1172	DNAJC1	ADCY9	600	physical
1173	DNAJC1	PDZD8	735	physical
1174	DNAJC1	ATF6B	660	physical
1175	DNAJC1	DRG2	366.33	physical
1176	DNAJC1	ACSL3	445	physical
1177	DNAJC1	FNDC3A	480	physical
1178	DNAJC1	ATF6	790	physical
1179	DNAJC1	RAB3GAP1	350	physical
1180	DNAJC1	EMC1	960	physical
1181	DNAJC1	ANKLE2	492.33	physical
1182	DNAJC1	CLCC1	610	physical
1183	DNAJC1	UBXN4	375	physical
1184	DNAJC1	SUN1	518	physical
1185	DNAJC1	TMEM131	495	physical
1186	DNAJC1	TOR1AIP1	990	physical
1187	DNAJC1	IGF2R	425	physical
1188	DNAJC1	ITPR2	345	physical
1189	DNAJC1	ITPR3	485	physical
1190	DNAJC1	LMAN1	340	physical
1191	DNAJC1	TEX264	340	physical
1192	DNAJC1	PDE3B	360	physical
1193	DNAJC1	LSG1	394.8	physical
1194	DNAJC1	LRRC59	570	physical
1195	DNAJC1	VEZT	830	physical
1196	DNAJC1	TTC17	510	physical
1197	DNAJC1	JPH1	545	physical
1198	DNAJC1	CCDC47	810	physical
1199	DNAJC1	STIM2	460	physical
1200	DNAJC1	GRAMD1A	660	physical
1201	DNAJC1	SENP2	325	physical
1202	DNAJC1	DDRGK1	680	physical
1203	DNAJC1	SRPR	368.2	physical
1204	DNAJC1	VRK2	1035	physical
1205	DNAJC1	ST7	520	physical
1206	DNAJC1	CDK5RAP3	515	physical
1207	DNAJC1	CAMLG	335	physical
1208	DNAJC1	LMNB2	665	physical
1209	DNAJC1	PPP1R15B	350	physical
1210	DNAJC1	PKMYT1	400	physical
1211	DNAJC1	ACBD5	415	physical
1212	DNAJC1	VAPB	353.5	physical
1213	DNAJC1	EIF2AK3	960	physical
1214	DNAJC1	EMC2	380	physical
1215	DNAJC21	DNAJB6	360	physical
1216	DNAJC22	TRIM13	505	physical
1217	DNAJC22	EMC1	950	physical
1218	DNAJC22	UBXN4	655	physical
1219	DNAJC22	EMC4	305	physical
1220	DNAJC22	NSFL1C	415	physical
1221	DNAJC22	CCDC47	355	physical
1222	DNAJC22	TXNL1	540	physical
1223	DNAJC22	EMC2	435	physical
1224	DNAJC24	DPH1	735	physical
1225	DNAJC24	DPH2	790	physical
1226	DNAJC25	ATP6AP1	380	physical
1227	DNAJC25	ACSL3	825	physical
1228	DNAJC25	HMOX2	335	physical
1229	DNAJC25	IGF2R	625	physical
1230	DNAJC25	ITPR1	640	physical
1231	DNAJC25	ITPR2	365	physical
1232	DNAJC25	ITPR3	1230	physical
1233	DNAJC25	LMAN1	930	physical
1234	DNAJC25	POR	335	physical
1235	DNAJC25	SLC12A2	375	physical
1236	DNAJC25	SRPR	301	physical
1237	DNAJC25	SURF4	365	physical
1238	DNAJC25	VRK2	545	physical
1239	DNAJC25	VAPB	395.5	physical
1240	DNAJC25	SEC22B	430	physical
1241	DNAJC25	EMC2	970	physical
1242	DNAJC25	ATP6AP2	375	physical
1243	DNAJC25	EMC8	360	physical
1244	DNAJC25	ARL6IP5	335	physical
1245	DNAJC25	SEC63	520	physical
1246	DNAJC25	FNDC3A	350	physical
1247	DNAJC25	EMC1	3295	physical
1248	DNAJC25	CLCC1	690	physical
1249	DNAJC25	UBXN4	595	physical
1250	DNAJC25	GANAB	545	physical
1251	DNAJC25	FKBP8	325.5	physical
1252	DNAJC25	TOR1AIP1	1235	physical
1253	DNAJC25	EMC4	395	physical
1254	DNAJC25	LRRC59	405	physical
1255	DNAJC25	EMC3	755	physical
1256	DNAJC25	EMC7	380	physical
1257	DNAJC25	CCDC47	1895	physical
1258	DNAJC25	GRAMD1A	545	physical
1259	DNAJC25	DDRGK1	750	physical
1260	DNAJC25	LMNB2	595	physical
1261	DNAJC25	TMEM199	425	physical
1262	DNAJC25	STT3B	500	physical
1263	DNAJC25	DNAJC16	360	physical
1264	DNAJC25	STX18	395	physical
1265	DNAJC25	EMC6	305	physical
1266	DNAJC25	PKMYT1	580	physical
1267	DNAJC25	EIF2AK3	925	physical
1268	DNAJC27	FAM184A	770	physical
1269	DNAJC28	LRPPRC	375	physical
1270	DNAJC28	SLC30A9	1570	physical
1271	DNAJC28	TIMM44	2270	physical
1272	DNAJC28	AFG3L2	505	physical
1273	DNAJC28	PTPMT1	325	physical
1274	DNAJC28	MRPS27	345	physical
1275	DNAJC28	MRPS18B	395	physical
1276	DNAJC28	NDUFAF4	360	physical
1277	DNAJC28	PYCR2	405	physical
1278	DNAJC28	NDUFS7	355	physical
1279	DNAJC28	LETM1	1535	physical
1280	DNAJC28	NDUFA2	400	physical
1281	DNAJC28	NDUFA5	455	physical
1282	DNAJC28	NDUFS2	420	physical
1283	DNAJC28	NDUFV1	405	physical
1284	DNAJC28	NDUFS8	360	physical
1285	DNAJC28	NDUFV2	365	physical
1286	DNAJC28	NDUFV3	545	physical
1287	DNAJC28	OXA1L	470	physical
1288	DNAJC28	MRPS7	510	physical
1289	DNAJC28	PTCD3	665	physical
1290	DNAJC28	IARS2	935	physical
1291	DNAJC28	SHMT2	525	physical
1292	DNAJC28	MRPS9	380	physical
1293	DNAJC28	NDUFAF2	520	physical
1294	DNAJC2	IPO8	685	physical
1295	DNAJC2	DRG2	445.67	physical
1296	DNAJC2	HSPA14	1975	physical
1297	DNAJC2	ZC3H15	406.78	physical
1298	DNAJC30	BCAP31	675	physical
1299	DNAJC30	HYOU1	1930	physical
1300	DNAJC30	MTX2	900	physical
1301	DNAJC30	ERP29	460	physical
1302	DNAJC30	IMMT	5690	physical
1303	DNAJC30	COX4I1	1310	physical
1304	DNAJC30	COX15	2870	physical
1305	DNAJC30	GANAB	1155	physical
1306	DNAJC30	NUP210	625	physical
1307	DNAJC30	SAMM50	645	physical
1308	DNAJC30	ACAD9	690	physical
1309	DNAJC30	PDIA3	1108.33	physical
1310	DNAJC30	APP	415	physical
1311	DNAJC30	LMAN1	445	physical
1312	DNAJC30	NDUFA5	305	physical
1313	DNAJC30	NDUFB10	490	physical
1314	DNAJC30	P4HB	770	physical
1315	DNAJC30	TIMMDC1	445	physical
1316	DNAJC30	PPIB	400	physical
1317	DNAJC30	CHCHD3	615	physical
1318	DNAJC30	OCIAD1	765	physical
1319	DNAJC30	PARL	360	physical
1320	DNAJC30	IARS2	1100	physical
1321	DNAJC30	PRKCSH	455	physical
1322	DNAJC30	GRAMD1A	1985	physical
1323	DNAJC30	COLGALT1	340	physical
1324	DNAJC30	CLPB	320	physical
1325	DNAJC30	ATAD3B	430	physical
1326	DNAJC30	TMEM126A	1265	physical
1327	DNAJC30	COX5A	1520	physical
1328	DNAJC30	PDIA4	2280	physical
1329	DNAJC3	BCAP31	350	physical
1330	DNAJC3	HYOU1	1980	physical
1331	DNAJC3	ERP29	405	physical
1332	DNAJC3	SEC63	525	physical
1333	DNAJC3	IKBIP	395	physical
1334	DNAJC3	TMTC3	360	physical
1335	DNAJC3	EMC1	405	physical
1336	DNAJC3	GANAB	1475	physical
1337	DNAJC3	NUP210	2115	physical
1338	DNAJC3	PDIA3	1346.33	physical
1339	DNAJC3	LMAN1	490	physical
1340	DNAJC3	LRPAP1	305	physical
1341	DNAJC3	NUCB2	735	physical
1342	DNAJC3	P4HB	1135	physical
1343	DNAJC3	PPIB	600	physical
1344	DNAJC3	UGGT2	2085	physical
1345	DNAJC3	PRKCSH	415	physical
1346	DNAJC3	UGGT1	640	physical
1347	DNAJC3	GRAMD1A	740	physical
1348	DNAJC3	ERAP2	345	physical
1349	DNAJC3	COLGALT1	400	physical
1350	DNAJC3	CALR	370	physical
1351	DNAJC3	CALU	520	physical
1352	DNAJC3	PLOD3	345	physical
1353	DNAJC3	PDIA4	2410	physical
1354	DNAJC4	AFG3L2	445	physical
1355	DNAJC4	IMMT	1865	physical
1356	DNAJC4	COX4I1	395	physical
1357	DNAJC4	COX15	845	physical
1358	DNAJC4	DLST	375	physical
1359	DNAJC4	CHCHD3	455	physical
1360	DNAJC4	IARS2	390	physical
1361	DNAJC4	SHMT2	510	physical
1362	DNAJC4	CLPB	750	physical
1363	DNAJC4	COX5A	390	physical
1364	DNAJC5B	CAV1	335	physical
1365	DNAJC5B	SLC12A2	605	physical
1366	DNAJC5B	DGCR2	595	physical
1367	DNAJC5G	TXNL1	620	physical
1368	DNAJC5	OCLN	755	physical
1369	DNAJC5	BASP1	530	physical
1370	DNAJC5	STIP1	445	physical
1371	DNAJC5	FERMT2	308	physical
1372	DNAJC5	MPP7	335	physical
1373	DNAJC5	CPNE8	700	physical
1374	DNAJC5	MARK2	1080	physical
1375	DNAJC5	EPHB4	380	physical
1376	DNAJC5	LPHN2	445	physical
1377	DNAJC5	LLGL1	620	physical
1378	DNAJC5	LMAN1	330	physical
1379	DNAJC5	MARK3	875	physical
1380	DNAJC5	NOTCH2	462	physical
1381	DNAJC5	ROR2	530	physical
1382	DNAJC5	ATP2B4	315	physical
1383	DNAJC5	PCDH7	440	physical
1384	DNAJC5	LSR	540	physical
1385	DNAJC5	ATP6V1B2	620	physical
1386	DNAJC5	PIK3R2	440	physical
1387	DNAJC5	ATP6V0A1	530	physical
1388	DNAJC5	PARD3	365	physical
1389	DNAJC5	JPH1	305	physical
1390	DNAJC5	PLEKHA1	410	physical
1391	DNAJC5	SLC3A2	465	physical
1392	DNAJC5	SLC12A2	1475	physical
1393	DNAJC5	YES1	365	physical
1394	DNAJC5	CDC42BPA	1105	physical
1395	DNAJC5	SNAP23	402.5	physical
1396	DNAJC5	SCAMP1	445	physical
1397	DNAJC5	USP6NL	455	physical
1398	DNAJC7	DMXL1	345	physical
1399	DNAJC7	VPS13A	575	physical
1400	DNAJC7	EDRF1	945	physical
1401	DNAJC7	SACS	315	physical
1402	DNAJC7	NUDT19	427	physical
1403	DNAJC7	LLGL1	355	physical
1404	DNAJC7	DYNC2H1	430.5	physical
1405	DNAJC7	ESPL1	515	physical
1406	DNAJC8	SIRT1	650	physical
1407	DNAJC9	RBM28	330	physical
1408	DRG1	ZC3H15	342.22	physical
1409	DRG2	DNAJC2	350	physical
1410	DRG2	HSPA14	310	physical
1411	HSCB	LRPPRC	2730	physical
1412	HSCB	SLC30A9	445	physical
1413	HSCB	TIMM44	1625	physical
1414	HSCB	CLPX	364	physical
1415	HSCB	AFG3L2	1705	physical
1416	HSCB	DLAT	522.67	physical
1417	HSCB	DLST	1815	physical
1418	HSCB	ECHS1	460	physical
1419	HSCB	ETFA	435	physical
1420	HSCB	ETFB	335	physical
1421	HSCB	MRPL21	515	physical
1422	HSCB	VWA8	890	physical
1423	HSCB	MRPS27	1640	physical
1424	HSCB	CLUH	844.67	physical
1425	HSCB	POLDIP2	420	physical
