Interactor_A	Interactor_B	Score	type
168	EAPP	ZNHIT2	812	physical
169	ECD	AAR2	672	physical
170	ECD	ECD	1181	physical
171	ECD	EFTUD2	2538	physical
172	ECD	NONO	506	physical
173	ECD	PARP1	433	physical
174	ECD	POLR1A	304	physical
175	ECD	PRPF8	4304	physical
176	ECD	SNRNP200	3911	physical
177	FBXO3	FBXO3	905	physical
178	INO80B	CHD1	455	physical
179	INO80B	DDX17	1115	physical
180	INO80B	DDX46	761	physical
181	INO80B	DDX5	872	physical
182	INO80B	DHX15	527	physical
183	INO80B	DHX30	459	physical
184	INO80B	DHX9	673	physical
185	INO80B	GNL2	856	physical
186	INO80B	GNL3	801	physical
187	INO80B	INO80B	1247	physical
188	INO80B	LUC7L2	718	physical
189	INO80B	MAP7D1	319	physical
190	INO80B	NPM1	354	physical
191	INO80B	RBM14	396	physical
192	INO80B	RBM39	504	physical
193	INO80B	RPL13	496	physical
194	INO80B	RPL18	481	physical
195	INO80B	RPL23A	303	physical
196	INO80B	RPL27A	351	physical
197	INO80B	RPL3	766	physical
198	INO80B	RPL4	1071	physical
199	INO80B	RPL6	901	physical
200	INO80B	RPL7	454	physical
201	INO80B	RPL7A	727	physical
202	INO80B	RPL8	636	physical
203	INO80B	RPLP0	417	physical
204	INO80B	RPS2	356	physical
205	INO80B	RPS3A	622	physical
206	INO80B	RPS8	786	physical
207	INO80B	RSL1D1	317	physical
208	INO80B	RUVBL1	464	physical
209	INO80B	RUVBL2	317	physical
210	INO80B	SCAF1	644	physical
211	INO80B	SCAF8	476	physical
212	INO80B	TSR1	407	physical
213	INO80B	BRD2	832	physical
214	INO80B	BRD3	630	physical
215	INO80B	BRD4	1614	physical
216	INO80B	INO80	877	physical
217	INO80B	POLR2A	315	physical
218	NCDN	AGPS	705	physical
219	NCDN	ALDH3A2	1058	physical
220	NCDN	ASAH1	443	physical
221	NCDN	ATP1A1	1193	physical
222	NCDN	ATP5A1	534	physical
223	NCDN	ATP5B	647	physical
224	NCDN	CLPTM1L	491	physical
225	NCDN	EHHADH	603	physical
226	NCDN	ESYT1	339	physical
227	NCDN	GOLGA5	734	physical
228	NCDN	IGF2R	381	physical
229	NCDN	ILVBL	1316	physical
230	NCDN	MOGS	1555	physical
231	NCDN	NCDN	4786	physical
232	NCDN	RPN1	346	physical
233	POLDIP2	CLPX	2318	physical
234	POLDIP2	POLDIP2	1485	physical
235	RPAP3	HSPA4	335	physical
236	RPAP3	POLR2B	563	physical
237	RPAP3	POLR3A	1300	physical
238	RPAP3	RPAP3	2788	physical
239	RPAP3	RUVBL1	1178	physical
240	RPAP3	RUVBL2	1243	physical
241	RPAP3	TANGO6	304	physical
242	RPAP3	URI1	1102	physical
243	RPAP3	WDR92	1014	physical
244	RUVBL1	C12orf45	439	physical
245	RUVBL1	C2orf44	1300	physical
246	RUVBL1	DKC1	461	physical
247	RUVBL1	DPCD	593	physical
248	RUVBL1	EFTUD2	965	physical
249	RUVBL1	NOP58	552	physical
250	RUVBL1	POLR2B	573	physical
251	RUVBL1	PRPF8	609	physical
252	RUVBL1	RUVBL1	2821	physical
253	RUVBL1	RUVBL2	2802	physical
254	RUVBL1	SHQ1	348	physical
255	RUVBL1	SNRNP200	474	physical
256	RUVBL1	SRCAP	795	physical
257	RUVBL1	TTI1	356	physical
258	RUVBL1	UPF1	485	physical
259	RUVBL1	ZNHIT2	450	physical
260	RUVBL2	C12orf45	626	physical
261	RUVBL2	C2orf44	2426	physical
262	RUVBL2	DKC1	540	physical
263	RUVBL2	DPCD	637	physical
264	RUVBL2	EFTUD2	1267	physical
265	RUVBL2	POLR2B	530	physical
266	RUVBL2	POLR3A	406	physical
267	RUVBL2	PRPF8	1035	physical
268	RUVBL2	RPAP3	690	physical
269	RUVBL2	RUVBL1	3027	physical
270	RUVBL2	RUVBL2	3252	physical
271	RUVBL2	SHQ1	410	physical
272	RUVBL2	SNRNP200	1292	physical
273	RUVBL2	TANGO6	419	physical
274	RUVBL2	TTI1	1485	physical
275	RUVBL2	UPF1	567	physical
276	RUVBL2	URI1	452	physical
277	RUVBL2	WDR92	382	physical
278	RUVBL2	ZNHIT2	690	physical
279	RUVBL2	ACTL6A	302	physical
280	RUVBL2	EP400	1200	physical
281	RUVBL2	SRCAP	1627	physical
282	RUVBL2	SUGP2	559	physical
283	RUVBL2	TRRAP	434	physical
284	SLC7A6OS	AAR2	1292	physical
285	SLC7A6OS	ACAD11	1173	physical
286	SLC7A6OS	DHX38	363	physical
287	SLC7A6OS	EAPP	486	physical
288	SLC7A6OS	ECD	411	physical
289	SLC7A6OS	EFTUD2	4719	physical
290	SLC7A6OS	OBSL1	940	physical
291	SLC7A6OS	PRPF8	9343	physical
292	SLC7A6OS	SLC7A6OS	1623	physical
293	SLC7A6OS	SNRNP200	8243	physical
294	SLC7A6OS	TSSC4	510	physical
295	SLC7A6OS	WDR5	465	physical
296	TBC1D7	TBC1D7	1342	physical
297	TBC1D7	TSC1	4250	physical
298	TBC1D7	TSC2	4608	physical
299	TSC1	CPVL	320	physical
300	TSC1	RPAP3	514	physical
301	TSC1	RUVBL1	430	physical
302	TSC1	TBC1D7	794	physical
303	TSC1	TSC1	4158	physical
304	TSC1	TSC2	3843	physical
305	TSC1	URI1	311	physical
306	TSC2	RUVBL2	320	physical
307	TSC2	TSC1	834	physical
308	TSC2	TSC2	7612	physical
309	TSSC4	AAR2	974	physical
310	TSSC4	AQR	476	physical
311	TSSC4	CD2BP2	652	physical
312	TSSC4	CDC5L	437	physical
313	TSSC4	DDX23	1449	physical
314	TSSC4	DHX38	637	physical
315	TSSC4	EAPP	307	physical
316	TSSC4	ECD	1617	physical
317	TSSC4	EFTUD2	4391	physical
318	TSSC4	MTA2	650	physical
319	TSSC4	NCDN	312	physical
320	TSSC4	PLRG1	624	physical
321	TSSC4	PRPF19	697	physical
322	TSSC4	PRPF6	2337	physical
323	TSSC4	PRPF8	8943	physical
324	TSSC4	RUVBL1	700	physical
325	TSSC4	RUVBL2	609	physical
326	TSSC4	SLC7A6OS	586	physical
327	TSSC4	SNRNP200	9855	physical
328	TSSC4	SNRNP40	1170	physical
329	TSSC4	TSSC4	490	physical
330	TSSC4	ZNHIT2	625	physical
331	TSSC4	CDC40	793	physical
332	TSSC4	SNW1	350	physical
333	URI1	PIH1D1	671	physical
334	URI1	POLR1A	453	physical
335	URI1	POLR2A	832	physical
336	URI1	POLR2B	401	physical
337	URI1	POLR3A	1454	physical
338	URI1	PPP1CA	304	physical
339	URI1	RPAP3	2604	physical
340	URI1	RUVBL1	1414	physical
341	URI1	RUVBL2	1238	physical
342	URI1	TSC1	321	physical
343	URI1	URI1	1589	physical
344	URI1	WDR92	1327	physical
345	WDR92	CCT2	1877	physical
346	WDR92	CCT3	1528	physical
347	WDR92	CCT4	1738	physical
348	WDR92	CCT5	1408	physical
349	WDR92	CCT6A	1841	physical
350	WDR92	CCT6B	307	physical
351	WDR92	CCT7	1812	physical
352	WDR92	CCT8	1889	physical
353	WDR92	DPCD	581	physical
354	WDR92	EFTUD2	613	physical
355	WDR92	FAM83H	559	physical
356	WDR92	PDRG1	508	physical
357	WDR92	PFDN2	516	physical
358	WDR92	PFDN6	522	physical
359	WDR92	PIH1D1	1306	physical
360	WDR92	POLR2A	2063	physical
361	WDR92	POLR2B	2093	physical
362	WDR92	POLR2C	573	physical
363	WDR92	POLR2E	683	physical
364	WDR92	POLR2M	584	physical
365	WDR92	POLR3A	1824	physical
366	WDR92	PPP1CA	732	physical
367	WDR92	PPP1CC	692	physical
368	WDR92	RPAP2	1176	physical
369	WDR92	RPAP3	3782	physical
370	WDR92	RUVBL1	1966	physical
371	WDR92	RUVBL2	2319	physical
372	WDR92	SEC13	446	physical
373	WDR92	SNRNP200	518	physical
374	WDR92	SPAG1	456	physical
375	WDR92	TANGO6	1363	physical
376	WDR92	TBC1D7	363	physical
377	WDR92	TCP1	1697	physical
378	WDR92	TSC1	1309	physical
379	WDR92	URI1	1945	physical
380	WDR92	WDR92	1774	physical
381	WDR92	ZNHIT2	484	physical
382	ZNHIT1	ACTL6A	1123	physical
383	ZNHIT1	ACTR6	1243	physical
384	ZNHIT1	DMAP1	959	physical
385	ZNHIT1	RUVBL1	2169	physical
386	ZNHIT1	RUVBL2	2569	physical
387	ZNHIT1	SRCAP	4568	physical
388	ZNHIT1	VPS72	529	physical
389	ZNHIT1	YEATS4	337	physical
390	ZNHIT1	ZNHIT1	442	physical
