Interactor_A	Interactor_B	Score	type	org1	org2
89	EAPP	RUVBL2	1271	physical	Homo sapiens	Homo sapiens
90	EAPP	SNRNP200	9990	physical	Homo sapiens	Homo sapiens
91	EAPP	SRRM2	738	physical	Homo sapiens	Homo sapiens
92	EAPP	TSSC4	576	physical	Homo sapiens	Homo sapiens
93	EAPP	ZNHIT2	812	physical	Homo sapiens	Homo sapiens
94	ECD	AAR2	672	physical	Homo sapiens	Homo sapiens
95	ECD	ECD	1181	physical	Homo sapiens	Homo sapiens
96	ECD	EFTUD2	2538	physical	Homo sapiens	Homo sapiens
97	ECD	NONO	506	physical	Homo sapiens	Homo sapiens
98	ECD	PARP1	433	physical	Homo sapiens	Homo sapiens
99	ECD	POLR1A	304	physical	Homo sapiens	Homo sapiens
100	ECD	PRPF8	4304	physical	Homo sapiens	Homo sapiens
101	ECD	SNRNP200	3911	physical	Homo sapiens	Homo sapiens
102	FBXO3	FBXO3	905	physical	Homo sapiens	Homo sapiens
103	INO80B	CHD1	455	physical	Homo sapiens	Homo sapiens
104	INO80B	DDX17	1115	physical	Homo sapiens	Homo sapiens
105	INO80B	DDX46	761	physical	Homo sapiens	Homo sapiens
106	INO80B	DDX5	872	physical	Homo sapiens	Homo sapiens
107	INO80B	DHX15	527	physical	Homo sapiens	Homo sapiens
108	INO80B	DHX30	459	physical	Homo sapiens	Homo sapiens
109	INO80B	DHX9	673	physical	Homo sapiens	Homo sapiens
110	INO80B	GNL2	856	physical	Homo sapiens	Homo sapiens
111	INO80B	GNL3	801	physical	Homo sapiens	Homo sapiens
112	INO80B	INO80B	1247	physical	Homo sapiens	Homo sapiens
113	INO80B	LUC7L2	718	physical	Homo sapiens	Homo sapiens
114	INO80B	MAP7D1	319	physical	Homo sapiens	Homo sapiens
115	INO80B	NPM1	354	physical	Homo sapiens	Homo sapiens
116	INO80B	RBM14	396	physical	Homo sapiens	Homo sapiens
117	INO80B	RBM39	504	physical	Homo sapiens	Homo sapiens
118	INO80B	RPL13	496	physical	Homo sapiens	Homo sapiens
119	INO80B	RPL18	481	physical	Homo sapiens	Homo sapiens
120	INO80B	RPL23A	303	physical	Homo sapiens	Homo sapiens
121	INO80B	RPL27A	351	physical	Homo sapiens	Homo sapiens
122	INO80B	RPL3	766	physical	Homo sapiens	Homo sapiens
123	INO80B	RPL4	1071	physical	Homo sapiens	Homo sapiens
124	INO80B	RPL6	901	physical	Homo sapiens	Homo sapiens
