Interactor_A	Interactor_B	Score	type	org1	org2
1162	HAUS2	HAUS8	373.1896423	physical	Homo sapiens	Homo sapiens
1163	RPRD1B	RPRD1A	355.9887735	physical	Homo sapiens	Homo sapiens
1164	ACTR3	ARPC5	353.1598088	physical	Homo sapiens	Homo sapiens
1165	ARPC2	ARPC1A	349.4160735	physical	Homo sapiens	Homo sapiens
1166	HAUS7	HAUS2	345.2343504	physical	Homo sapiens	Homo sapiens
1167	EXOSC5	EXOSC3	341.0178896	physical	Homo sapiens	Homo sapiens
1168	ARPC1A	ACTR3	338.0154725	physical	Homo sapiens	Homo sapiens
1169	SUPT4H1	SUPT5H	322.4484628	physical	Homo sapiens	Homo sapiens
1170	ARPC2	ARPC5	316.2577986	physical	Homo sapiens	Homo sapiens
1171	ARPC2	ACTR2	302.5045914	physical	Homo sapiens	Homo sapiens
1172	ACTR2	ACTR3	301.2935179	physical	Homo sapiens	Homo sapiens
1173	FNTB	FNTA	301.0122366	physical	Homo sapiens	Homo sapiens
1174	AARS2	ACOT2	313.6	physical	Homo sapiens	Homo sapiens
1175	AARS2	AFG3L2	318.68	physical	Homo sapiens	Homo sapiens
1176	AARS2	C17orf80	355	physical	Homo sapiens	Homo sapiens
1177	AARS2	CLPX	385	physical	Homo sapiens	Homo sapiens
1178	AARS2	DBT	340	physical	Homo sapiens	Homo sapiens
1179	AARS2	FASTKD5	360	physical	Homo sapiens	Homo sapiens
1180	AARS2	GFM1	645	physical	Homo sapiens	Homo sapiens
1181	AARS2	GLS	335	physical	Homo sapiens	Homo sapiens
1182	AARS2	GRSF1	515	physical	Homo sapiens	Homo sapiens
1183	AARS2	IARS2	1140	physical	Homo sapiens	Homo sapiens
1184	AARS2	LETM1	458.18	physical	Homo sapiens	Homo sapiens
1185	AARS2	LRPPRC	367.5	physical	Homo sapiens	Homo sapiens
1186	AARS2	MRPS31	875	physical	Homo sapiens	Homo sapiens
1187	AARS2	MRPS9	360	physical	Homo sapiens	Homo sapiens
1188	AARS2	NDUFAF2	335	physical	Homo sapiens	Homo sapiens
1189	AARS2	NDUFAF4	355	physical	Homo sapiens	Homo sapiens
1190	AARS2	NDUFV3	885	physical	Homo sapiens	Homo sapiens
1191	AARS2	POLG	305	physical	Homo sapiens	Homo sapiens
1192	AARS2	POLRMT	465	physical	Homo sapiens	Homo sapiens
1193	AARS2	SHMT2	640	physical	Homo sapiens	Homo sapiens
1194	AARS2	TACO1	315	physical	Homo sapiens	Homo sapiens
1195	AARS2	TIMM44	425	physical	Homo sapiens	Homo sapiens
1196	AARS2	TRMT10C	510	physical	Homo sapiens	Homo sapiens
1197	AARS2	VARS2	405	physical	Homo sapiens	Homo sapiens
1198	AARS2	VWA8	630	physical	Homo sapiens	Homo sapiens
1199	ACBD5	MYO5C	790	physical	Homo sapiens	Homo sapiens
1200	ACBD5	OCIAD1	469.58	physical	Homo sapiens	Homo sapiens
1201	ACBD5	PEX3	370	physical	Homo sapiens	Homo sapiens
1202	ACTB	ACTC1	1015	physical	Homo sapiens	Homo sapiens
1203	ACTR1A	DENND5B	440	physical	Homo sapiens	Homo sapiens
1204	ACTR1A	VEZT	515	physical	Homo sapiens	Homo sapiens
1205	ACTR3	ARPIN	540	physical	Homo sapiens	Homo sapiens
1206	ACTR3	FLII	350	physical	Homo sapiens	Homo sapiens
1207	AGPS	GNPAT	1010	physical	Homo sapiens	Homo sapiens
1208	AGPS	HSD17B4	1325	physical	Homo sapiens	Homo sapiens
1209	AGPS	PEX5	680	physical	Homo sapiens	Homo sapiens
1210	AIFM1	APOOL	390	physical	Homo sapiens	Homo sapiens
1211	AIFM1	ATAD3A	630	physical	Homo sapiens	Homo sapiens
1212	AIFM1	ATAD3B	390	physical	Homo sapiens	Homo sapiens
1213	AIFM1	ATP5B	339.06	physical	Homo sapiens	Homo sapiens
1214	AIFM1	CKMT1A	560	physical	Homo sapiens	Homo sapiens
1215	AIFM1	CLPB	1030	physical	Homo sapiens	Homo sapiens
1216	AIFM1	COX15	315	physical	Homo sapiens	Homo sapiens
1217	AIFM1	COX4I1	325	physical	Homo sapiens	Homo sapiens
1218	AIFM1	DNAJC11	310	physical	Homo sapiens	Homo sapiens
1219	AIFM1	IARS2	860	physical	Homo sapiens	Homo sapiens
1220	AIFM1	IMMT	1255	physical	Homo sapiens	Homo sapiens
1221	AIFM1	OPA1	405	physical	Homo sapiens	Homo sapiens
1222	AIFM1	USP30	560	physical	Homo sapiens	Homo sapiens
1223	AKAP1	DNAJA2	500	physical	Homo sapiens	Homo sapiens
1224	AKAP1	HELZ	583.33	physical	Homo sapiens	Homo sapiens
1225	AKAP1	ACBD5	425	physical	Homo sapiens	Homo sapiens
1226	AKAP1	ARMC10	470	physical	Homo sapiens	Homo sapiens
1227	AKAP1	BCL2L13	845	physical	Homo sapiens	Homo sapiens
1228	AKAP1	CYB5B	875	physical	Homo sapiens	Homo sapiens
1229	AKAP1	HK1	304.5	physical	Homo sapiens	Homo sapiens
1230	AKAP1	MAOA	325	physical	Homo sapiens	Homo sapiens
1231	AKAP1	FAM73A	350	physical	Homo sapiens	Homo sapiens
1232	AKAP1	PEX1	430	physical	Homo sapiens	Homo sapiens
1233	AKAP1	PRKCD	355	physical	Homo sapiens	Homo sapiens
1234	AKAP1	PRKCQ	440	physical	Homo sapiens	Homo sapiens
1235	AKAP1	RAB1A	330	physical	Homo sapiens	Homo sapiens
1236	AKAP1	RAB7A	370	physical	Homo sapiens	Homo sapiens
1237	AKAP1	SNAP47	375	physical	Homo sapiens	Homo sapiens
1238	AKAP1	VPS13A	630	physical	Homo sapiens	Homo sapiens
1239	AKAP1	VPS13D	420	physical	Homo sapiens	Homo sapiens
1240	AMOT	AMOTL1	985	physical	Homo sapiens	Homo sapiens
1241	AMOT	MPDZ	1750	physical	Homo sapiens	Homo sapiens
1242	AMOT	MPP5	395	physical	Homo sapiens	Homo sapiens
1243	AMOT	NF2	425	physical	Homo sapiens	Homo sapiens
1244	AMOT	INADL	1095	physical	Homo sapiens	Homo sapiens
1245	AMOT	PTPN14	365	physical	Homo sapiens	Homo sapiens
1246	ANAPC2	DNAJA2	395	physical	Homo sapiens	Homo sapiens
1247	ANK3	SPTBN1	355	physical	Homo sapiens	Homo sapiens
1248	ANKFY1	IGF2R	445	physical	Homo sapiens	Homo sapiens
1249	ANKFY1	LNPEP	475	physical	Homo sapiens	Homo sapiens
1250	ANKFY1	TFRC	360	physical	Homo sapiens	Homo sapiens
1251	ANKFY1	VPS8	760	physical	Homo sapiens	Homo sapiens
1252	AP2B1	AP2A1	880	physical	Homo sapiens	Homo sapiens
1253	AP2B1	AP2A2	1030	physical	Homo sapiens	Homo sapiens
1254	AP2B1	TFRC	305	physical	Homo sapiens	Homo sapiens
1255	ARF6	ABCC1	360	physical	Homo sapiens	Homo sapiens
1256	ARF6	CPD	475	physical	Homo sapiens	Homo sapiens
1257	ARF6	IGF2R	320	physical	Homo sapiens	Homo sapiens
1258	ARF6	ITGA2	310	physical	Homo sapiens	Homo sapiens
1259	ARF6	ITGB1	455	physical	Homo sapiens	Homo sapiens
1260	ARF6	LMAN1	465	physical	Homo sapiens	Homo sapiens
1261	ARF6	NOTCH2	465	physical	Homo sapiens	Homo sapiens
1262	ARF6	SPTBN2	330	physical	Homo sapiens	Homo sapiens
1263	ARF6	TFRC	425	physical	Homo sapiens	Homo sapiens
1264	ARF6	VAMP2	320	physical	Homo sapiens	Homo sapiens
1265	ARF6	WDR6	315	physical	Homo sapiens	Homo sapiens
1266	ASF1A	CABIN1	585	physical	Homo sapiens	Homo sapiens
1267	ASF1A	CDAN1	370	physical	Homo sapiens	Homo sapiens
1268	ASF1A	HIRA	1130	physical	Homo sapiens	Homo sapiens
1269	ASF1A	TLK1	345	physical	Homo sapiens	Homo sapiens
1270	ASF1A	TLK2	700	physical	Homo sapiens	Homo sapiens
1271	ASF1A	UBN1	710	physical	Homo sapiens	Homo sapiens
1272	ASF1A	UBN2	810	physical	Homo sapiens	Homo sapiens
1273	ASH2L	KDM6A	490	physical	Homo sapiens	Homo sapiens
1274	ASH2L	KMT2C	1455	physical	Homo sapiens	Homo sapiens
1275	ASH2L	SETD1A	330.56	physical	Homo sapiens	Homo sapiens
1276	ATP2A1	HMOX2	550	physical	Homo sapiens	Homo sapiens
1277	ATP2A1	ITGB1	330	physical	Homo sapiens	Homo sapiens
1278	ATP2A1	LMAN1	1375	physical	Homo sapiens	Homo sapiens
1279	ATP2A1	STT3B	325	physical	Homo sapiens	Homo sapiens
1280	ATP2A1	SYNE2	430	physical	Homo sapiens	Homo sapiens
1281	ATP2A1	VEZT	410	physical	Homo sapiens	Homo sapiens
1282	B3GAT1	GORASP2	498.75	physical	Homo sapiens	Homo sapiens
1283	B3GAT1	IGF2R	765	physical	Homo sapiens	Homo sapiens
1284	B3GAT1	LMAN1	425	physical	Homo sapiens	Homo sapiens
1285	B3GAT1	ROBO1	530	physical	Homo sapiens	Homo sapiens
1286	B3GAT1	SEC31A	340	physical	Homo sapiens	Homo sapiens
1287	B3GAT1	SLC6A8	305	physical	Homo sapiens	Homo sapiens
1288	B3GAT1	STT3B	600	physical	Homo sapiens	Homo sapiens
1289	B3GAT1	TMEM87A	375	physical	Homo sapiens	Homo sapiens
1290	BCAP31	ATP6AP2	335	physical	Homo sapiens	Homo sapiens
1291	BCAP31	HSPA1B	335	physical	Homo sapiens	Homo sapiens
1292	BCAP31	LMAN1	450	physical	Homo sapiens	Homo sapiens
1293	BCAP31	POR	385	physical	Homo sapiens	Homo sapiens
1294	BCAP31	VCP	355	physical	Homo sapiens	Homo sapiens
1295	BCAP31	VRK2	315	physical	Homo sapiens	Homo sapiens
1296	C17orf59	CCDC22	330	physical	Homo sapiens	Homo sapiens
1297	C17orf59	HSPA1B	635	physical	Homo sapiens	Homo sapiens
1298	C17orf59	INPPL1	365	physical	Homo sapiens	Homo sapiens
1299	C17orf59	NIN	310	physical	Homo sapiens	Homo sapiens
1300	C11orf52	FLOT2	315	physical	Homo sapiens	Homo sapiens
1301	C11orf52	LLGL1	305	physical	Homo sapiens	Homo sapiens
1302	C11orf52	NOTCH2	395	physical	Homo sapiens	Homo sapiens
1303	C11orf52	SPTBN1	390	physical	Homo sapiens	Homo sapiens
1304	CALR3	CALU	395	physical	Homo sapiens	Homo sapiens
1305	CALR3	GANAB	645	physical	Homo sapiens	Homo sapiens
1306	CALR3	LMAN1	360	physical	Homo sapiens	Homo sapiens
1307	CALR3	MIA3	680	physical	Homo sapiens	Homo sapiens
1308	CALR3	NUCB2	410	physical	Homo sapiens	Homo sapiens
1309	CALR3	NUP210	380	physical	Homo sapiens	Homo sapiens
1310	CALR3	P4HB	408	physical	Homo sapiens	Homo sapiens
1311	CALR3	PDIA4	540	physical	Homo sapiens	Homo sapiens
1312	CALR3	UGGT1	615	physical	Homo sapiens	Homo sapiens
1313	CALR3	UGGT2	525	physical	Homo sapiens	Homo sapiens
1314	CALU	GANAB	365	physical	Homo sapiens	Homo sapiens
1315	CALU	LMAN1	315	physical	Homo sapiens	Homo sapiens
1316	CALU	MIA3	375	physical	Homo sapiens	Homo sapiens
1317	CALU	PDIA4	372	physical	Homo sapiens	Homo sapiens
1318	CAMSAP2	CAMSAP3	668.89	physical	Homo sapiens	Homo sapiens
1319	CAMSAP2	SOGA1	400	physical	Homo sapiens	Homo sapiens
1320	CAV1	ANKRD26	495	physical	Homo sapiens	Homo sapiens
1321	CAV1	GOLGB1	505	physical	Homo sapiens	Homo sapiens
1322	CAV1	GORASP2	400	physical	Homo sapiens	Homo sapiens
1323	CAV1	NOTCH2	415	physical	Homo sapiens	Homo sapiens
1324	CAV1	PPFIBP1	505	physical	Homo sapiens	Homo sapiens
1325	CAV1	SLC12A2	825	physical	Homo sapiens	Homo sapiens
1326	CAV1	SLC4A7	430	physical	Homo sapiens	Homo sapiens
1327	CAV1	TMEM2	305	physical	Homo sapiens	Homo sapiens
1328	CAV1	TRIP11	715	physical	Homo sapiens	Homo sapiens
1329	CBX3	WHSC1	380	physical	Homo sapiens	Homo sapiens
1330	CCDC14	CCDC18	605	physical	Homo sapiens	Homo sapiens
1331	CCDC14	CEP131	1356.25	physical	Homo sapiens	Homo sapiens
1332	CCDC14	CEP290	410	physical	Homo sapiens	Homo sapiens
1333	CCDC14	CSPP1	310	physical	Homo sapiens	Homo sapiens
1334	CCDC14	KIAA0753	645	physical	Homo sapiens	Homo sapiens
1335	CCDC14	PIBF1	415	physical	Homo sapiens	Homo sapiens
1336	CCDC14	TBC1D31	335	physical	Homo sapiens	Homo sapiens
1337	CD3EAP	POLR1A	315	physical	Homo sapiens	Homo sapiens
1338	CD3EAP	POLR1E	450	physical	Homo sapiens	Homo sapiens
1339	CDK5RAP2	AKAP9	407.75	physical	Homo sapiens	Homo sapiens
1340	CENPA	HJURP	495	physical	Homo sapiens	Homo sapiens
1341	CEP135	C2CD3	465	physical	Homo sapiens	Homo sapiens
1342	CEP135	CCDC18	460	physical	Homo sapiens	Homo sapiens
1343	CEP135	CEP128	305	physical	Homo sapiens	Homo sapiens
1344	CEP135	CEP131	1220.62	physical	Homo sapiens	Homo sapiens
1345	CEP135	CEP162	305	physical	Homo sapiens	Homo sapiens
1346	CEP135	CEP290	540	physical	Homo sapiens	Homo sapiens
1347	CEP135	CEP295	440	physical	Homo sapiens	Homo sapiens
1348	CEP135	CSPP1	660	physical	Homo sapiens	Homo sapiens
1349	CEP135	HERC2	575	physical	Homo sapiens	Homo sapiens
1350	CEP135	KIAA0753	410	physical	Homo sapiens	Homo sapiens
1351	CEP135	MPHOSPH9	356.36	physical	Homo sapiens	Homo sapiens
1352	CEP135	NIN	625	physical	Homo sapiens	Homo sapiens
1353	CEP135	TBC1D31	345	physical	Homo sapiens	Homo sapiens
1354	CKAP4	SEC63	303.33	physical	Homo sapiens	Homo sapiens
1355	CKAP4	STIM1	335	physical	Homo sapiens	Homo sapiens
1356	CLTA	BMP2K	335	physical	Homo sapiens	Homo sapiens
1357	CLTA	CLTCL1	345	physical	Homo sapiens	Homo sapiens
1358	CLTB	CLTCL1	560	physical	Homo sapiens	Homo sapiens
1359	COIL	CASP8AP2	310	physical	Homo sapiens	Homo sapiens
1360	COX4I1	CLPB	352	physical	Homo sapiens	Homo sapiens
1361	COX4I1	COX15	500	physical	Homo sapiens	Homo sapiens
1362	COX4I1	COX5A	445	physical	Homo sapiens	Homo sapiens
1363	COX4I1	COX6B1	330	physical	Homo sapiens	Homo sapiens
1364	COX4I1	IARS2	585	physical	Homo sapiens	Homo sapiens
1365	COX4I1	IMMT	359	physical	Homo sapiens	Homo sapiens
1366	COX8A	ACOT2	420	physical	Homo sapiens	Homo sapiens
1367	COX8A	ATP5B	382.81	physical	Homo sapiens	Homo sapiens
1368	COX8A	C1QBP	785	physical	Homo sapiens	Homo sapiens
1369	COX8A	CLPX	325	physical	Homo sapiens	Homo sapiens
1370	COX8A	CLUH	1195	physical	Homo sapiens	Homo sapiens
1371	COX8A	GLS	380	physical	Homo sapiens	Homo sapiens
1372	COX8A	GRSF1	670	physical	Homo sapiens	Homo sapiens
1373	COX8A	IARS2	800	physical	Homo sapiens	Homo sapiens
1374	COX8A	LETM1	687.27	physical	Homo sapiens	Homo sapiens
1375	COX8A	LRPPRC	636.73	physical	Homo sapiens	Homo sapiens
1376	COX8A	MRPS31	955	physical	Homo sapiens	Homo sapiens
1377	COX8A	MRPS9	320	physical	Homo sapiens	Homo sapiens
1378	COX8A	NDUFAF2	330	physical	Homo sapiens	Homo sapiens
1379	COX8A	NDUFV3	815	physical	Homo sapiens	Homo sapiens
1380	COX8A	POLRMT	585	physical	Homo sapiens	Homo sapiens
1381	COX8A	SHMT2	745	physical	Homo sapiens	Homo sapiens
1382	COX8A	TACO1	410	physical	Homo sapiens	Homo sapiens
1383	COX8A	TIMM44	490	physical	Homo sapiens	Homo sapiens
1384	COX8A	TRMT10C	425	physical	Homo sapiens	Homo sapiens
1385	COX8A	VWA8	500	physical	Homo sapiens	Homo sapiens
1386	CS	ACOT2	352.8	physical	Homo sapiens	Homo sapiens
1387	CS	ATP5B	352.19	physical	Homo sapiens	Homo sapiens
1388	CS	C17orf80	415	physical	Homo sapiens	Homo sapiens
1389	CS	CLPX	315	physical	Homo sapiens	Homo sapiens
1390	CS	ETFA	306.25	physical	Homo sapiens	Homo sapiens
1391	CS	GLS	450	physical	Homo sapiens	Homo sapiens
1392	CS	GRSF1	510	physical	Homo sapiens	Homo sapiens
1393	CS	IARS2	1475	physical	Homo sapiens	Homo sapiens
1394	CS	LETM1	668.18	physical	Homo sapiens	Homo sapiens
1395	CS	LRPPRC	424.04	physical	Homo sapiens	Homo sapiens
1396	CS	MRPS31	660	physical	Homo sapiens	Homo sapiens
1397	CS	NDUFAF2	360	physical	Homo sapiens	Homo sapiens
1398	CS	NDUFV3	965	physical	Homo sapiens	Homo sapiens
1399	CS	SHMT2	590	physical	Homo sapiens	Homo sapiens
1400	CS	TACO1	370	physical	Homo sapiens	Homo sapiens
1401	CS	TIMM44	520	physical	Homo sapiens	Homo sapiens
1402	CS	TRMT10C	335	physical	Homo sapiens	Homo sapiens
1403	CS	UQCC1	360	physical	Homo sapiens	Homo sapiens
1404	CS	VARS2	365	physical	Homo sapiens	Homo sapiens
1405	CS	VWA8	905	physical	Homo sapiens	Homo sapiens
1406	CTNNA1	CTNNA2	1275	physical	Homo sapiens	Homo sapiens
1407	CTNNA1	CTNNB1	465	physical	Homo sapiens	Homo sapiens
1408	CTNNA1	KIAA1462	460	physical	Homo sapiens	Homo sapiens
1409	CTNNA1	KIAA1217	303.33	physical	Homo sapiens	Homo sapiens
1410	CTNNA1	PLEKHA7	400	physical	Homo sapiens	Homo sapiens
1411	CTNNB1	CCDC88C	855	physical	Homo sapiens	Homo sapiens
1412	CTNNB1	KIAA1462	540	physical	Homo sapiens	Homo sapiens
1413	CTNNB1	KIAA1217	822.5	physical	Homo sapiens	Homo sapiens
1414	CTNNB1	PKP4	605	physical	Homo sapiens	Homo sapiens
1415	CTNNB1	PLCH1	520	physical	Homo sapiens	Homo sapiens
1416	CTNNB1	PLEKHA6	400	physical	Homo sapiens	Homo sapiens
1417	CTNNB1	PLEKHA7	1155	physical	Homo sapiens	Homo sapiens
1418	CTNNB1	PPP1R13B	895	physical	Homo sapiens	Homo sapiens
1419	CTNNB1	SIPA1L3	399.58	physical	Homo sapiens	Homo sapiens
1420	CTNNB1	SRCIN1	465	physical	Homo sapiens	Homo sapiens
1421	CTNNB1	USP54	380	physical	Homo sapiens	Homo sapiens
1422	CXADR	OCLN	355	physical	Homo sapiens	Homo sapiens
1423	CXADR	PIK3R2	370	physical	Homo sapiens	Homo sapiens
1424	CXADR	WDR6	360	physical	Homo sapiens	Homo sapiens
1425	DCTN1	CENPE	620	physical	Homo sapiens	Homo sapiens
1426	DCTN1	HMMR	380	physical	Homo sapiens	Homo sapiens
1427	DERL1	HMOX2	320	physical	Homo sapiens	Homo sapiens
1428	DERL1	LMAN1	340	physical	Homo sapiens	Homo sapiens
1429	DERL1	MTMR3	375	physical	Homo sapiens	Homo sapiens
1430	DERL1	PKMYT1	460	physical	Homo sapiens	Homo sapiens
1431	DERL1	POR	385	physical	Homo sapiens	Homo sapiens
1432	DERL1	SYNE2	610	physical	Homo sapiens	Homo sapiens
1433	DERL1	VEZT	395	physical	Homo sapiens	Homo sapiens
1434	DERL1	VRK2	360	physical	Homo sapiens	Homo sapiens
1435	DHFRL1	HSPA1B	1315	physical	Homo sapiens	Homo sapiens
1436	DHFRL1	HSPA1L	495	physical	Homo sapiens	Homo sapiens
1437	DHFRL1	STT3B	1190	physical	Homo sapiens	Homo sapiens
1438	DIRAS3	SPTBN1	615	physical	Homo sapiens	Homo sapiens
1439	DYNC1I2	DYNC1LI1	667.69	physical	Homo sapiens	Homo sapiens
1440	EBAG9	GOLGA3	400	physical	Homo sapiens	Homo sapiens
1441	EBAG9	GOLGB1	995	physical	Homo sapiens	Homo sapiens
1442	EBAG9	TMF1	480	physical	Homo sapiens	Homo sapiens
1443	EBAG9	TRIP11	820	physical	Homo sapiens	Homo sapiens
1444	EIF6	LTN1	368.96	physical	Homo sapiens	Homo sapiens
1445	ELOVL5	CPD	610	physical	Homo sapiens	Homo sapiens
1446	ELOVL5	EIF2AK3	305	physical	Homo sapiens	Homo sapiens
1447	ELOVL5	GOLGA3	463.08	physical	Homo sapiens	Homo sapiens
1448	ELOVL5	GOPC	475	physical	Homo sapiens	Homo sapiens
1449	ELOVL5	ITPR3	311.5	physical	Homo sapiens	Homo sapiens
1450	ELOVL5	LMNB1	304.23	physical	Homo sapiens	Homo sapiens
1451	ELOVL5	NOTCH1	500	physical	Homo sapiens	Homo sapiens
1452	ELOVL5	NOTCH2	955	physical	Homo sapiens	Homo sapiens
1453	ELOVL5	STBD1	305	physical	Homo sapiens	Homo sapiens
1454	ELOVL5	STIM1	345	physical	Homo sapiens	Homo sapiens
1455	ELOVL5	UBE2J1	310	physical	Homo sapiens	Homo sapiens
1456	ELOVL5	VPS13B	345	physical	Homo sapiens	Homo sapiens
1457	ELOVL5	VRK2	373.33	physical	Homo sapiens	Homo sapiens
1458	EMD	FAF2	320	physical	Homo sapiens	Homo sapiens
1459	EMD	FNDC3A	370	physical	Homo sapiens	Homo sapiens
1460	EMD	LMAN1	415	physical	Homo sapiens	Homo sapiens
1461	EMD	LMNB1	315	physical	Homo sapiens	Homo sapiens
1462	EMD	POM121	305	physical	Homo sapiens	Homo sapiens
1463	EMD	SMPD4	870	physical	Homo sapiens	Homo sapiens
1464	EMD	STIM1	610	physical	Homo sapiens	Homo sapiens
1465	EMD	STX5	335	physical	Homo sapiens	Homo sapiens
1466	EMD	TMEM131	305	physical	Homo sapiens	Homo sapiens
1467	EMD	VEZT	555	physical	Homo sapiens	Homo sapiens
1468	ERGIC1	LMAN1	645	physical	Homo sapiens	Homo sapiens
1469	ERGIC2	GOLGA3	305	physical	Homo sapiens	Homo sapiens
1470	ERGIC2	GOLGB1	845	physical	Homo sapiens	Homo sapiens
1471	ERGIC2	GOPC	460	physical	Homo sapiens	Homo sapiens
1472	ERGIC2	TRIP11	1615	physical	Homo sapiens	Homo sapiens
1473	EZR	MSN	3325	physical	Homo sapiens	Homo sapiens
1474	FBL	MPHOSPH10	770	physical	Homo sapiens	Homo sapiens
1475	FBL	NOL8	848	physical	Homo sapiens	Homo sapiens
1476	FLOT1	CCDC88A	350	physical	Homo sapiens	Homo sapiens
1477	FLOT1	EPB41L1	305	physical	Homo sapiens	Homo sapiens
1478	FLOT1	FLOT2	1030	physical	Homo sapiens	Homo sapiens
1479	GFAP	INA	445.67	physical	Homo sapiens	Homo sapiens
1480	GJA1	CCDC88A	430	physical	Homo sapiens	Homo sapiens
1481	GJA1	CPD	310	physical	Homo sapiens	Homo sapiens
1482	GJA1	NOTCH2	435	physical	Homo sapiens	Homo sapiens
1483	GJA1	USP6NL	310	physical	Homo sapiens	Homo sapiens
1484	GJA1	VPS13B	455	physical	Homo sapiens	Homo sapiens
1485	GJD3	ATP6AP2	335	physical	Homo sapiens	Homo sapiens
1486	GJD3	CPD	610	physical	Homo sapiens	Homo sapiens
1487	GJD3	GOPC	575	physical	Homo sapiens	Homo sapiens
1488	GJD3	GORASP2	542.5	physical	Homo sapiens	Homo sapiens
1489	GJD3	LMAN1	530	physical	Homo sapiens	Homo sapiens
1490	GJD3	SEC24A	392.78	physical	Homo sapiens	Homo sapiens
1491	GJD3	SEC31A	335	physical	Homo sapiens	Homo sapiens
1492	GJD3	VANGL1	305	physical	Homo sapiens	Homo sapiens
1493	GJD3	VPS13B	320	physical	Homo sapiens	Homo sapiens
1494	GOLGA1	CPD	630	physical	Homo sapiens	Homo sapiens
1495	GOLGA1	TMF1	408	physical	Homo sapiens	Homo sapiens
1496	HIST1H3A	SHPRH	400	physical	Homo sapiens	Homo sapiens
1497	HNRNPA1	RALY	345	physical	Homo sapiens	Homo sapiens
1498	HNRNPA1	STRBP	635	physical	Homo sapiens	Homo sapiens
1499	HSD17B11	AUP1	325	physical	Homo sapiens	Homo sapiens
1500	HSD17B11	EIF2AK3	385	physical	Homo sapiens	Homo sapiens
1501	HSD17B11	FNDC3A	370	physical	Homo sapiens	Homo sapiens
1502	HSD17B11	ITPR2	320	physical	Homo sapiens	Homo sapiens
1503	HSD17B11	ITPR3	364	physical	Homo sapiens	Homo sapiens
1504	HSD17B11	LMAN1	525	physical	Homo sapiens	Homo sapiens
1505	HSD17B11	NSDHL	310	physical	Homo sapiens	Homo sapiens
1506	HSD17B11	POR	315	physical	Homo sapiens	Homo sapiens
1507	HSD17B11	SEC63	303.33	physical	Homo sapiens	Homo sapiens
1508	HSD17B11	SMPD4	505	physical	Homo sapiens	Homo sapiens
1509	HSD17B11	STIM1	400	physical	Homo sapiens	Homo sapiens
1510	HSD17B11	TOR1AIP2	365	physical	Homo sapiens	Homo sapiens
1511	HSD17B11	VEZT	450	physical	Homo sapiens	Homo sapiens
1512	HSD17B11	VRK2	544.44	physical	Homo sapiens	Homo sapiens
1513	HSD3B7	LMAN1	475	physical	Homo sapiens	Homo sapiens
1514	HSD3B7	SMPD4	535	physical	Homo sapiens	Homo sapiens
1515	HSD3B7	STT3B	310	physical	Homo sapiens	Homo sapiens
1516	HSD3B7	TOR1AIP2	305	physical	Homo sapiens	Homo sapiens
1517	HSD3B7	VEZT	370	physical	Homo sapiens	Homo sapiens
1518	HSD3B7	VRK2	451.11	physical	Homo sapiens	Homo sapiens
1519	IMPDH2	HSPA1B	310	physical	Homo sapiens	Homo sapiens
1520	KDM1A	HSPA1B	595	physical	Homo sapiens	Homo sapiens
1521	KDM1A	ZNF217	465	physical	Homo sapiens	Homo sapiens
1522	KDM1A	ZNF516	542.5	physical	Homo sapiens	Homo sapiens
1523	KRAS	ABCC1	495	physical	Homo sapiens	Homo sapiens
1524	KRAS	ALCAM	355	physical	Homo sapiens	Homo sapiens
1525	KRAS	BAIAP2	370	physical	Homo sapiens	Homo sapiens
1526	KRAS	BRAF	340	physical	Homo sapiens	Homo sapiens
1527	KRAS	CCDC88A	445	physical	Homo sapiens	Homo sapiens
1528	KRAS	EPB41L1	325	physical	Homo sapiens	Homo sapiens
1529	KRAS	FAM83B	410	physical	Homo sapiens	Homo sapiens
1530	KRAS	ITGB1	445	physical	Homo sapiens	Homo sapiens
1531	KRAS	LLGL1	430	physical	Homo sapiens	Homo sapiens
1532	KRAS	LSR	380	physical	Homo sapiens	Homo sapiens
1533	KRAS	MARK2	425	physical	Homo sapiens	Homo sapiens
1534	KRAS	MPP7	395	physical	Homo sapiens	Homo sapiens
1535	KRAS	PVRL2	315	physical	Homo sapiens	Homo sapiens
1536	KRAS	NOTCH2	390	physical	Homo sapiens	Homo sapiens
1537	KRAS	OCLN	400	physical	Homo sapiens	Homo sapiens
1538	KRAS	PPFIA1	525	physical	Homo sapiens	Homo sapiens
1539	KRAS	PTPRG	315	physical	Homo sapiens	Homo sapiens
1540	KRAS	RAF1	676.67	physical	Homo sapiens	Homo sapiens
1541	KRAS	RICTOR	365	physical	Homo sapiens	Homo sapiens
1542	KRAS	SLC12A2	417.08	physical	Homo sapiens	Homo sapiens
1543	KRAS	SPTBN1	700	physical	Homo sapiens	Homo sapiens
1544	KRAS	SPTBN2	485	physical	Homo sapiens	Homo sapiens
1545	KRAS	TFRC	350	physical	Homo sapiens	Homo sapiens
1546	KRAS	WDR6	385	physical	Homo sapiens	Homo sapiens
1547	KRAS	YES1	330	physical	Homo sapiens	Homo sapiens
1548	KRT18	CEP131	739.38	physical	Homo sapiens	Homo sapiens
1549	KRT18	PLEC	475	physical	Homo sapiens	Homo sapiens
1550	KRT19	CCDC18	375	physical	Homo sapiens	Homo sapiens
