"","ACTN1","AIF1","APEX1","ARHGAP25","BIN2","BTLA","CCR7","CD14","CD19","CD2","CD27","CD28","CD300A","CD3D","CD3E","CD3G","CD4","CD5","CD52","CD6","CD69","CD8A","CD8B","CTLA4","EEF1B2","EEF2","EIF3E","EIF3L","EMP3","FCGR3A","FCGR3B","FCMR","FCRL3","FGFBP2","FGR","FLNA","GIMAP5","GIMAP8","GNLY","GPR183","GZMB","GZMH","GZMK","IFNG","IL10RA","IL17RA","IL2RA","IL2RB","IL7R","ITGAM","ITGB2","KLRB1","KLRD1","KLRF1","LGALS1","LTB","MYO1F","MYO1G","NKG7","NOP53","NPM1","PLEK","PRF1","PTPRC","RACK1","RPS5","RPS8","RSL1D1","S1PR5","SAMD3","SELL","SELPLG","STK10","TBX21","TIGIT","TOMM7","VCL","WDR43","ZNF683"
"CD3G",0,0,0,0,0,0,0.448,0,0,0.81,0,0.497,0,0.978,0.953,0,0,0.491,0,0.66,0,0.643,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0.432,0,0,0,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD5",0,0,0,0,0,0,0.774,0,0,0.554,0,0.419,0,0.473,0.784,0.491,0,0,0,0.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD52",0,0.422,0,0,0,0,0,0,0,0.588,0,0,0,0.5,0.672,0,0,0,0,0,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0,0.424,0,0,0,0,0,0.43,0.435,0,0,0,0,0,0,0,0,0,0.41,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD6",0,0,0,0,0,0,0.447,0,0,0.718,0.439,0.443,0,0.643,0.684,0.66,0,0.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0.422,0,0,0,0,0,0,0,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD8A",0,0,0,0,0,0,0,0,0,0.802,0,0,0,0.661,0.713,0.643,0,0,0,0,0,0,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653,0,0.466,0.786,0.787,0,0,0,0,0.476,0,0,0,0.486,0.658,0,0,0,0,0,0.781,0,0,0,0.78,0,0,0,0,0,0,0.426,0,0,0,0,0,0,0,0,0.435
"CD8B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.588,0.48,0.499,0,0,0,0,0,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTLA4",0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EEF1B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754,0.538,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551,0,0,0,0.985,0.966,0.985,0,0,0,0,0,0,0,0,0.511,0,0,0
"EEF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754,0,0.465,0.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503,0,0,0,0,0.96,0.775,0.901,0,0,0,0,0,0,0,0,0,0,0,0
"EIF3E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0.465,0,0.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709,0.516,0.531,0,0,0,0,0,0,0,0,0,0,0,0
"EIF3L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0.606,0.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473,0,0,0,0,0.542,0.523,0.404,0,0,0,0,0,0,0,0,0,0,0,0
"EMP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCGR3A",0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCGR3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCMR",0,0,0,0,0,0,0.431,0,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCRL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447,0,0,0,0
"FGFBP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0.769,0,0,0,0,0,0,0,0,0,0,0.491,0.457,0,0,0,0,0.473,0,0,0,0.478,0,0,0,0,0,0.526,0,0,0,0,0,0,0,0,0,0
