"Cell Marker","Supported NO."
"CD19","28"
"CD27","24"
"IgD","15"
"CD38","14"
"CD24","5"
"CD20","3"
"CD10","2"
"CD138","2"
"CD21","2"
"CD45","2"
"CD5","2"
"CD79A","2"
"IgM","2"
"AID","1"
"BLNK","1"
"CD117","1"
"CD1d","1"
"CD229","1"
"CD257","1"
"CD28","1"
"CD319","1"
"CD37","1"
"CD54","1"
"CD56","1"
"CD71","1"
"CD74","1"
"CD79B","1"
"CD86","1"
"FMC7","1"
"Leu-12","1"
"MS4A1","1"
"TAGLN2","1"
"ZAP70","1"
