Method	Predicted_Matrix	TP_mean	TP_sd	TN_mean	TN_sd	FP_mean	FP_sd	FN_mean	FN_sd	TPR_mean	TPR_sd	FPR_mean	FPR_sd	Precision_mean	Precision_sd	F1_mean	F1_sd	MCC_mean	MCC_sd	Ratio_mean	Ratio_sd	p_mean	p_sd	VI_mean	VI_sd	NMI_mean	NMI_sd	ARI_mean	ARI_sd	Modularity_mean	Modularity_sd	Communities_mean	Communities_sd	Density_mean	Density_sd	Transitivity_mean	Transitivity_sd	Time_in_Seconds_mean	Time_in_Seconds_sd	Time_in_Minutes_mean	Time_in_Minutes_sd	Time_in_Hours_mean	Time_in_Hours_sd
GENIE3	early	42	3.36650164612069	3195.3	2.98328677803526	31.7	2.98328677803526	52	3.36650164612069	0.446808510638298	0.0358138472991563	0.00982336535481872	0.00092447684475837	0.570111004552353	0.0110389675741573	0.500204685298243	0.0229745132033726	0.491698080702309	0.0207040845905436	0.82	0	82	0	1.72181846047722	0.0587731122901248	0.690602974316939	0.0119553825539986	0.241036446609248	0.0287820849821714	0.885278177936208	0.0269204988677113	0.89047619047619	0.063690167135679	0.784042553191489	0.0653964551274936	0.132485910806711	0.0303307639031745	8.75159999999999	0.255178456074381	0.14586	0.00425297426790635	0.002431	7.08829044651058e-05
GENIE3	inet	44.5	0.849836585598797	3137.6	4.29987079909256	89.4	4.29987079909256	49.5	0.849836585598797	0.473404255319149	0.00904081474041274	0.0277037496126433	0.00133246693495276	0.332563945568903	0.00711609976953501	0.390558469905301	0.00350808813611107	0.375846580512788	0.0032694667356212	0.82	0	82	0	2.34563080660044	0.0809249750929917	0.521434181659961	0.0243263330709206	0.141195103515187	0.0229977936131551	0.618784687889145	0.0194193143378191	0.419047619047619	0.0491807409042212	0.575531914893617	0.0538843760247671	0.107756846541839	0.0169794254778323	5.82729999999995	0.185422670314746	0.0971216666666658	0.00309037783857909	0.00161869444444443	5.15062973096515e-05
GENIE3	union	44.5	0.849836585598797	3137.6	4.29987079909256	89.4	4.29987079909256	49.5	0.849836585598797	0.473404255319149	0.00904081474041274	0.0277037496126433	0.00133246693495276	0.332563945568903	0.00711609976953501	0.390558469905301	0.00350808813611107	0.375846580512788	0.0032694667356212	0.82	0	82	0	2.38102963015386	0.133355787976661	0.511539799571299	0.0317154274355715	0.133150915789317	0.0260777426740045	0.62013629900919	0.013462012196222	0.404761904761905	0.051434449987364	0.575531914893617	0.0538843760247671	0.107756846541839	0.0169794254778323	5.82729999999995	0.185422670314746	0.0971216666666658	0.00309037783857909	0.00161869444444443	5.15062973096515e-05
GENIE3	vote	12.3	0.674948557710553	3227	0	0	0	81.7	0.674948557710553	0.130851063829787	0.00718030380543142	0	0	1	0	0.231356189804435	0.0112554579268528	0.357117948005242	0.00989323533352859	0.82	0	82	0	1.34489562418252	0.0114106997512203	0.808962681919515	0.00131048602750133	0.121717975319479	0.0058310100866662	0.973122443499335	0.00692230922876947	0	0	0.130851063829787	0.00718030380543141	0	0	5.82729999999995	0.185422670314746	0.0971216666666658	0.00309037783857909	0.00161869444444443	5.15062973096515e-05
GRNBoost2	early	38.3	3.71333931776897	3153.6	11.1773580658997	73.4	11.1773580658997	55.7	3.71333931776897	0.407446808510638	0.0395036097634996	0.0227455841338705	0.0034636994316392	0.344466545448804	0.0259247664327691	0.372175477899861	0.0244976660636094	0.354232430338268	0.025055774412836	0.82	0	82	0	2.27671931849932	0.133162488296596	0.566989721833697	0.0340613312346685	0.140608206141897	0.0318715555614465	0.659311490148968	0.056245424773352	0.838095238095238	0.127380334271358	0.807446808510638	0.139920468618259	0.202280598725586	0.0453267099139273	2.24510000000002	0.106782697308288	0.0374183333333337	0.00177971162180481	0.000623638888888896	2.96618603634135e-05
GRNBoost2	inet	37.4	4.9486249493055	3090.5	14.5544952964139	136.5	14.5544952964139	56.6	4.9486249493055	0.397872340425532	0.0526449462692075	0.0422993492407809	0.00451022475872757	0.215604403845817	0.0259710517652793	0.279146078343294	0.0327155915439873	0.264845924669991	0.0358086851326958	0.82	0	82	0	2.65360295704308	0.139375920981994	0.457597395341393	0.0356748814310017	0.0804331945847029	0.0245408749448684	0.517126262900222	0.0382650817439953	0.433333333333333	0.0759586419936851	0.164893617021276	0.153120058208398	0.155413926498914	0.0185967419216517	6.11050000000007	0.285198274110436	0.101841666666668	0.00475330456850727	0.00169736111111113	7.92217428084545e-05
GRNBoost2	union	37.4	4.9486249493055	3090.5	14.5544952964139	136.5	14.5544952964139	56.6	4.9486249493055	0.397872340425532	0.0526449462692075	0.0422993492407809	0.00451022475872757	0.215604403845817	0.0259710517652793	0.279146078343294	0.0327155915439873	0.264845924669991	0.0358086851326958	0.82	0	82	0	2.72625108982789	0.151880330631813	0.436701258666021	0.0376309139178292	0.0694312926249129	0.0219124430676081	0.518825670809987	0.034439002748706	0.40952380952381	0.0784069145093871	0.164893617021276	0.153120058208398	0.155413926498914	0.0185967419216517	6.11050000000007	0.285198274110436	0.101841666666668	0.00475330456850727	0.00169736111111113	7.92217428084545e-05
GRNBoost2	vote	7.3	2.86937856222098	3225.1	1.10050493461461	1.9	1.10050493461461	86.7	2.86937856222098	0.0776595744680851	0.0305253038534147	0.000588782150604276	0.000341030348501584	0.78875	0.114998453052159	0.140127093426948	0.0508986487918111	0.239001620492533	0.0588502204893225	0.82	0	82	0	1.46842710210636	0.0537414363541586	0.792829985068999	0.00649343728752885	0.0734208901676421	0.0336234073420373	0.94969426631699	0.0643573587371998	0	0	0.0978723404255319	0.0346720753520009	NA	NA	6.11050000000007	0.285198274110436	0.101841666666668	0.00475330456850727	0.00169736111111113	7.92217428084545e-05
JRF	inet	44.7	2.79085809185793	3159.2	4.36653943835008	67.8	4.36653943835008	49.3	2.79085809185793	0.475531914893617	0.0296899797006163	0.0210102262163	0.00135312656905797	0.397500845297029	0.0203321663753221	0.432823368800131	0.0225922447063413	0.416667560075042	0.0234667289602393	0.82	0	82	0	2.27379288428438	0.136618920684833	0.545409118984648	0.0327891783606201	0.15782925361724	0.0321222618344876	0.730231850175684	0.0224959802667923	0.509523809523809	0.0870848680910807	0.803191489361702	0.0563483992272011	0.169391095806526	0.0389103746085775	41.7872999999999	1.21464490009773	0.696454999999999	0.0202440816682956	0.0116075833333333	0.000337401361138259
JRF	union	44.7	2.79085809185793	3159.2	4.36653943835008	67.8	4.36653943835008	49.3	2.79085809185793	0.475531914893617	0.0296899797006163	0.0210102262163	0.00135312656905797	0.397500845297029	0.0203321663753221	0.432823368800131	0.0225922447063413	0.416667560075042	0.0234667289602393	0.82	0	82	0	2.2596319165211	0.134041129210477	0.549355474282617	0.0364617913144187	0.158953569718646	0.0315323550565705	0.727222725316826	0.0218972655019189	0.519047619047619	0.0853313019410515	0.803191489361702	0.0563483992272011	0.169391095806526	0.0389103746085775	41.7872999999999	1.21464490009773	0.696454999999999	0.0202440816682956	0.0116075833333333	0.000337401361138259
