Method	Predicted_Matrix	TP_mean	TP_sd	TN_mean	TN_sd	FP_mean	FP_sd	FN_mean	FN_sd	TPR_mean	TPR_sd	FPR_mean	FPR_sd	Precision_mean	Precision_sd	F1_mean	F1_sd	MCC_mean	MCC_sd	Ratio_mean	Ratio_sd	p_mean	p_sd	VI_mean	VI_sd	NMI_mean	NMI_sd	ARI_mean	ARI_sd	Modularity_mean	Modularity_sd	Communities_mean	Communities_sd	Density_mean	Density_sd	Transitivity_mean	Transitivity_sd	Time_in_Seconds_mean	Time_in_Seconds_sd	Time_in_Minutes_mean	Time_in_Minutes_sd	Time_in_Hours_mean	Time_in_Hours_sd
GENIE3	early	638.5	5.62237593114433	149985.8	22.7048697664424	1776.2	22.7048697664424	780.5	5.62237593114433	0.449964763918252	0.00396220995852314	0.0117038520841844	0.000149608398455756	0.264432904625799	0.00172856514436235	0.333098370604543	0.00170194215169331	0.337073683337572	0.00185623278701379	5.54	0	554	0	4.05987583422843	0.0789120894894428	0.312803653270341	0.0200790426522844	0.0926359169579664	0.0162939907906676	0.53674652475406	0.00498519928809998	0.231034482758621	0.0185339258581576	0.29830866807611	0.019058055523604	0.27108226457441	0.00314514972565274	119.1306	5.99603306269167	1.98551	0.0999338843781945	0.0330918333333334	0.00166556473963657
GENIE3	inet	580.5	7.27629331764769	146961.6	28.5626018111485	4800.4	28.5626018111485	838.5	7.27629331764769	0.409090909090909	0.00512776132321895	0.0316311066011254	0.000188206545849083	0.107880371578094	0.00106020825733638	0.170735356861753	0.00173468877387782	0.196414876127623	0.00231530801736516	5.54	0	554	0	4.35897757957915	0.0632171290459897	0.240130382464213	0.0149136602897942	0.0535624401371494	0.00861369585242751	0.273292120050648	0.00481751690690933	0.177586206896552	0.0141943552129063	0	0	0.129133567333966	0.00117403417355495	78.0750000000007	3.38190347454053	1.30125000000001	0.0563650579090088	0.0216875000000002	0.000939417631816813
GENIE3	union	580.5	7.27629331764769	146961.6	28.5626018111485	4800.4	28.5626018111485	838.5	7.27629331764769	0.409090909090909	0.00512776132321895	0.0316311066011254	0.000188206545849083	0.107880371578094	0.00106020825733638	0.170735356861753	0.00173468877387782	0.196414876127623	0.00231530801736516	5.54	0	554	0	4.34806703899869	0.0648568124121892	0.244415269192273	0.0164188684889652	0.0593324307172399	0.0109677890778061	0.278859716285132	0.00920125687906197	0.177586206896552	0.0141943552129063	0	0	0.129133567333966	0.00117403417355495	78.0750000000007	3.38190347454053	1.30125000000001	0.0563650579090088	0.0216875000000002	0.000939417631816813
GENIE3	vote	129.3	3.05686840482943	151715.8	5.5337349251859	46.2	5.5337349251859	1289.7	3.05686840482943	0.0911205073995772	0.00215424130009121	0.000304424032366469	3.6463244588144e-05	0.737297226756056	0.0244352429669503	0.162179985246524	0.0036715606315884	0.257248048392918	0.00615808407128428	5.54	0	554	0	2.62592096918294	0.0269236157383931	0.716944887732753	0.00335073212271364	0.0968218639386642	0.00783058781298703	0.991182719064705	0.00559137783746229	0	0	0.123678646934461	0.00409911401611821	0.396412690618259	0.0351295817098665	78.0750000000007	3.38190347454053	1.30125000000001	0.0563650579090088	0.0216875000000002	0.000939417631816813
GRNBoost2	early	675.5	9.00925450115972	148449.3	98.5303675692592	3312.7	98.5303675692592	743.5	9.00925450115972	0.476039464411557	0.0063490165617757	0.021828257403039	0.000649242679783208	0.169447934012509	0.0036634597376283	0.249902498233502	0.00404259788175824	0.273296383323726	0.0036531731709928	5.54	0	554	0	4.1932466398025	0.0629622744317427	0.245634237436721	0.0236367570887118	0.0622831091587634	0.012172796296074	0.364994044743717	0.00874722614131021	0.160344827586207	0.0199914104953174	0	0	0.203934149597621	0.00472026386492084	8.86199999999979	0.814485931943834	0.147699999999996	0.0135747655323972	0.00246166666666661	0.00022624609220662
GRNBoost2	inet	510.8	15.29560575968	148088.8	382.020011110529	3673.2	382.020011110529	908.2	15.29560575968	0.359971811134602	0.0107791442985765	0.0242036873525652	0.00251723100058334	0.12285520502693	0.00960755750747201	0.182911118168785	0.0101214534362094	0.197813405251925	0.00797308361113071	5.54	0	554	0	4.44684915118314	0.0769895773328617	0.224130509111419	0.0142254670141032	0.0466479410970677	0.0065997585906448	0.306374709960686	0.0158117783890927	0.203448275862069	0.0479463301485384	0	0	0.198592512889889	0.0108293171278492	18.1592	1.42550309247893	0.302653333333333	0.0237583848746488	0.00504422222222223	0.000395973081244147
GRNBoost2	union	597.1	16.0378025649124	144956.2	145.926008648219	6805.8	145.926008648219	821.9	16.0378025649124	0.420789288231149	0.0113021864446176	0.0448452181705565	0.000961545107788633	0.0806643329954684	0.00177466253343006	0.135370059107913	0.00291515538549967	0.167938194062586	0.00417902014181355	5.54	0	554	0	4.45062298779489	0.0554202998623039	0.203504258944489	0.0145072941661585	0.0403044624926744	0.00615284011922062	0.213762996476307	0.00319163601276482	0.15	0.0141943552129063	0	0	0.138922131907807	0.00254202875608451	18.1592	1.42550309247893	0.302653333333333	0.0237583848746488	0.00504422222222223	0.000395973081244147
GRNBoost2	vote	134.7	7.27323861838727	151639.9	13.033716959401	122.1	13.033716959401	1284.3	7.27323861838727	0.0949260042283298	0.00512560861056185	0.000804549228397095	8.58826119806079e-05	0.525407174677123	0.0241632875028237	0.160716442654385	0.00756095208716291	0.220484351610079	0.00841817343893698	5.54	0	554	0	2.92594087432314	0.0513287662329089	0.672529926019681	0.00740434479119249	0.0958429016843119	0.0087931776858068	0.912981278320829	0.0299922200737617	0	0	0.180972515856237	0.012169009816051	0.270004698714787	0.0441658101263989	18.1592	1.42550309247893	0.302653333333333	0.0237583848746488	0.00504422222222223	0.000395973081244147
JRF	inet	513.2	10.1412249972301	150068.1	143.216580356078	1693.9	143.216580356078	905.8	10.1412249972301	0.361663143058492	0.00714674066048632	0.0111615555936269	0.000943691967396831	0.23334906560238	0.0145513119048718	0.283404764368842	0.0108974478705638	0.282152786991526	0.00971712757399287	5.54	0	554	0	4.25129845795437	0.084320241127717	0.2886944421445	0.0184675151747887	0.0730176803687418	0.0169736283201005	0.511815550655196	0.0226023714990154	0.322413793103448	0.0545523102302726	0.4446088794926	0.103123704062471	0.243868866761697	0.0152749153153282	673.4217	37.0103242384249	11.223695	0.616838737307081	0.187061583333333	0.0102806456217847
JRF	union	592.4	8.20839678486474	148648.1	39.6132693817502	3113.9	39.6132693817502	826.6	8.20839678486474	0.417477096546864	0.00578463480258263	0.0205183115667954	0.000261022320355229	0.159838692755442	0.00140409425008157	0.231163451703398	0.00204124586592473	0.247491775270317	0.00254900166923239	5.54	0	554	0	4.29395328643191	0.0598931988725868	0.255676944087666	0.0114139644720639	0.0662435465828156	0.0091192974741118	0.362435130382413	0.0091532224330404	0.181034482758621	0.0146523549241172	0	0	0.161918294061333	0.00269257901536571	673.4217	37.0103242384249	11.223695	0.616838737307081	0.187061583333333	0.0102806456217847
