Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	k	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	333	151536	226	1086	0.234672304439746	0.00148917383798316	0.595706618962433	0.336703741152679	0.370471985472415	JRF	5.54	554	5	1524.056	25.4009333333333	0.423348888888889
union	724	147470	4292	695	0.510218463706836	0.0282811243921403	0.144338118022329	0.225019425019425	0.259424935511475	JRF	5.54	554	5	1524.056	25.4009333333333	0.423348888888889
inet	555	150308	1454	864	0.391120507399577	0.00958079097534297	0.276256844201095	0.323803967327888	0.321282317012983	JRF	5.54	554	5	1524.056	25.4009333333333	0.423348888888889
early	729	148064	3698	690	0.513742071881607	0.0243671011188572	0.164671334989835	0.249401300034211	0.27985004717961	GRNBoost2	5.54	554	5	12.2059999999983	0.203433333333305	0.00339055555555509
vote	12	151762	0	1407	0.00845665961945032	0	1	0.0167714884696017	0.0915367539311983	GRNBoost2	5.54	554	5	16.9420000000027	0.282366666666712	0.00470611111111187
union	685	141083	10679	734	0.482734319943622	0.0703667584770891	0.0602780711017247	0.107173589924118	0.150739632929275	GRNBoost2	5.54	554	5	16.9420000000027	0.282366666666712	0.00470611111111187
inet	555	147575	4187	864	0.391120507399577	0.0275892515913074	0.117039223956137	0.180165557539361	0.20107574676833	GRNBoost2	5.54	554	5	16.9420000000027	0.282366666666712	0.00470611111111187
early	693	149981	1781	726	0.488372093023256	0.0117354805550797	0.280113177041229	0.356023632160288	0.36223762489267	GENIE3	5.54	554	5	261.560000000001	4.35933333333336	0.0726555555555559
vote	10	151762	0	1409	0.00704721634954193	0	1	0.0139958012596221	0.0835606960708985	GENIE3	5.54	554	5	141.191999999999	2.35319999999999	0.0392199999999997
union	704	143881	7881	715	0.496124031007752	0.0519299956510853	0.0820034944670938	0.140743702518992	0.185010830047243	GENIE3	5.54	554	5	141.191999999999	2.35319999999999	0.0392199999999997
inet	663	145058	6704	756	0.46723044397463	0.0441744310169871	0.089995927786073	0.150921921238334	0.189419917739693	GENIE3	5.54	554	5	141.191999999999	2.35319999999999	0.0392199999999997
