Method	Predicted_Matrix	TP_mean	TP_sd	TN_mean	TN_sd	FP_mean	FP_sd	FN_mean	FN_sd	TPR_mean	TPR_sd	FPR_mean	FPR_sd	Precision_mean	Precision_sd	F1_mean	F1_sd	MCC_mean	MCC_sd	Ratio_mean	Ratio_sd	p_mean	p_sd	VI_mean	VI_sd	NMI_mean	NMI_sd	ARI_mean	ARI_sd	Modularity_mean	Modularity_sd	Communities_mean	Communities_sd	Density_mean	Density_sd	Transitivity_mean	Transitivity_sd	Time_in_Seconds_mean	Time_in_Seconds_sd	Time_in_Minutes_mean	Time_in_Minutes_sd	Time_in_Hours_mean	Time_in_Hours_sd
GENIE3	early	378.1	1.59513148186739	22684.3	15.6705668904053	357.7	15.6705668904053	15.9	1.59513148186739	0.959644670050761	0.00404855706057713	0.0155238260567659	0.000680087097057777	0.514068091780881	0.0100737105729974	0.669426036211226	0.00795423846814092	0.696152675199901	0.00616350420174044	0.434	0	217	0	2.30518625918006	0.113634450775169	0.579642006623103	0.0211863036782325	0.223393754056159	0.0260541463732925	0.579900918179112	0.011388025279198	0.269444444444444	0.0228686833985712	0.13248730964467	0.0428358762166684	0.458956655694161	0.00662727643219118	230.9488	1.72058212371413	3.84914666666666	0.0286763687285687	0.0641524444444443	0.000477939478809479
GENIE3	inet	360.8	2.65832027165025	22505.6	20.532900428337	536.4	20.532900428337	33.2	2.65832027165025	0.915736040609137	0.00674700576560979	0.0232792292335735	0.000891107561337425	0.402327056140148	0.00980345636015399	0.558988458436566	0.0101021904250706	0.59808745987288	0.00890343769330445	0.434	0	217	0	2.62156235499917	0.118163207926769	0.506540636688301	0.0279831791789496	0.171491440219873	0.027455572850552	0.506688919426308	0.0113550410768588	0.233333333333333	0.0234242789642102	0	0	0.353319998304058	0.0105314885153421	171.414	2.09394815811896	2.8569	0.0348991359686493	0.047615	0.000581652266144155
GENIE3	union	370.4	1.89736659610103	22154.6	13.5908465928768	887.4	13.5908465928768	23.6	1.89736659610103	0.94010152284264	0.00481565125913966	0.0385122819199722	0.00058982929402295	0.294510777386728	0.0031711581598427	0.448504280914811	0.00381369903763671	0.514355748708715	0.00347129809893743	0.434	0	217	0	2.87204289178652	0.0794694504028826	0.459021285083973	0.0162836759214968	0.147039659503446	0.0165813914026924	0.381633798502073	0.00710458175011652	0.225	0.0204962440936839	0	0	0.244406564406805	0.0039005003729621	171.414	2.09394815811896	2.8569	0.0348991359686493	0.047615	0.000581652266144155
GENIE3	vote	262.4	2.45854518861144	23013.8	1.22927259430572	28.2	1.22927259430572	131.6	2.45854518861144	0.665989847715736	0.00623996240764322	0.00122385209617221	5.33492142307837e-05	0.902979484964369	0.00354190945381899	0.766565719985139	0.00400155661801706	0.772317542681021	0.00359424674314798	0.434	0	217	0	0.654857535769819	0.0808025655156234	0.902488807612215	0.0125003794863619	0.702283533833436	0.0472740893979137	0.958990807582038	0.00555305314239313	0.636111111111111	0.0462036109254617	0.73756345177665	0.00813239583126765	0.629644198157036	0.0105888311580439	171.414	2.09394815811896	2.8569	0.0348991359686493	0.047615	0.000581652266144155
GRNBoost2	early	391.2	0.632455532033676	19735.3	76.5361933263531	3306.7	76.5361933263531	2.8	0.632455532033676	0.992893401015228	0.00160521708637988	0.143507508028817	0.0033215950579964	0.105829995772757	0.0021597955727968	0.191266163805547	0.00351622017407971	0.299606765717314	0.00356085470771212	0.434	0	217	0	3.4388106926796	0.0573112605082575	0.256255550040449	0.0228466154930581	0.0387415025505596	0.00847895504510513	0.224929298523663	0.00925711797532247	0.119444444444444	0.0134179414316568	0	0	0.365369675887968	0.00518929700800337	11.6058999999995	0.227886643360128	0.193431666666658	0.0037981107226688	0.00322386111111096	6.33018453778133e-05
GRNBoost2	inet	389.4	1.83787316694536	19237.3	146.842356892614	3804.7	146.842356892614	4.6	1.83787316694536	0.988324873096447	0.00466465270798317	0.165120215259092	0.00637281298900329	0.092941193549743	0.00308658201207134	0.16989041958949	0.00515101106043244	0.276225514635248	0.00552711248251406	0.434	0	217	0	3.57416961720601	0.118744093335739	0.259968731200158	0.0400718786066816	0.0489047765780935	0.0139859116780785	0.162885580853081	0.00885103181192366	0.138888888888889	0.0226804605813257	0	0	0.470088001234494	0.00615903919515517	15.6209000000005	0.393513927468101	0.260348333333341	0.00655856545780167	0.00433913888888902	0.000109309424296695
GRNBoost2	union	390.9	1.66332999331662	18254.5	108.585092080922	4787.5	108.585092080922	3.1	1.66332999331662	0.992131979695431	0.00422164972923002	0.207772762781009	0.00471248555164142	0.0755150257402074	0.00152888180802368	0.140344010269645	0.00263969752820408	0.243094293691952	0.00321449984801166	0.434	0	217	0	3.52247510274639	0.0845507241999479	0.284185714052911	0.0355534485400628	0.0583025376901145	0.0108728219295011	0.14656955144266	0.00292239053072997	0.155555555555556	0.0268358828633138	0	0	0.438292203206987	0.00561570654734486	15.6209000000005	0.393513927468101	0.260348333333341	0.00655856545780167	0.00433913888888902	0.000109309424296695
GRNBoost2	vote	356.9	1.91195071996	22503.7	19.5678307433399	538.3	19.5678307433399	37.1	1.91195071996	0.905837563451777	0.00485266680192892	0.0233616873535283	0.000849224491942538	0.398850883545769	0.00890246311880773	0.553790293683688	0.00887565067456816	0.592021828435568	0.00753411448529147	0.434	0	217	0	2.4059157545516	0.122724735523028	0.559590868515055	0.029187457708485	0.200216043184671	0.0200630533858275	0.445688173414447	0.012873144676054	0.344444444444444	0.0573775310549247	0	0	0.361590474448455	0.0107623955205486	15.6209000000005	0.393513927468101	0.260348333333341	0.00655856545780167	0.00433913888888902	0.000109309424296695
JRF	inet	317.2	6.37355648144913	22744.2	13.5384226883669	297.8	13.5384226883669	76.8	6.37355648144913	0.80507614213198	0.0161765392930181	0.0129242253276625	0.000587554148440541	0.51595216267759	0.00985949935458311	0.628764984095025	0.00858004477435284	0.637162563899853	0.00883723569098948	0.434	0	217	0	2.40647212832287	0.140151602476963	0.572559078692785	0.0293792023596897	0.223087547359482	0.0296634790127389	0.631084277248203	0.0107711040873445	0.341666666666667	0.0263523138347365	0.439086294416244	0.0447993309471192	0.405429899023747	0.0143546627729442	299.8241	2.21620809542371	4.99706833333334	0.0369368015903952	0.0832844722222223	0.00061561335983992
JRF	union	360	2.21108319357027	22254.6	17.544863129196	787.4	17.544863129196	34	2.21108319357027	0.913705583756345	0.00561188627809712	0.0341723808697162	0.000761429699209965	0.313817503079432	0.00508407652029914	0.467160643202103	0.00590462870265118	0.524078379625362	0.00529531183273771	0.434	0	217	0	2.73311577817948	0.0940285247966903	0.49572769296572	0.0253903553002366	0.172878242220395	0.0213740795307681	0.398766883745223	0.00602200594116639	0.255555555555556	0.0219114066040727	0	0	0.241432015295007	0.00634350088970334	299.8241	2.21620809542371	4.99706833333334	0.0369368015903952	0.0832844722222223	0.00061561335983992
