Subset_Size	Run	Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	VI	NMI	ARI	Modularity	Communities	Density	Transitivity	Time_in_Seconds	Time_in_Minutes	Time_in_Hours	n_matrices
1	1	late	296	150140	1622	1123	0.208597603946441	0.0106877874566756	0.154327424400417	0.177404854659874	0.170509820929833	GENIE3	4.51235273754029	0.250051720775313	0.034389222549243	0.510352516103713	0.241379310344828	0.648343904157858	0.141681850936025	NA	NA	NA	1
1	1	early	296	150140	1622	1123	0.208597603946441	0.0106877874566756	0.154327424400417	0.177404854659874	0.170509820929833	GENIE3	4.51235273754029	0.250051720775313	0.034389222549243	0.510352516103713	0.241379310344828	0.648343904157858	0.141681850936025	NA	NA	NA	1
1	1	late	324	149122	2640	1095	0.228329809725159	0.0173956589923696	0.109311740890688	0.147843942505133	0.146696913112915	GRNBoost2	4.59554052153141	0.212806032523303	0.0293975590958326	0.361683655118611	0.224137931034483	0	0.124393358717246	NA	NA	NA	1
1	1	early	324	149122	2640	1095	0.228329809725159	0.0173956589923696	0.109311740890688	0.147843942505133	0.146696913112915	GRNBoost2	4.59554052153141	0.212806032523303	0.0293975590958326	0.361683655118611	0.224137931034483	0	0.124393358717246	NA	NA	NA	1
1	2	late	299	150092	1670	1120	0.210711768851304	0.0110040721656278	0.151853732859319	0.176505312868949	0.169844518155421	GENIE3	4.45143705815567	0.280226385342541	0.0437891641854499	0.508098796690594	0.293103448275862	0.612403100775194	0.146110583167635	NA	NA	NA	1
1	2	early	299	150092	1670	1120	0.210711768851304	0.0110040721656278	0.151853732859319	0.176505312868949	0.169844518155421	GENIE3	4.45143705815567	0.280226385342541	0.0437891641854499	0.508098796690594	0.293103448275862	0.612403100775194	0.146110583167635	NA	NA	NA	1
1	2	late	312	149137	2625	1107	0.219873150105708	0.0172968200208221	0.106230847803882	0.143250688705234	0.141517737095991	GRNBoost2	4.4428264194863	0.220746202562315	0.0320411959906468	0.369744212958048	0.189655172413793	0	0.121347274000253	NA	NA	NA	1
1	2	early	312	149137	2625	1107	0.219873150105708	0.0172968200208221	0.106230847803882	0.143250688705234	0.141517737095991	GRNBoost2	4.4428264194863	0.220746202562315	0.0320411959906468	0.369744212958048	0.189655172413793	0	0.121347274000253	NA	NA	NA	1
1	3	late	301	150139	1623	1118	0.212121212121212	0.0106943767214454	0.156444906444906	0.180077774454083	0.173272552432689	GENIE3	4.47909021483974	0.237277892818662	0.0413013968768741	0.519371296273775	0.241379310344828	0.644115574348132	0.147379576498866	NA	NA	NA	1
1	3	early	301	150139	1623	1118	0.212121212121212	0.0106943767214454	0.156444906444906	0.180077774454083	0.173272552432689	GENIE3	4.47909021483974	0.237277892818662	0.0413013968768741	0.519371296273775	0.241379310344828	0.644115574348132	0.147379576498866	NA	NA	NA	1
1	3	late	302	149181	2581	1117	0.212825933756166	0.0170068923709492	0.104751994450225	0.140399814039981	0.138047554197741	GRNBoost2	4.635116199657	0.174624765193239	0.022071488432388	0.376673760771132	0.155172413793103	0	0.112842121894927	NA	NA	NA	1
1	3	early	302	149181	2581	1117	0.212825933756166	0.0170068923709492	0.104751994450225	0.140399814039981	0.138047554197741	GRNBoost2	4.635116199657	0.174624765193239	0.022071488432388	0.376673760771132	0.155172413793103	0	0.112842121894927	NA	NA	NA	1
1	4	late	310	150076	1686	1109	0.2184637068358	0.0111095004019452	0.155310621242485	0.181551976573939	0.175166457780813	GENIE3	4.51836919113327	0.218596225103322	0.033659302038825	0.514872629191286	0.189655172413793	0.593375616631431	0.1503289261231	NA	NA	NA	1
1	4	early	310	150076	1686	1109	0.2184637068358	0.0111095004019452	0.155310621242485	0.181551976573939	0.175166457780813	GENIE3	4.51836919113327	0.218596225103322	0.033659302038825	0.514872629191286	0.189655172413793	0.593375616631431	0.1503289261231	NA	NA	NA	1
1	4	late	321	149126	2636	1098	0.226215644820296	0.0173693019332903	0.108555968887386	0.146709323583181	0.145413346731956	GRNBoost2	4.44280041197343	0.213806078464413	0.0379734882893376	0.382021519437669	0.189655172413793	0	0.12612290681153	NA	NA	NA	1
1	4	early	321	149126	2636	1098	0.226215644820296	0.0173693019332903	0.108555968887386	0.146709323583181	0.145413346731956	GRNBoost2	4.44280041197343	0.213806078464413	0.0379734882893376	0.382021519437669	0.189655172413793	0	0.12612290681153	NA	NA	NA	1
1	5	late	303	150112	1650	1116	0.213530655391121	0.010872286870231	0.155145929339478	0.179715302491103	0.173049374762909	GENIE3	4.43977903407064	0.266451663892004	0.0410702445211628	0.514499567772065	0.258620689655172	0.623678646934461	0.147624980770573	NA	NA	NA	1
1	5	early	303	150112	1650	1116	0.213530655391121	0.010872286870231	0.155145929339478	0.179715302491103	0.173049374762909	GENIE3	4.43977903407064	0.266451663892004	0.0410702445211628	0.514499567772065	0.258620689655172	0.623678646934461	0.147624980770573	NA	NA	NA	1
1	5	late	314	149148	2614	1105	0.221282593375617	0.0172243381083539	0.10724043715847	0.144467448815275	0.142767638247479	GRNBoost2	4.57962868916659	0.225930353048374	0.0303489627440579	0.377662508309154	0.241379310344828	0	0.118034864104321	NA	NA	NA	1
1	5	early	314	149148	2614	1105	0.221282593375617	0.0172243381083539	0.10724043715847	0.144467448815275	0.142767638247479	GRNBoost2	4.57962868916659	0.225930353048374	0.0303489627440579	0.377662508309154	0.241379310344828	0	0.118034864104321	NA	NA	NA	1
