Method	Predicted_Matrix	TP_mean	TP_sd	TN_mean	TN_sd	FP_mean	FP_sd	FN_mean	FN_sd	TPR_mean	TPR_sd	FPR_mean	FPR_sd	Precision_mean	Precision_sd	F1_mean	F1_sd	MCC_mean	MCC_sd	Ratio_mean	Ratio_sd	p_mean	p_sd	VI_mean	VI_sd	NMI_mean	NMI_sd	ARI_mean	ARI_sd	Modularity_mean	Modularity_sd	Communities_mean	Communities_sd	Density_mean	Density_sd	Transitivity_mean	Transitivity_sd	Time_in_Seconds_mean	Time_in_Seconds_sd	Time_in_Minutes_mean	Time_in_Minutes_sd	Time_in_Hours_mean	Time_in_Hours_sd
GENIE3	early	156.9	1.85292561462497	22797.4	11.6160808077997	244.6	11.6160808077997	237.1	1.85292561462497	0.398223350253807	0.00470285688991109	0.0106153979689263	0.000504126412976292	0.39104196057409	0.0091449318689847	0.394507789908633	0.00373171013295977	0.38411973121793	0.00384694048315266	2.17	0	217	0	3.08662321257598	0.0827065683725796	0.462775188376704	0.0225152046913846	0.114392293497052	0.0150223207650982	0.699034629988136	0.0140713185955978	0.433333333333333	0.0351364184463153	0.973350253807107	0.0267870392537862	0.219882612410998	0.0120503416959896	34.264	0.396552364483945	0.571066666666667	0.00660920607473243	0.00951777777777779	0.000110153434578874
GENIE3	inet	155.1	2.92308816911917	22394.4	8.05812219647564	647.6	8.05812219647564	238.9	2.92308816911917	0.393654822335025	0.0074190055053786	0.0281051992014582	0.000349714529835762	0.193215298421862	0.0019147981312308	0.259197296708514	0.00312283295154688	0.258396907766572	0.00376766221272731	2.17	0	217	0	3.61672008516156	0.100426234812405	0.33967307232614	0.0305711104111985	0.0521624479540435	0.0113607153730196	0.414829033257677	0.00731248888686575	0.272222222222222	0.0341464609529366	0.000761421319796918	0.00240782562956972	0.102815812309396	0.00467217434199546	22.1707	0.472033908857397	0.369511666666667	0.00786723181428995	0.00615852777777777	0.000131120530238166
GENIE3	union	155.1	2.92308816911917	22394.4	8.05812219647564	647.6	8.05812219647564	238.9	2.92308816911917	0.393654822335025	0.0074190055053786	0.0281051992014582	0.000349714529835762	0.193215298421862	0.0019147981312308	0.259197296708514	0.00312283295154688	0.258396907766572	0.00376766221272731	2.17	0	217	0	3.60008718726466	0.055254502721191	0.336591772760124	0.0175332008096231	0.0571511216408632	0.00991712099704964	0.415808858549187	0.00423221347110005	0.255555555555556	0.0286887655274624	0.000761421319796918	0.00240782562956972	0.102815812309396	0.00467217434199546	22.1707	0.472033908857397	0.369511666666667	0.00786723181428995	0.00615852777777777	0.000131120530238166
GENIE3	vote	29.7	1.63639169448448	23034.4	1.50554530541816	7.6	1.50554530541816	364.3	1.63639169448448	0.0753807106598985	0.00415327841239715	0.00032983247981946	6.53391765219235e-05	0.797507268850337	0.0297608640184753	0.137691304585089	0.00690089632598479	0.242106557412925	0.00750347076113304	2.17	0	217	0	1.94062549702977	0.0124340502767014	0.768685335569132	0.00163105987339809	0.0807568076248562	0.00487646822639661	0.943042869874423	0.00739870886361242	0	0	0.0946700507614213	0.00677347509348498	0	0	22.1707	0.472033908857397	0.369511666666667	0.00786723181428995	0.00615852777777777	0.000131120530238166
GRNBoost2	early	136.2	7.64198926981712	22663.5	33.2306752531118	378.5	33.2306752531118	257.8	7.64198926981712	0.345685279187817	0.0193959118523277	0.0164265254752192	0.00144217842431698	0.265317568310812	0.0152165910148665	0.299820856296607	0.0122900665249367	0.289046551242374	0.0126785520087856	2.17	0	217	0	3.38829280914	0.0781280043897436	0.410947302545746	0.0212864239863304	0.0832249071711134	0.0111214706980177	0.566620983518566	0.0235298707840494	0.486111111111111	0.0928237854433492	0.693654822335025	0.0962539261441376	0.167326536625254	0.00724265984925619	3.53649999999984	0.126333992961987	0.058941666666664	0.00210556654936645	0.000982361111111067	3.50927758227742e-05
GRNBoost2	inet	130.8	7.64198926981712	22248.9	63.3709537388998	793.1	63.3709537388998	263.2	7.64198926981712	0.331979695431472	0.0193959118523277	0.0344197552295808	0.00275023668687179	0.141951934329259	0.00943424674400697	0.198685729393033	0.011258980350215	0.196777457638345	0.0118575309030335	2.17	0	217	0	3.78818107849131	0.0763467222851556	0.300269145543806	0.017592473673942	0.035965771886251	0.0085423795143724	0.36551926760973	0.0177504835133292	0.258333333333333	0.0294263862630939	0	0	0.112671770275452	0.0121281904866954	9.45879999999991	0.347395643802977	0.157646666666665	0.00578992739671629	0.00262744444444442	9.64987899452715e-05
GRNBoost2	union	133.6	4.9486249493055	22224.2	51.8733500406947	817.8	51.8733500406947	260.4	4.9486249493055	0.339086294416244	0.0125599618002678	0.035491710788994	0.00225125206321911	0.14079795395264	0.00953365800256385	0.198871723871038	0.0109989386703965	0.198006834889497	0.0110071618387831	2.17	0	217	0	3.74599527362315	0.122103019990753	0.305012924129024	0.026162567273827	0.0393787890958377	0.0136064914544514	0.356418415848681	0.0122742438605059	0.25	0.0261891400439462	0	0	0.110192083825376	0.0114026946902374	9.45879999999991	0.347395643802977	0.157646666666665	0.00578992739671629	0.00262744444444442	9.64987899452715e-05
GRNBoost2	vote	18.7	1.49443411809733	23030.6	2.91356978445495	11.4	2.91356978445495	375.3	1.49443411809733	0.0474619289340101	0.00379297999517088	0.00049474871972919	0.000126446045675504	0.625845374065663	0.0546333152909781	0.0881549558994991	0.00651227159519287	0.16896139026873	0.0100827085702146	2.17	0	217	0	2.06363625260532	0.0298326772926541	0.754702657200216	0.00429888365665468	0.0515269104849909	0.00954206401081461	0.979594381582216	0.013654841319208	0	0	0.0763959390862944	0.00945504810216482	0.0974620541606187	0.133937429941171	9.45879999999991	0.347395643802977	0.157646666666665	0.00578992739671629	0.00262744444444442	9.64987899452715e-05
JRF	inet	157.9	4.38304815295373	22597.8	16.7650429962666	444.2	16.7650429962666	236.1	4.38304815295373	0.400761421319797	0.0111244876978521	0.0192778404652374	0.000727586277070852	0.262352617498138	0.0063910211660105	0.317040538499829	0.00640060173928356	0.310027716890833	0.00673467127785772	2.17	0	217	0	3.43052104009791	0.104546844102446	0.385910646261723	0.0240485033944447	0.0772998658545204	0.0145279422399672	0.507239704730956	0.0175608019179235	0.308333333333333	0.0243220843269698	0.471827411167513	0.049337763006886	0.134852592305637	0.00934735784815244	183.8172	0.480242716412036	3.06362	0.00800404527353398	0.0510603333333333	0.000133400754558898
JRF	union	158.8	4.44222166638871	22591.8	14.6878634706799	450.2	14.6878634706799	235.2	4.44222166638871	0.403045685279188	0.0112746742801744	0.0195382345282528	0.000637438741024213	0.260821532624909	0.00601215893682775	0.316643044509156	0.00656667844744356	0.309933413499317	0.0069852099907092	2.17	0	217	0	3.40321720061104	0.0899183511311826	0.388063589590815	0.0195344629065663	0.0796787359817899	0.0127917818506468	0.505978864535475	0.0146568677450093	0.297222222222222	0.0263523138347365	0.454314720812183	0.0439118080282944	0.134104289373403	0.00892992570597993	183.8172	0.480242716412036	3.06362	0.00800404527353398	0.0510603333333333	0.000133400754558898
