Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	95	22972	70	299	0.241116751269036	0.00303793073517924	0.575757575757576	0.339892665474061	0.366082917751375	JRF	2.17	217	161.987	2.69978333333333	0.0449963888888889
union	193	22551	491	201	0.489847715736041	0.0213089141567572	0.282163742690059	0.358070500927644	0.357862275457938	JRF	2.17	217	161.987	2.69978333333333	0.0449963888888889
inet	164	22767	275	230	0.416243654822335	0.0119347278882041	0.373576309794989	0.393757503001201	0.383401382683498	JRF	2.17	217	161.987	2.69978333333333	0.0449963888888889
early	191	22393	649	203	0.484771573604061	0.0281659578161618	0.227380952380952	0.309562398703404	0.315786834302908	GRNBoost2	2.17	217	3.79599999999999	0.0632666666666665	0.00105444444444444
vote	40	23022	20	354	0.101522842639594	0.000867980210051211	0.666666666666667	0.176211453744493	0.256083874616403	GRNBoost2	2.17	217	4.88400000000001	0.0814000000000002	0.00135666666666667
union	173	21920	1122	221	0.439086294416244	0.0486936897838729	0.133590733590734	0.2048549437537	0.21967279658863	GRNBoost2	2.17	217	4.88400000000001	0.0814000000000002	0.00135666666666667
inet	161	22078	964	233	0.408629441624365	0.0418366461244684	0.143111111111111	0.211981566820276	0.220593755524194	GRNBoost2	2.17	217	4.88400000000001	0.0814000000000002	0.00135666666666667
early	169	22787	255	225	0.428934010152284	0.0110667476781529	0.398584905660377	0.41320293398533	0.403075530324029	GENIE3	2.17	217	30.611	0.510183333333334	0.00850305555555556
vote	34	23033	9	360	0.0862944162436548	0.000390591094523045	0.790697674418605	0.155606407322654	0.258073559263961	GENIE3	2.17	217	20.582	0.343033333333333	0.00571722222222222
union	169	22315	727	225	0.428934010152284	0.0315510806353615	0.188616071428571	0.262015503875969	0.266432035933234	GENIE3	2.17	217	20.582	0.343033333333333	0.00571722222222222
inet	169	22315	727	225	0.428934010152284	0.0315510806353615	0.188616071428571	0.262015503875969	0.266432035933234	GENIE3	2.17	217	20.582	0.343033333333333	0.00571722222222222
