Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	88	3219	8	6	0.936170212765957	0.00247908273938643	0.916666666666667	0.926315789473684	0.924200430686383	JRF	0.164	82	339.441	5.65735	0.0942891666666667
union	93	3170	57	1	0.98936170212766	0.0176634645181283	0.62	0.762295081967213	0.775980975650754	JRF	0.164	82	339.441	5.65735	0.0942891666666667
inet	93	3177	50	1	0.98936170212766	0.0154942671211652	0.65034965034965	0.784810126582278	0.795643076694904	JRF	0.164	82	339.441	5.65735	0.0942891666666667
early	94	2546	681	0	1	0.21103191819027	0.121290322580645	0.216340621403913	0.309344780380298	GRNBoost2	0.164	82	3.85200000000003	0.0642000000000005	0.00107000000000001
vote	92	3146	81	2	0.978723404255319	0.0251007127362876	0.531791907514451	0.689138576779026	0.711704271994038	GRNBoost2	0.164	82	4.28399999999999	0.0713999999999999	0.00119
union	94	2422	805	0	1	0.249457700650759	0.104560622914349	0.18932527693857	0.280137770290842	GRNBoost2	0.164	82	4.28399999999999	0.0713999999999999	0.00119
inet	94	2527	700	0	1	0.216919739696312	0.118387909319899	0.211711711711712	0.304478627898636	GRNBoost2	0.164	82	4.28399999999999	0.0713999999999999	0.00119
early	94	3195	32	0	1	0.00991633095754571	0.746031746031746	0.854545454545455	0.859438100350025	GENIE3	0.164	82	57.342	0.9557	0.0159283333333333
vote	83	3225	2	11	0.882978723404255	0.000619770684846607	0.976470588235294	0.927374301675978	0.926605741167454	GENIE3	0.164	82	43.05	0.7175	0.0119583333333333
union	93	3133	94	1	0.98936170212766	0.0291292221877905	0.497326203208556	0.661921708185053	0.690827316672818	GENIE3	0.164	82	43.05	0.7175	0.0119583333333333
inet	93	3133	94	1	0.98936170212766	0.0291292221877905	0.497326203208556	0.661921708185053	0.690827316672818	GENIE3	0.164	82	43.05	0.7175	0.0119583333333333
