Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	469	151051	711	950	0.330514446793517	0.00468496725135409	0.397457627118644	0.360908041554444	0.357025196498087	JRF	5.54	554	625.243	10.4207166666667	0.173678611111111
union	675	148678	3084	744	0.47568710359408	0.0203212925501773	0.179569034317638	0.26071842410197	0.281961429396587	JRF	5.54	554	625.243	10.4207166666667	0.173678611111111
inet	426	151248	514	993	0.300211416490486	0.00338688209169621	0.453191489361702	0.361169987282747	0.364118523353248	JRF	5.54	554	625.243	10.4207166666667	0.173678611111111
early	657	148612	3150	762	0.463002114164905	0.0207561840249865	0.1725768321513	0.251435132032147	0.272149549307236	GRNBoost2	5.54	554	8.21400000000017	0.136900000000003	0.00228166666666671
vote	133	151639	123	1286	0.0937279774489077	0.000810479566689949	0.51953125	0.158805970149254	0.217926978524701	GRNBoost2	5.54	554	11.0439999999999	0.184066666666664	0.00306777777777774
union	604	144822	6940	815	0.425651867512333	0.0457294975026687	0.0800636267232238	0.134776302577262	0.168201894149401	GRNBoost2	5.54	554	11.0439999999999	0.184066666666664	0.00306777777777774
inet	530	147852	3910	889	0.373502466525722	0.0257640252500626	0.119369369369369	0.180918245434374	0.198572264235218	GRNBoost2	5.54	554	11.0439999999999	0.184066666666664	0.00306777777777774
early	627	150026	1736	792	0.441860465116279	0.011438963640437	0.265340668641557	0.331570597567425	0.334586356023918	GENIE3	5.54	554	116.222	1.93703333333333	0.0322838888888889
vote	132	151717	45	1287	0.0930232558139535	0.000296516914642664	0.745762711864407	0.165413533834586	0.261480724233803	GENIE3	5.54	554	75.009	1.25015	0.0208358333333333
union	575	147053	4709	844	0.405214940098661	0.0310288478011623	0.108819076457229	0.171564970908548	0.196426135871117	GENIE3	5.54	554	75.009	1.25015	0.0208358333333333
inet	575	147053	4709	844	0.405214940098661	0.0310288478011623	0.108819076457229	0.171564970908548	0.196426135871117	GENIE3	5.54	554	75.009	1.25015	0.0208358333333333
