Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	306	22831	211	88	0.776649746192893	0.00915719121604027	0.591876208897485	0.67178924259056	0.671798863076381	JRF	0.434	217	1410.609	23.51015	0.391835833333333
union	360	22522	520	34	0.913705583756345	0.0225674854613315	0.409090909090909	0.565149136577708	0.602671742587638	JRF	0.434	217	1410.609	23.51015	0.391835833333333
inet	333	22656	386	61	0.845177664974619	0.0167520180539884	0.463143254520167	0.598382749326146	0.617620636258619	JRF	0.434	217	1410.609	23.51015	0.391835833333333
early	391	19811	3231	3	0.99238578680203	0.140222202933773	0.107951408061844	0.194721115537849	0.30308948235216	GRNBoost2	0.434	217	11.7170000000001	0.195283333333335	0.00325472222222225
vote	354	22504	538	40	0.898477157360406	0.0233486676503776	0.396860986547085	0.55054432348367	0.588006469593721	GRNBoost2	0.434	217	11.6590000000001	0.194316666666668	0.00323861111111114
union	391	18305	4737	3	0.99238578680203	0.205581112750629	0.0762480499219969	0.141615356754799	0.244669969663439	GRNBoost2	0.434	217	11.6590000000001	0.194316666666668	0.00323861111111114
inet	391	19164	3878	3	0.99238578680203	0.16830136272893	0.0915905364253924	0.167703195367789	0.274498359879681	GRNBoost2	0.434	217	11.6590000000001	0.194316666666668	0.00323861111111114
early	378	22699	343	16	0.959390862944162	0.0148858606023783	0.524271844660194	0.678026905829596	0.70321553530183	GENIE3	0.434	217	243.028	4.05046666666667	0.0675077777777777
vote	264	23014	28	130	0.67005076142132	0.0012151722940717	0.904109589041096	0.769679300291545	0.775205660276767	GENIE3	0.434	217	170.086	2.83476666666667	0.0472461111111111
union	371	22151	891	23	0.941624365482233	0.0386685183577814	0.293977812995246	0.448067632850242	0.514307683651664	GENIE3	0.434	217	170.086	2.83476666666667	0.0472461111111111
inet	363	22484	558	31	0.921319796954315	0.0242166478604288	0.39413680781759	0.552091254752852	0.593587555581028	GENIE3	0.434	217	170.086	2.83476666666667	0.0472461111111111
