Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	k	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	461	151073	689	958	0.324876673713883	0.00454000342641768	0.400869565217391	0.358894511483067	0.355520279879659	JRF	5.54	554	3	629.795999999998	10.4966	0.174943333333333
union	637	148696	3066	782	0.448907681465821	0.0202026857843202	0.172022684310019	0.248730964467005	0.267402687330425	JRF	5.54	554	3	629.795999999998	10.4966	0.174943333333333
inet	455	151037	725	964	0.320648343904158	0.00477721695813181	0.385593220338983	0.350134667179685	0.34611340669494	JRF	5.54	554	3	629.795999999998	10.4966	0.174943333333333
early	658	148272	3490	761	0.463706835799859	0.0229965340467311	0.158630665380906	0.236393030357464	0.260114956717584	GRNBoost2	5.54	554	3	8.5010000000002	0.141683333333337	0.00236138888888895
vote	128	151620	142	1291	0.0902043692741367	0.000935675597316851	0.474074074074074	0.151568975725281	0.203878134715103	GRNBoost2	5.54	554	3	10.8279999999995	0.180466666666659	0.00300777777777764
union	572	144789	6973	847	0.403100775193798	0.0459469432400733	0.0758117958913188	0.127621597501116	0.15811171132927	GRNBoost2	5.54	554	3	10.8279999999995	0.180466666666659	0.00300777777777764
inet	487	147647	4115	932	0.343199436222692	0.0271148245278792	0.105823554976097	0.161767148314233	0.177387923044348	GRNBoost2	5.54	554	3	10.8279999999995	0.180466666666659	0.00300777777777764
early	606	150014	1748	813	0.427061310782241	0.011518034817675	0.257434154630416	0.321229790617546	0.323628083907747	GENIE3	5.54	554	3	116.265000000001	1.93775000000002	0.0322958333333337
vote	117	151707	55	1302	0.0824524312896406	0.000362409562341034	0.680232558139535	0.147077309868008	0.234822862128903	GENIE3	5.54	554	3	77.125	1.28541666666667	0.0214236111111111
union	575	146897	4865	844	0.405214940098661	0.0320567731052569	0.105698529411765	0.167662924624581	0.19315933540897	GENIE3	5.54	554	3	77.125	1.28541666666667	0.0214236111111111
inet	575	146897	4865	844	0.405214940098661	0.0320567731052569	0.105698529411765	0.167662924624581	0.19315933540897	GENIE3	5.54	554	3	77.125	1.28541666666667	0.0214236111111111
