Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	39	3203	24	55	0.414893617021277	0.00743724821815928	0.619047619047619	0.496815286624204	0.495334645622315	JRF	0.82	82	38.7029999999995	0.645049999999992	0.0107508333333332
union	23	3197	30	71	0.24468085106383	0.0092965602726991	0.433962264150943	0.312925170068027	0.311502779420827	JRF	0.82	82	38.7029999999995	0.645049999999992	0.0107508333333332
inet	14	3196	31	80	0.148936170212766	0.0096064456151224	0.311111111111111	0.201438848920863	0.199861427377241	JRF	0.82	82	38.7029999999995	0.645049999999992	0.0107508333333332
early	67	3026	201	27	0.712765957446808	0.062286953827084	0.25	0.370165745856354	0.396064477779154	GRNBoost2	0.82	82	2.71299999999974	0.0452166666666623	0.000753611111111038
vote	21	3216	11	73	0.223404255319149	0.00340873876665634	0.65625	0.333333333333333	0.373482548594653	GRNBoost2	0.82	82	3.5679999999993	0.059466666666655	0.000991111111110917
union	57	2893	334	37	0.606382978723404	0.103501704369383	0.145780051150895	0.235051546391753	0.258765685574589	GRNBoost2	0.82	82	3.5679999999993	0.059466666666655	0.000991111111110917
inet	57	2893	334	37	0.606382978723404	0.103501704369383	0.145780051150895	0.235051546391753	0.258765685574589	GRNBoost2	0.82	82	3.5679999999993	0.059466666666655	0.000991111111110917
early	54	3179	48	40	0.574468085106383	0.0148744964363186	0.529411764705882	0.551020408163265	0.537867824499185	GENIE3	0.82	82	7.54299999999967	0.125716666666661	0.00209527777777768
vote	15	3225	2	79	0.159574468085106	0.000619770684846607	0.882352941176471	0.27027027027027	0.369396091642563	GENIE3	0.82	82	5.50600000000122	0.091766666666687	0.00152944444444478
union	47	3118	109	47	0.5	0.0337775023241401	0.301282051282051	0.376	0.365432761516479	GENIE3	0.82	82	5.50600000000122	0.091766666666687	0.00152944444444478
inet	47	3118	109	47	0.5	0.0337775023241401	0.301282051282051	0.376	0.365432761516479	GENIE3	0.82	82	5.50600000000122	0.091766666666687	0.00152944444444478
