Predicted_Matrix	TP	TN	FP	FN	TPR	FPR	Precision	F1	MCC	Method	Ratio	p	k	Time_in_Seconds	Time_in_Minutes	Time_in_Hours
vote	351	151331	431	1068	0.247357293868922	0.00283997311579974	0.448849104859335	0.318945933666515	0.32869107490213	JRF	5.54	554	2	335.535	5.59225	0.0932041666666666
union	568	149388	2374	851	0.400281888653982	0.015642914563593	0.19306594153637	0.260490713139188	0.268480859631545	JRF	5.54	554	2	335.535	5.59225	0.0932041666666666
inet	409	151150	612	1010	0.288231148696265	0.00403263003914023	0.400587659157689	0.335245901639344	0.334604214980078	JRF	5.54	554	2	335.535	5.59225	0.0932041666666666
early	564	148569	3193	855	0.397463002114165	0.0210395224100895	0.150119776417354	0.217928902627512	0.23314099566498	GRNBoost2	5.54	554	2	7.30999999999949	0.121833333333325	0.00203055555555541
vote	64	151719	43	1355	0.0451021846370684	0.00028333838510299	0.598130841121495	0.0838794233289646	0.162514002518327	GRNBoost2	5.54	554	2	8.45100000000002	0.14085	0.00234750000000001
union	493	146773	4989	926	0.347427766032417	0.0328738419367167	0.0899306822327618	0.142877843790755	0.162221918314408	GRNBoost2	5.54	554	2	8.45100000000002	0.14085	0.00234750000000001
inet	420	148593	3169	999	0.295983086680761	0.0208813800556134	0.117024240735581	0.167731629392971	0.174230863689989	GRNBoost2	5.54	554	2	8.45100000000002	0.14085	0.00234750000000001
early	511	150035	1727	908	0.360112755461593	0.0113796602575085	0.228328865058088	0.279464041564124	0.278438543300299	GENIE3	5.54	554	2	65.2759999999998	1.08793333333333	0.0181322222222222
vote	63	151745	17	1356	0.0443974630021142	0.000112017501087229	0.7875	0.0840560373582388	0.185694794329884	GENIE3	5.54	554	2	54.7569999999996	0.91261666666666	0.0152102777777777
union	473	148465	3297	946	0.333333333333333	0.0217248059461525	0.125464190981432	0.182308730005781	0.192672659008443	GENIE3	5.54	554	2	54.7569999999996	0.91261666666666	0.0152102777777777
inet	473	148465	3297	946	0.333333333333333	0.0217248059461525	0.125464190981432	0.182308730005781	0.192672659008443	GENIE3	5.54	554	2	54.7569999999996	0.91261666666666	0.0152102777777777
