"regulatoryGene","targetGene","weight"
"GNLY","CD8B",0.0328809243516304
"RPS5","EIF3E",0.0328617088215925
"EIF3E","RPS8",0.0326938760856537
"CD2","GZMH",0.0326136773450072
"CD3D","CD8A",0.0325129912159895
"EEF2","CD8B",0.0325114609340022
"CD8A","KLRB1",0.0322874716537653
"NKG7","GZMK",0.0313183312802627
"GZMB","CD4",0.0311660176899621
"KLRD1","NPM1",0.0310683748261787
"GZMB","GNLY",0.0310558982670118
"GZMH","IL2RA",0.0306435806072461
"PRF1","GZMB",0.03063708714324
"IL2RB","GNLY",0.0305164525107472
"NKG7","NPM1",0.0304544778703484
"IL2RB","GP1BA",0.0304508252490631
"CCR7","NOP53",0.0303175290221118
"GP1BA","NPM1",0.0302853145843449
"CD3D","PRF1",0.0300426943989594
"PRF1","KLRD1",0.0300298356143214
"GP1BA","IL2RB",0.02994450078174
"CD3E","CD8A",0.0298639380373996
"GZMH","IL2RB",0.0297880021870629
"ITGAM","FLNA",0.0297283522843183
"NKG7","FOXP3",0.0295566392988306
"KLRD1","CD3E",0.029486521766441
"GZMK","NKG7",0.0294303271648356
"GZMH","PRKCB",0.0293490522102263
"GZMB","CD6",0.0293397474685649
"CD8A","NOP53",0.029264125566058
"RPS8","PRKCB",0.0292559071098725
"CD8A","ZNF683",0.0292300055134147
"GNLY","GZMB",0.0290732994996203
"CD2","ZNF683",0.0290705530204654
"KLRD1","ITGB2",0.0289009927377558
"GNLY","IL2RB",0.0288790327238765
"EEF1B2","RACK1",0.0288615225960729
"GZMH","CD2",0.0287149241475272
"EIF3E","KLRF1",0.0284877210099538
"CD2","MYC",0.0283901537271208
"CD4","PRKCB",0.0283708915250076
"EIF3L","CD6",0.0282375955630902
"NPM1","GP1BA",0.0282230971095021
"GZMB","GIMAP5",0.028183291269828
"CD5","GNLY",0.0281457104178466
"ITGB1","VCL",0.0281277461904479
"GZMH","GZMK",0.0281090056006732
"NOP53","ADRB2",0.027889737783217
"KLRD1","PRF1",0.0278809640728452
"IL17A","CCR7",0.0278646218633712
"MYC","CCR7",0.0278140877935297
"PRF1","NKG7",0.0277233189300974
"PRKCB","CD4",0.027700688642685
"CD8A","IL2RA",0.0276273317802809
"PRF1","IL2RA",0.027565043309008
"ITGB2","CD3E",0.0275453183483153
"FGFBP2","EIF3E",0.0275291798134051
"RACK1","PXN",0.0275148391049721
"CD3D","GNLY",0.0274184469670145
"RPS5","RPS8",0.0274067157538244
"CD2","EIF3E",0.0273379509156859
"CD2","WDR43",0.0273142661372505
"CD3E","EEF2",0.0272711876542507
"GNLY","CD3G",0.0271705915568296
"GZMH","CD6",0.0270035682828816
"CASP8","ITGB2",0.0269520071066713
"RACK1","KLRB1",0.0269263313444265
"EIF3E","RPS5",0.0269128213933322
"EEF2","CD3G",0.0268902529684366
"ZNF683","ACTN1",0.0268657832858816
"GZMH","VCL",0.0266987082139641
"VCL","ITGB1",0.0266330638014057
"VCL","RPS5",0.0265931451379972
"EEF1B2","FGFBP2",0.0265580205496177
"GP1BA","CD8B",0.0265124263718951
"GZMH","NOP53",0.0263921489336413
"CCR7","IL17A",0.0263827935503608
"RPS8","NOP53",0.0263760302146877
"CD8A","CD3E",0.0263294067810847
"ITGB2","CD8B",0.026311850657266
"RSL1D1","CD8A",0.0262491278049838
"USP28","SLC9A3R1",0.0262332285451834
"FLNA","NPM1",0.0261678608699877
"CD5","ZNF683",0.0260870287099704
"PRF1","ITGB2",0.0260763383905878
"RSL1D1","KLRB1",0.0260375628938262
"WDR43","PRKCB",0.0259268741260774
"CD3D","PXN",0.0258559298788407
"CD6","EIF3L",0.0256972818173328
"ITGB2","CCR7",0.0256760107144292
"RPS8","CD3G",0.0256507067902611
"CD3D","FGFBP2",0.0256138754134515
"PRF1","CD3D",0.0255913193419197
"CD6","EIF3E",0.0255898624153033
"ITGB1","FGFBP2",0.0255385156984883
"RSL1D1","USP28",0.0254619948351687
"CCR7","MYC",0.0253555770816744
"FGFBP2","EEF1B2",0.0253258433784309
"RPS8","KLRB1",0.0252949201216142
"WDR43","EIF3L",0.0252291280320025
"GZMH","CD8A",0.0251988335361787
"EEF2","KLRB1",0.0251933232300313
"RSL1D1","GP1BA",0.0249865103501049
"RPS8","GIMAP5",0.0249736095270323
"RPS8","GZMK",0.0249466593381175
"GZMH","KLRB1",0.0249113659419578
"RPS8","KLRF1",0.0249098192030806
"RPS5","ACTN1",0.0248763538428941
"GZMK","GZMH",0.0248748358911054
"GZMH","CASP8",0.0248382580042235
"PRF1","NPM1",0.0248054744356534
"RPS5","RACK1",0.02479470588415
"CD2","CD8A",0.0247670197986788
"RPS8","SLC9A3R1",0.0247298558400964
"RPS8","CD6",0.0246394076187712
"CD8A","FOXP3",0.0246128096839452
"RPS8","RPS5",0.0245878602207468
"EEF1B2","FOXP1",0.0244981059085164
"RACK1","KLRF1",0.0244487016406818
"ITGA4","GIMAP8",0.0244200314455309
"NKG7","KLRD1",0.0243679446345365
"RPS8","ZNF683",0.0243554682727702
"IL2RB","NPM1",0.0243000262707781
"CD8A","KLRF1",0.0242915483064132
"NKG7","IL2RA",0.0242614781171961
"RACK1","CASP8",0.0242541290665883
"CD2","GNLY",0.0242528770395815
"KLRB1","WDR43",0.0242190337892528
"CD3D","EEF2",0.0242159921073076
"IL2RB","GZMH",0.0241539867596591
"CD8A","ITGB1",0.024153650286505
"CD3E","MYC",0.0241314886217207
"ADRB2","NOP53",0.0241305441441123
"GZMH","KLRF1",0.0240966097513453
"GZMB","GIMAP8",0.0240522552825438
"RACK1","RPS5",0.0239019583293806
"GZMK","PRKCB",0.0238509175896316
"GNLY","FGFBP2",0.0238397022656426
"NKG7","PRF1",0.023804128598669
"GZMH","FOXP3",0.023683367036318
"CD2","PRF1",0.0236812500920883
"EIF3L","ADRB2",0.0236574904256137
"WDR43","FGFBP2",0.0236524901748361
"GZMH","ITGB1",0.0236296309601046
"GZMB","PRF1",0.0236279373016592
"RPS5","FOXP1",0.0235228058476615
"EEF2","CD3D",0.0234523244709915
"NKG7","CD8B",0.0234243317691659
"CD8A","CD2",0.0234008421955627
"CD8A","GNLY",0.0233403070861138
"GIMAP5","NPM1",0.0233121982157715
"CD3G","EEF2",0.0232989875091316
"GNLY","CD6",0.0232856494148565
"EIF3L","IL2RA",0.0232592089503878
"GP1BA","PRF1",0.0232514834154827
"EIF3E","USP28",0.023240833492406
"CD8A","GZMH",0.0232278683132147
"EIF3L","FOXP3",0.0232181183971292
"GZMH","GP1BA",0.023210217853232
"CD2","EEF2",0.0231725009389753
"GZMH","FOXP1",0.0231667471029974
"RPS8","FGFBP2",0.0231665545731491
"PRF1","CD3E",0.0231130738565706
"KLRD1","NKG7",0.0230112571601887
"GNLY","CD3D",0.022990056933999
"RPS8","GZMH",0.0229685110941905
"EEF2","EIF3L",0.0229661268613608
"RACK1","FGFBP2",0.0229031317344733
"RPS5","PRKCB",0.0228985169274835
"EEF2","MYC",0.0228571361141385
"GZMK","NOP53",0.022802274760144
"GIMAP5","CCR7",0.0227799740617269
"RACK1","ZNF683",0.0227658600500049
"VCL","ZNF683",0.0227504594694094
"IL2RB","CCR7",0.0227444637504891
"EIF3L","KLRB1",0.0227134157489569
"RPS5","FLNA",0.0227131038781432
"KLRD1","USP28",0.0227109115255892
"PRF1","PRKCB",0.0226730028577156
"CD3D","ITGB1",0.0226688450458138
"CD3D","EIF3E",0.0226491551778471
"GNLY","IL2RA",0.0226433845420268
"RACK1","WDR43",0.0226187247903091
"CD2","KLRF1",0.0225993958856986
"CD3E","PRF1",0.0225847192426115
"FOXP1","CD4",0.0225797547792685
"CD2","FGFBP2",0.0225719258582064
"CD8A","EIF3E",0.0225459623446807
"ITGB2","PRF1",0.0225290717705226
"FOXP3","RSL1D1",0.0225100128596959
"EIF3L","ZNF683",0.0224719858263578
"RACK1","GNLY",0.0224234376690377
"CD2","NKG7",0.0223838331061407
"NKG7","FGFBP2",0.0223679694102162
"ITGA4","EEF1B2",0.022364584664056
"GZMK","ZNF683",0.0223552105035722
"EEF1B2","CD3G",0.0223319126231395
"CD8A","FOXP1",0.0223251337973838
"PRF1","FOXP1",0.0222848005959015
"RSL1D1","ZNF683",0.0222814089979943
"PRF1","EEF1B2",0.0222616755928506
"CD8A","RSL1D1",0.0222557885807752
"KLRD1","MYC",0.0222498785715232
"RPS8","CD3E",0.0222284903604135
"CD3D","NPM1",0.0222180566065157
"RACK1","IL2RA",0.022206703505659
"GZMK","EEF2",0.0221956160184229
"RPS8","NPM1",0.0221584470655314
"RPS8","IL17A",0.0221270199137932
"RPS5","ZNF683",0.0221080069300965
"GZMK","KLRF1",0.022089762314047
"CD2","GZMB",0.0220867676032821
"RACK1","PRF1",0.0220559990665079
"CD8A","VCL",0.0220499498651884
"CD3D","SLC9A3R1",0.0219887483655493
"RPS8","VCL",0.0219810954085741
"GNLY","KLRF1",0.0219791258088067
"RACK1","SLC9A3R1",0.0219751551129333
"CD8A","CASP8",0.0219730352152539
"RPS5","FGFBP2",0.0219624914505273
"RPS5","IL2RA",0.0219325020783105
"CD3E","GNLY",0.0219169858749055
"PRF1","CD3G",0.0218954733596622
"RPS8","NKG7",0.0218609156479684
"CD3D","CD8B",0.0218563868424313
"RACK1","ITGA4",0.0218511570495273
"GZMH","SLC9A3R1",0.0218509230930015
"EEF1B2","SLC9A3R1",0.0218503956197825
"VCL","CD8A",0.021848464419769
"CD8A","CD3G",0.0218303510846709
"GZMH","CD8B",0.0218242117839159
"CD8A","EEF1B2",0.0218108262335199
"RPS8","GZMB",0.0218055809532437
"EIF3L","EEF2",0.0218054147969257
"KLRD1","CD6",0.0217864545082402
"KLRB1","EEF2",0.0217782788696012
"PRF1","MYC",0.0217617433679888
"KLRD1","FOXP3",0.0217571966952086
"CD2","CCR7",0.0217348020074388
"GZMH","MYC",0.0217105003119981
"PRF1","GIMAP8",0.0217070752777493
"EIF3E","CD3D",0.0217062543507229
"PRF1","CD6",0.02170456823405
"RPS5","SLC9A3R1",0.021694642683468
"PRF1","CD2",0.0216844451802358
"GZMH","NPM1",0.0216687999722303
"NPM1","GIMAP5",0.021652122600663
"RPS8","USP28",0.0216370312489454
"NKG7","IL17A",0.0216220071822225
"GNLY","ITGAM",0.0216211255074797
"ITGB2","SLC9A3R1",0.021612718938136
"EEF2","CD3E",0.0216073997841215
"CD3G","EIF3E",0.0216010448121425
"RPS5","CD8A",0.021599843704031
"RACK1","GZMK",0.0215988605313763
"RPS8","CASP8",0.0215963413179216
"WDR43","KLRB1",0.0215871655937845
"KLRF1","ITGA4",0.0215834461381447
"IL2RB","IL17A",0.0215829060864559
"NKG7","PRKCB",0.0215779731624778
"EIF3E","CD2",0.0215751136258753
"EIF3L","ITGAM",0.0215659226165844
"NKG7","IL2RB",0.0215607656695339
"GNLY","EEF1B2",0.0215597325512465
"GZMB","NPM1",0.0215489698671142
"ITGB2","CASP8",0.0215356481742489
"EIF3L","NOP53",0.0215312298989717
"RACK1","FLNA",0.0215304118280133
"IL2RB","CD8B",0.0215271523760463
"CD2","ITGB2",0.0215115667716331
"KLRB1","FOXP3",0.0214850375573768
"CD5","MYC",0.021467908938141
"CD3E","PRKCB",0.0214566558106548
"GP1BA","EEF1B2",0.0214452005452292
"GNLY","EEF2",0.0214217102330982
"EEF2","FAS",0.0214152653971507
"PRF1","FAS",0.0214077363068681
"NKG7","CCR7",0.0214034564837362
"EIF3L","VCL",0.02137097544259
"EIF3L","WDR43",0.0213678744518823
"GNLY","USP28",0.0213487424530402
"GZMK","RSL1D1",0.0213261646401945
"GZMH","ADRB2",0.0213224072868033
"GZMK","FGFBP2",0.0213146598758766
"RACK1","CCR7",0.0213051641469219
"CD8A","GIMAP8",0.0213007110631894
"CD8B","GP1BA",0.0212795940247962
"GZMK","IL2RA",0.0212647730177529
"ITGA4","GZMB",0.0212527195984941
"GZMH","EEF1B2",0.021231764274219
"GNLY","CD5",0.0212175910430305
"EIF3E","CD3G",0.0212054703241691
"ACTN1","ZNF683",0.0211885811065231
"GNLY","CD3E",0.0211803813910049
"GZMK","EEF1B2",0.0211550317155851
"RACK1","NKG7",0.0211270176057107
"GZMH","EIF3L",0.0211128246419569
"RPS5","CD3G",0.0211119824561182
"GNLY","FOXP3",0.0211055689283937
"PRF1","GZMK",0.0210968284617955
"CD5","NOP53",0.0210954750988804
"RPS5","KLRB1",0.0210829245379366
"PXN","ITGB1",0.0210715119337231
"CD6","MYC",0.0210492618830191
"GZMB","CD8B",0.0210382231902918
"RPS8","CD3D",0.0210113883838871
"CASP8","ACTN1",0.0210112066103118
"CD2","IL17A",0.0209896171669785
"CD2","PRKCB",0.0209811893490525
"KLRD1","SLC9A3R1",0.0209771236662716
"RACK1","FOXP1",0.0209585317559858
"IL2RB","ITGAM",0.0209192470750355
"GIMAP5","FGFBP2",0.0209032158560599
"IL2RB","EEF1B2",0.0208993291605074
"PRF1","CD4",0.0208979034296372
"ZNF683","NKG7",0.0208963579160425
"CD2","ADRB2",0.0208931237854265
"CD8A","GP1BA",0.0208747246227156
"IL17RA","GIMAP8",0.0208606973210285
"PRF1","NOP53",0.0208589537228416
"ITGB2","GP1BA",0.0208326123809909
"ITGB2","KLRD1",0.0208094276228359
"CASP8","RACK1",0.020806856948695
"PRF1","ITGAM",0.0207887815899097
"GNLY","PRKCB",0.0207826693091874
"RACK1","NOP53",0.0207825299292168
"CD8A","CCR7",0.020778021825754
"RPS5","FOXP3",0.0207591553170302
"FLNA","WDR43",0.0207555177403807
"RPS5","KLRF1",0.0207461534318009
"EIF3L","SLC9A3R1",0.0207442803594616
"ACTN1","CASP8",0.0207327039359539
"RPS8","FOXP1",0.0207137667333375
"GZMB","ITGA4",0.0207091167092923
"CD2","IL2RA",0.0206738983401686
"GZMK","USP28",0.0206714344431404
"CCR7","GIMAP5",0.0206658294658094
"GZMH","CCR7",0.0206548984606655
"RPS8","KLRD1",0.0206522070899753
"CD3G","GNLY",0.0206455959434553
"IL2RB","ZNF683",0.0206381618963169
"KLRD1","IL2RA",0.0206357873207101
"EIF3L","KLRF1",0.0206210350339218
"NKG7","CD6",0.0206155878113071
"NKG7","EIF3L",0.0206145288410921
"CD8A","CD4",0.0205848217973147
"CD3E","GP1BA",0.0205844903345309
"RPS8","CD8A",0.02058312540017
"CD3D","CCR7",0.0205815881801145
"USP28","GIMAP8",0.0205162669136871
"KLRD1","CD3G",0.0205094180482813
"ADRB2","EIF3L",0.020505583587937
"GZMB","IL2RA",0.0205047580966303
"GZMB","RPS8",0.0204886216685437
"EEF2","GIMAP5",0.0204883850519961
"CD3E","EEF1B2",0.0204610886141004
"RPS5","CD4",0.0204588748437603
"NKG7","ITGAM",0.0204411452835803
"EEF2","GNLY",0.0204356984906043
"RPS5","CD3D",0.0204283424596888
"WDR43","PRF1",0.020424223673195
"GZMB","MYC",0.0204078887800823
"GZMH","RSL1D1",0.0204053691004205
"RPS5","NKG7",0.0203953257607263
"GIMAP8","USP28",0.0203835279065473
"CD3D","NKG7",0.0203571720455828
"CD3E","IL2RA",0.0203535966491469
"RACK1","ITGAM",0.0203465773225944
"CD3G","SLC9A3R1",0.0203405425067134
"RSL1D1","FAS",0.0203393332046948
"CD8A","FGFBP2",0.0203043819407314
"PRF1","WDR43",0.0202776206914548
"RACK1","GZMH",0.020268302856896
"CD5","WDR43",0.0202654211100296
"RPS8","GIMAP8",0.0202579824969226
"KLRF1","NPM1",0.0202500495617916
"CD3D","NOP53",0.0202341560284928
"VCL","CD3G",0.0202123736756866
"RPS8","GNLY",0.0202052308087736
"KLRD1","NOP53",0.0201998095285785
"RPS5","GNLY",0.0201983749804997
"FLNA","NOP53",0.0201907250011999
"KLRD1","ZNF683",0.0201866962405703
"RACK1","IL2RB",0.020182476446912
"FGFBP2","ITGB1",0.0201778872097786
"GNLY","CD4",0.0201642159849828
"CD3D","WDR43",0.0201423392003559
"CD3E","CD8B",0.0201422520208485
"CD3E","NOP53",0.0201258563875138
"GZMB","GZMK",0.0201245036056515
"GIMAP8","ITGB2",0.0201118315420704
"EIF3E","ITGAM",0.0201043178799395
"GIMAP8","ITGA4",0.0200949366811096
"NKG7","MYC",0.0200943265201332
"CD2","FOXP3",0.0200905437604183
"IL2RB","NKG7",0.0200786315032765
"GZMH","EEF2",0.0200503667554463
"CD6","CD8B",0.0200372570574315
"EIF3L","GZMB",0.0200334479920325
"CD8B","EEF2",0.020009983779516
"EEF1B2","IL2RB",0.0199902704562545
"RPS8","GP1BA",0.0199895304894257
"GNLY","GZMK",0.0199854605989962
"RACK1","CD5",0.0199748586986347
"PRF1","GIMAP5",0.0199741089972195
"CD8B","FOXP3",0.0199697761744732
"KLRD1","FOXP1",0.0199690265817393
"RACK1","CD3D",0.0199640842043479
"RPS5","PRF1",0.0199574038803602
"RPS5","IL2RB",0.0199533606179236
"PXN","EIF3E",0.0199304291844165
"RPS8","PRF1",0.0199268290660436
"NOP53","CCR7",0.0199098815597977
"PRF1","KLRB1",0.0199040771139023
"IL2RB","FGFBP2",0.0198928781613527
"VCL","CD4",0.0198778079090997
"RPS5","KLRD1",0.0198697832549591
"EIF3E","PXN",0.0198594571755151
"KLRB1","EIF3L",0.0198560524202048
"KLRD1","ACTN1",0.0198474024935623
"RACK1","NPM1",0.0198425362015862
"KLRD1","GP1BA",0.0198389981534534
"PRF1","ITGB1",0.0198352515453145
"GZMK","CD3E",0.0198318997459087
"CD3E","GZMK",0.0198223864837583
"CD5","CD8B",0.0198155926363242
"EEF1B2","NOP53",0.0198100087116277
"FOXP1","EEF2",0.0198029981258754
"CD3E","CD6",0.0198009244147427
"GNLY","NOP53",0.0198002098558959
"RPS8","CD5",0.0197967673952485
"FOXP3","RPS8",0.0197964020439928
"GZMK","GNLY",0.0197954841952296
"GZMK","EIF3E",0.0197939544520364
"RPS5","FAS",0.01978919274373
"PRKCB","WDR43",0.0197867952375802
"NKG7","CD3D",0.0197565491179671
"IL2RB","SLC9A3R1",0.0197538110588153
"RPS5","ADRB2",0.0197420252330433
"NKG7","IL17RA",0.0197360942853685
"PRF1","CD8B",0.0197276184327851
"CD8A","GZMB",0.0197271859385116
"CD2","EEF1B2",0.0197245411466405
"CD3E","WDR43",0.0197146205934264
"CD8A","PRKCB",0.0196951862082029
"FLNA","RACK1",0.0196866992391148
"EIF3L","FGFBP2",0.0196812814888706
"CD6","FOXP3",0.0196585214297447
"GZMK","ITGB1",0.0196564056519728
"EEF1B2","GP1BA",0.0196415457522582
"PRF1","ADRB2",0.0196278628254416
"RPS5","CD8B",0.0196249216674475
"RPS8","CD8B",0.0196080175321269
"EEF1B2","GNLY",0.0196072366646902
"GNLY","CD8A",0.0196053248261766
"EIF3E","FOXP3",0.0196018605756423
"EIF3E","FLNA",0.01960041400896
"WDR43","FOXP3",0.0195919740608269
"GZMH","GIMAP8",0.0195909320906152
"CD5","SLC9A3R1",0.0195865181933115
"KLRD1","CD8A",0.0195815895615142
"CD2","USP28",0.0195555338918788
"EIF3E","CD8B",0.0195552550181198
"EEF1B2","GZMK",0.0195382582776716
"CD3E","RPS8",0.0195355098007707
"IL17A","IL2RA",0.0195213137323291
"RPS5","CASP8",0.0195210421960348
"ITGB1","CD3D",0.0195026153660601
"NKG7","EEF2",0.0194999330671425
"GZMK","ITGAM",0.0194999004709453
"PRF1","FGFBP2",0.0194916679884829
"CD8A","KLRD1",0.0194744944827927
"RPS8","PXN",0.0194660205483787
"NKG7","EIF3E",0.0194598989062526
"VCL","CD8B",0.0194583919912592
"EIF3L","IL2RB",0.0194432914689826
"NKG7","KLRB1",0.0194336147237623
"RACK1","CD8A",0.0194324351189339
"ITGB1","FOXP1",0.0194274727183875
"NKG7","CD2",0.0194252826023608
"KLRB1","ZNF683",0.0194216289499483
